Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle
0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.", ,Instruct1
0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)", ,Instruct2
0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.", ,Instruct3
632,BOI,-,-,, ,n
633,BOI,-,-,, ,n
634,BOI,-,-,, ,n
635,BOI,-,-,, ,n
636,BOI,-,-,, ,n
0,Instruct,-,-,You have completed this section. Press ENTER to continue, ,Instruct 5
0,Instruct,-,-,You will now start the full experiment. Press ENTER when you are ready to begin., ,
482,BOI,-,-, , ,y
483,BOI,-,-, , ,y
484,BOI,-,-, , ,y
485,BOI,-,-, , ,y
486,BOI,-,-, , ,y
487,BOI,-,-, , ,y
488,BOI,-,-, , ,y
489,BOI,-,-, , ,y
490,BOI,-,-, , ,y
491,BOI,-,-, , ,y
492,BOI,-,-, , ,y
493,BOI,-,-, , ,y
494,BOI,-,-, , ,y
495,BOI,-,-, , ,y
496,BOI,-,-, , ,y
497,BOI,-,-, , ,y
498,BOI,-,-, , ,y
499,BOI,-,-, , ,y
500,BOI,-,-, , ,y
501,BOI,-,-, , ,y
502,BOI,-,-, , ,y
503,BOI,-,-, , ,y
504,BOI,-,-, , ,y
505,BOI,-,-, , ,y
506,BOI,-,-, , ,y
507,BOI,-,-, , ,y
508,BOI,-,-, , ,y
509,BOI,-,-, , ,y
510,BOI,-,-, , ,y
511,BOI,-,-, , ,y
0,Instruct,,,You will now be asked a few questions about your experience today., ,Instruct 4
