Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle
0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.", ,Instruct1
0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)", ,Instruct2
0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.", ,Instruct3
632,BOI,-,-,, ,n
633,BOI,-,-,, ,n
634,BOI,-,-,, ,n
635,BOI,-,-,, ,n
636,BOI,-,-,, ,n
0,Instruct,-,-,You have completed this section. Press ENTER to continue, ,Instruct 5
0,Instruct,-,-,You will now start the full experiment. Press ENTER when you are ready to begin., ,
152,BOI,-,-, , ,y
153,BOI,-,-, , ,y
154,BOI,-,-, , ,y
155,BOI,-,-, , ,y
156,BOI,-,-, , ,y
157,BOI,-,-, , ,y
158,BOI,-,-, , ,y
159,BOI,-,-, , ,y
160,BOI,-,-, , ,y
161,BOI,-,-, , ,y
162,BOI,-,-, , ,y
163,BOI,-,-, , ,y
164,BOI,-,-, , ,y
165,BOI,-,-, , ,y
166,BOI,-,-, , ,y
167,BOI,-,-, , ,y
168,BOI,-,-, , ,y
169,BOI,-,-, , ,y
170,BOI,-,-, , ,y
171,BOI,-,-, , ,y
172,BOI,-,-, , ,y
173,BOI,-,-, , ,y
174,BOI,-,-, , ,y
175,BOI,-,-, , ,y
176,BOI,-,-, , ,y
177,BOI,-,-, , ,y
178,BOI,-,-, , ,y
179,BOI,-,-, , ,y
180,BOI,-,-, , ,y
181,BOI,-,-, , ,y
0,Instruct,,,You will now be asked a few questions about your experience today., ,Instruct 4
