"Item","Trial Type","Max Time","Min Time","Text","Procedure Notes","Shuffle"
0,"Instruct","-","10","In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object."," ","Instruct1"
0,"Instruct","-","10","Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)"," ","Instruct2"
0,"Instruct","-","-","Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin."," ","Instruct3"
3002,"BOI","-","-",""," ","n"
3003,"BOI","-","-",""," ","n"
3004,"BOI","-","-",""," ","n"
3005,"BOI","-","-",""," ","n"
3006,"BOI","-","-",""," ","n"
0,"Instruct","-","-","You have completed this section. Press ENTER to continue"," ","Instruct 5"
0,"Instruct","-","-","You will now start the full experiment. Press ENTER when you are ready to begin."," ",""
2672,"BOI","-","-"," "," ","y"
2673,"BOI","-","-"," "," ","y"
2674,"BOI","-","-"," "," ","y"
2675,"BOI","-","-"," "," ","y"
2676,"BOI","-","-"," "," ","y"
2677,"BOI","-","-"," "," ","y"
2678,"BOI","-","-"," "," ","y"
2679,"BOI","-","-"," "," ","y"
2680,"BOI","-","-"," "," ","y"
2681,"BOI","-","-"," "," ","y"
2682,"BOI","-","-"," "," ","y"
2683,"BOI","-","-"," "," ","y"
2684,"BOI","-","-"," "," ","y"
2685,"BOI","-","-"," "," ","y"
2686,"BOI","-","-"," "," ","y"
2687,"BOI","-","-"," "," ","y"
2688,"BOI","-","-"," "," ","y"
2689,"BOI","-","-"," "," ","y"
2690,"BOI","-","-"," "," ","y"
2691,"BOI","-","-"," "," ","y"
2692,"BOI","-","-"," "," ","y"
2693,"BOI","-","-"," "," ","y"
2694,"BOI","-","-"," "," ","y"
2695,"BOI","-","-"," "," ","y"
2696,"BOI","-","-"," "," ","y"
2697,"BOI","-","-"," "," ","y"
2698,"BOI","-","-"," "," ","y"
2699,"BOI","-","-"," "," ","y"
2700,"BOI","-","-"," "," ","y"
2701,"BOI","-","-"," "," ","y"
0,"Instruct","","","You will now be asked a few questions about your experience today."," ","Instruct 4"
