"Item","Trial Type","Max Time","Min Time","Text","Procedure Notes","Shuffle"
0,"Instruct","-","10","In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object."," ","Instruct1"
0,"Instruct","-","10","Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)"," ","Instruct2"
0,"Instruct","-","-","Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin."," ","Instruct3"
3002,"BOI","-","-",""," ","n"
3003,"BOI","-","-",""," ","n"
3004,"BOI","-","-",""," ","n"
3005,"BOI","-","-",""," ","n"
3006,"BOI","-","-",""," ","n"
0,"Instruct","-","-","You have completed this section. Press ENTER to continue"," ","Instruct 5"
0,"Instruct","-","-","You will now start the full experiment. Press ENTER when you are ready to begin."," ",""
302,"BOI","-","-"," "," ","y"
303,"BOI","-","-"," "," ","y"
304,"BOI","-","-"," "," ","y"
305,"BOI","-","-"," "," ","y"
306,"BOI","-","-"," "," ","y"
307,"BOI","-","-"," "," ","y"
308,"BOI","-","-"," "," ","y"
309,"BOI","-","-"," "," ","y"
310,"BOI","-","-"," "," ","y"
311,"BOI","-","-"," "," ","y"
312,"BOI","-","-"," "," ","y"
313,"BOI","-","-"," "," ","y"
314,"BOI","-","-"," "," ","y"
315,"BOI","-","-"," "," ","y"
316,"BOI","-","-"," "," ","y"
317,"BOI","-","-"," "," ","y"
318,"BOI","-","-"," "," ","y"
319,"BOI","-","-"," "," ","y"
320,"BOI","-","-"," "," ","y"
321,"BOI","-","-"," "," ","y"
322,"BOI","-","-"," "," ","y"
323,"BOI","-","-"," "," ","y"
324,"BOI","-","-"," "," ","y"
325,"BOI","-","-"," "," ","y"
326,"BOI","-","-"," "," ","y"
327,"BOI","-","-"," "," ","y"
328,"BOI","-","-"," "," ","y"
329,"BOI","-","-"," "," ","y"
330,"BOI","-","-"," "," ","y"
331,"BOI","-","-"," "," ","y"
0,"Instruct","","","You will now be asked a few questions about your experience today."," ","Instruct 4"
