"Item","Trial Type","Max Time","Min Time","Text","Procedure Notes","Shuffle"
0,"Instruct","-","10","In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object."," ","Instruct1"
0,"Instruct","-","10","Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)"," ","Instruct2"
0,"Instruct","-","-","Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin."," ","Instruct3"
3002,"BOI","-","-",""," ","n"
3003,"BOI","-","-",""," ","n"
3004,"BOI","-","-",""," ","n"
3005,"BOI","-","-",""," ","n"
3006,"BOI","-","-",""," ","n"
0,"Instruct","-","-","You have completed this section. Press ENTER to continue"," ","Instruct 5"
0,"Instruct","-","-","You will now start the full experiment. Press ENTER when you are ready to begin."," ",""
1712,"BOI","-","-"," "," ","y"
1713,"BOI","-","-"," "," ","y"
1714,"BOI","-","-"," "," ","y"
1715,"BOI","-","-"," "," ","y"
1716,"BOI","-","-"," "," ","y"
1717,"BOI","-","-"," "," ","y"
1718,"BOI","-","-"," "," ","y"
1719,"BOI","-","-"," "," ","y"
1720,"BOI","-","-"," "," ","y"
1721,"BOI","-","-"," "," ","y"
1722,"BOI","-","-"," "," ","y"
1723,"BOI","-","-"," "," ","y"
1724,"BOI","-","-"," "," ","y"
1725,"BOI","-","-"," "," ","y"
1726,"BOI","-","-"," "," ","y"
1727,"BOI","-","-"," "," ","y"
1728,"BOI","-","-"," "," ","y"
1729,"BOI","-","-"," "," ","y"
1730,"BOI","-","-"," "," ","y"
1731,"BOI","-","-"," "," ","y"
1732,"BOI","-","-"," "," ","y"
1733,"BOI","-","-"," "," ","y"
1734,"BOI","-","-"," "," ","y"
1735,"BOI","-","-"," "," ","y"
1736,"BOI","-","-"," "," ","y"
1737,"BOI","-","-"," "," ","y"
1738,"BOI","-","-"," "," ","y"
1739,"BOI","-","-"," "," ","y"
1740,"BOI","-","-"," "," ","y"
1741,"BOI","-","-"," "," ","y"
0,"Instruct","","","You will now be asked a few questions about your experience today."," ","Instruct 4"
