Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
20317098SB,elephant,to ride,ride,ride,VERB,MSU Texas
20317098SB,elephant,circus,circus,circus,NOUN,MSU Texas
20317098SB,elephant,rescue,rescue,rescue,VERB,MSU Texas
20317098SB,elephant,jewelry,jewelry,jewelry,NOUN,MSU Texas
20317098SB,kneecap,squat,squat,squat,VERB,MSU Texas
20317098SB,kneecap,stand,stand,stand,VERB,MSU Texas
20317098SB,kneecap,balance,balance,balance,VERB,MSU Texas
20317098SB,kneecap,walk,walk,walk,VERB,MSU Texas
20317098SB,kneecap,run,run,run,VERB,MSU Texas
20317098SB,shirttail,shirt,shirt,shirt,NOUN,MSU Texas
20317098SB,shirttail,append,append,append,VERB,MSU Texas
20317098SB,shirttail,add,add,add,VERB,MSU Texas
20317098SB,rosary,pray,pray,pray,VERB,MSU Texas
20317098SB,rosary,take it to church,take,take,VERB,MSU Texas
20317098SB,rosary,take it to church,church,church,NOUN,MSU Texas
20317098SB,stereo,listen to music,listen,listen,VERB,MSU Texas
20317098SB,stereo,listen to music,music,music,NOUN,MSU Texas
20317098SB,stereo,set stuff on,set,set,VERB,MSU Texas
20317098SB,stereo,set stuff on,stuff,stuff,NOUN,MSU Texas
20317098SB,stereo,decoration,decoration,decoration,NOUN,MSU Texas
20317098SB,jeweler,make a necklace,make,make,VERB,MSU Texas
20317098SB,jeweler,make a necklace,necklace,necklace,NOUN,MSU Texas
20317098SB,jeweler,rings,rings,ring,NOUN,MSU Texas
20317098SB,jeweler,bracelets,bracelets,bracelet,NOUN,MSU Texas
20317098SB,jeweler,earrings,earrings,earring,NOUN,MSU Texas
20317098SB,toffee,coffee,coffee,coffee,NOUN,MSU Texas
20317098SB,toffee,toffee syrup,toffee,toffee,NOUN,MSU Texas
20317098SB,toffee,toffee syrup,syrup,syrup,NOUN,MSU Texas
20317098SB,toffee,toffee nuts,toffee,toffee,NOUN,MSU Texas
20317098SB,toffee,toffee nuts,nuts,nut,NOUN,MSU Texas
20317098SB,greenery,plants,plants,plant,NOUN,MSU Texas
20317098SB,greenery,vegetation,vegetation,vegetation,NOUN,MSU Texas
20317098SB,greenery,leaves ,leaves,leaves,NOUN,MSU Texas
20317098SB,mustard,on a burger,burger,burger,NOUN,MSU Texas
20317098SB,mustard,on a corn dog,corndog,corndog,NOUN,MSU Texas
20317098SB,mustard,on a corn dog,dog,dog,NOUN,MSU Texas
20317098SB,mustard,in tuna salad,tuna,tuna,NOUN,MSU Texas
20317098SB,mustard,in tuna salad,salad,salad,NOUN,MSU Texas
20317098SB,scorecard,bingo,bingo,bingo,NOUN,MSU Texas
20317098SB,scorecard,golf,golf,golf,NOUN,MSU Texas
20317098SB,scorecard,bowling,bowling,bowl,VERB,MSU Texas
20317098SB,dressing,salad,salad,salad,NOUN,MSU Texas
20317098SB,dressing,dressing room,dressing,dress,NOUN,MSU Texas
20317098SB,dressing,dressing room,room,room,NOUN,MSU Texas
20317098SB,dressing,on a wound,wound,wound,NOUN,MSU Texas
20317098SB,dressing,on cupcake,cupcake,cupcake,NOUN,MSU Texas
20317098SB,auto,automotive,automotive,automotive,ADJ,MSU Texas
20317098SB,auto,auto pilot,autopilot,autopilot,NOUN,MSU Texas
20317098SB,auto,auto pilot,pilot,pilot,NOUN,MSU Texas
