Participant id,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth
63d7a7c2e9bdb20fe10bf652,,40,Male,White,United Kingdom
60b346569670ffa9c825751d,,49,Male,White,United Kingdom
55b770e3fdf99b0416ce53da,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5eb689102f6b360162363e02,,25,Male,White,United Kingdom
5a986ad11eda4100013655a1,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5d49ac72c23d930001dd9c36,,61,Female,White,United Kingdom
63d79f5acb27df24ca5787e3,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63cef3094a9d10db29a077f7,,34,Female,White,United Kingdom
604c00d2b7b5f4d3e08b067f,,33,Female,White,United Kingdom
607071f1035f1d4ecb830e21,,22,Female,White,United Kingdom
63c277505b2287f5c2efd070,,29,Male,White,United Kingdom
60358d6b8447dceb12366db6,,21,Female,White,United Kingdom
63d2bb6d3798f77551001115,,22,Male,Black,Nigeria
5eb3138319f0500f2004d2e9,,60,Female,White,United Kingdom
5e2f528ceb557a5186d5969c,,32,Female,White,United Kingdom
623499c1de37d4c70abc20e7,,57,Female,White,United Kingdom
5b5f35fe64516800018b8ed2,,36,Male,White,United Kingdom
607ca741fd54ce0bd3846328,,30,Female,White,United Kingdom
5d7d2b7be3f30f0016252e97,,38,Male,White,Ireland
5b9d57e5737d030001ad2cbf,,55,Male,White,United Kingdom
62ed5a99f10f63bee5bf02cd,,33,Male,Black,Nigeria
5af5f227672ea800010d3b8d,,25,Male,White,United Kingdom
62d2c9d825a0449c13aa42cc,,28,Male,White,United Kingdom
630382e1437566a48f78a56f,,39,Male,White,United Kingdom
59142b45ef024b0001c54c33,,42,Female,White,United Kingdom
60eeb9d36a7364ce4723b8bd,,51,Female,White,United Kingdom
5d4200b0f1006e00196a9322,,56,Male,White,United Kingdom
5693df018d93fe000dfa5733,,49,Female,Asian,United Kingdom
5e56781c475236000bc43e20,,34,Male,White,United Kingdom
5c63363b935c87000118a78a,,33,Female,White,United Kingdom
5875778b5c17910001ea4f35,,43,Male,White,United Kingdom
5e0dd8f36f6c6354500b6208,,62,Female,White,United Kingdom
5d60d34008ff870016878a6d,,42,Female,White,Canada
5e07aa9cb638531138f72587,,56,Male,White,United Kingdom
597b0c6ed573480001404b95,,35,Male,White,United Kingdom
60c20abfdccab926283d8f7f,,26,Female,White,United Kingdom
5c0ca233632102000147c7db,,37,Male,White,United Kingdom
5ee5483b1dfa3b0ded826eee,,23,Male,Asian,United Kingdom
63d7a7c2e9bdb20fe10bf652,,41,Male,White,United Kingdom
60b346569670ffa9c825751d,,50,Male,White,United Kingdom
55b770e3fdf99b0416ce53da,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5eb689102f6b360162363e02,,27,Male,White,United Kingdom
5a986ad11eda4100013655a1,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5d49ac72c23d930001dd9c36,,62,Female,White,United Kingdom
63d79f5acb27df24ca5787e3,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63cef3094a9d10db29a077f7,,35,Female,White,United Kingdom
604c00d2b7b5f4d3e08b067f,,34,Female,White,United Kingdom
607071f1035f1d4ecb830e21,,23,Female,White,United Kingdom
63c277505b2287f5c2efd070,,31,Male,White,United Kingdom
60358d6b8447dceb12366db6,,23,Female,White,United Kingdom
63d2bb6d3798f77551001115,,23,Male,Black,Nigeria
5eb3138319f0500f2004d2e9,,62,Female,White,United Kingdom
623499c1de37d4c70abc20e7,,59,Female,White,United Kingdom
5e2f528ceb557a5186d5969c,,33,Female,White,United Kingdom
5b5f35fe64516800018b8ed2,,38,Male,White,United Kingdom
607ca741fd54ce0bd3846328,,31,Female,White,United Kingdom
5d7d2b7be3f30f0016252e97,,39,Male,White,Ireland
5b9d57e5737d030001ad2cbf,,57,Male,White,United Kingdom
62ed5a99f10f63bee5bf02cd,,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
62d2c9d825a0449c13aa42cc,,29,Male,White,United Kingdom
5af5f227672ea800010d3b8d,,27,Male,White,United Kingdom
630382e1437566a48f78a56f,,40,Male,White,United Kingdom
59142b45ef024b0001c54c33,,43,Female,White,United Kingdom
5d4200b0f1006e00196a9322,,57,Male,White,United Kingdom
60eeb9d36a7364ce4723b8bd,,52,Female,White,United Kingdom
5693df018d93fe000dfa5733,,50,Female,Asian,United Kingdom
5e56781c475236000bc43e20,,35,Male,White,United Kingdom
5c63363b935c87000118a78a,,35,Female,White,United Kingdom
5875778b5c17910001ea4f35,,44,Male,White,United Kingdom
5e0dd8f36f6c6354500b6208,,63,Female,White,United Kingdom
5d60d34008ff870016878a6d,,43,Female,White,Canada
597b0c6ed573480001404b95,,36,Male,White,United Kingdom
5e07aa9cb638531138f72587,,57,Male,White,United Kingdom
60c20abfdccab926283d8f7f,,28,Female,White,United Kingdom
5c0ca233632102000147c7db,,38,Male,White,United Kingdom
5ee5483b1dfa3b0ded826eee,,24,Male,Asian,United Kingdom
