Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
doorbell,rang,rang,ring,NOUN,ILL_STATE
doorbell,changed,changed,change,VERB,ILL_STATE
doorbell,ignored,ignored,ignore,VERB,ILL_STATE
environment,visit,visit,visit,VERB,ILL_STATE
environment,clean,clean,clean,VERB,ILL_STATE
daughter,raised,raised,raise,VERB,ILL_STATE
daughter,grown up,grown,grow,VERB,ILL_STATE
marijuana,smoked,smoked,smoke,VERB,ILL_STATE
marijuana,grown ,grown,grow,VERB,ILL_STATE
ledge,see views,see,see,VERB,ILL_STATE
ledge,see views,views,view,NOUN,ILL_STATE
ledge,fall off,fall,fall,VERB,ILL_STATE
bathroom,use,use,use,VERB,ILL_STATE
bathroom,clean,clean,clean,VERB,ILL_STATE
waiter,served,served,serve,VERB,ILL_STATE
waiter,talked to ,talked,talk,VERB,ILL_STATE
granny,cookies,cookies,cookie,NOUN,ILL_STATE
granny,food,food,food,NOUN,ILL_STATE
granny,love,love,love,VERB,ILL_STATE
sink,wash dishes,wash,wash,VERB,ILL_STATE
sink,wash dishes,dishes,dish,NOUN,ILL_STATE
sink,wash hands,wash,wash,VERB,ILL_STATE
sink,wash hands,hands,hand,NOUN,ILL_STATE
suspenders,worn as an outfit ,worn,wear,VERB,ILL_STATE
suspenders,worn as an outfit ,outfit,outfit,NOUN,ILL_STATE
bin,throw out trash,throw,throw,VERB,ILL_STATE
bin,throw out trash,trash,trash,INTJ,ILL_STATE
bin,carry items ,carry,carry,VERB,ILL_STATE
bin,carry items ,items,item,NOUN,ILL_STATE
penny,collect,collect,collect,VERB,ILL_STATE
penny,use for payment ,use,use,VERB,ILL_STATE
penny,use for payment ,payment,payment,NOUN,ILL_STATE
footbath,put feet in ,put,put,VERB,ILL_STATE
footbath,put feet in ,feet,foot,NOUN,ILL_STATE
boulder,push,push,push,VERB,ILL_STATE
path,walk on,walk,walk,VERB,ILL_STATE
maid,clean,clean,clean,VERB,ILL_STATE
maid,cook,cook,cake,VERB,ILL_STATE
sling,hold arm ,hold,hold,VERB,ILL_STATE
sling,hold arm ,arm,arm,X,ILL_STATE
fountainhead,drink water out of ,drink,drink,NOUN,ILL_STATE
fountainhead,drink water out of ,water,water,NOUN,ILL_STATE
crowbar,open things,open,open,VERB,ILL_STATE
crowbar,open things,things,thing,NOUN,ILL_STATE
gauze,tighten wound ,tighten,tighten,VERB,ILL_STATE
gauze,tighten wound ,wound,wound,NOUN,ILL_STATE
chrysanthemum,grow ,grow,grow,VERB,ILL_STATE
axe,chop wood ,chop,chop,VERB,ILL_STATE
axe,chop wood ,wood,wood,NOUN,ILL_STATE
sled,snow,snow,snow,NOUN,ILL_STATE
sled,drag things,drag,drag,VERB,ILL_STATE
sled,drag things,things,thing,NOUN,ILL_STATE
chest,push ups,push,push,VERB,ILL_STATE
chest,push ups,ups,ups,NOUN,ILL_STATE
chest,lay,lay,lay,VERB,ILL_STATE
stream,water,water,water,NOUN,ILL_STATE
handkerchief,blow your nose,blow,blow,VERB,ILL_STATE
handkerchief,blow your nose,nose,nose,PRON,ILL_STATE
handkerchief,wipe your hands,wipe,wipe,VERB,ILL_STATE
handkerchief,wipe your hands,hands,hand,NOUN,ILL_STATE
headrest,lay down,lay,lay,VERB,ILL_STATE
floorboard,stand on,stand,stand,VERB,ILL_STATE
floorboard,weapon,weapon,weapon,NOUN,ILL_STATE
firstborn,baby sitter,baby,baby,NOUN,ILL_STATE
firstborn,baby sitter,sitter,sitter,NOUN,ILL_STATE
keepsake,to remember,remember,remember,VERB,ILL_STATE
kit,first aid,first,first,ADV,ILL_STATE
kit,first aid,aid,aid,NOUN,ILL_STATE
confetti,party,party,party,NOUN,ILL_STATE
mink,status symbol,status,status,NOUN,ILL_STATE
mink,status symbol,symbol,symbol,NOUN,ILL_STATE
secretary,to take notes,take,take,VERB,ILL_STATE
secretary,to take notes,notes,note,NOUN,ILL_STATE
apron,to keep clothes clean,keep,keep,VERB,ILL_STATE
apron,to keep clothes clean,clothes,clothes,NOUN,ILL_STATE
apron,to keep clothes clean,clean,clean,VERB,ILL_STATE
newspaper,read,read,read,VERB,ILL_STATE
newspaper,learn about the current news,learn,learn,VERB,ILL_STATE
newspaper,learn about the current news,current,current,ADJ,ILL_STATE
newspaper,learn about the current news,news,news,NOUN,ILL_STATE
pot,flowers,flowers,flower,NOUN,ILL_STATE
longbow,to shoot,shoot,shoot,VERB,ILL_STATE
comforter,to sleep with,sleep,sleep,NOUN,ILL_STATE
radiologist,take x rays,take,take,VERB,ILL_STATE
radiologist,take x rays,rays,x-ray,VERB,ILL_STATE
axle,car,car,car,NOUN,ILL_STATE
pet,comfort,comfort,comfort,NOUN,ILL_STATE
spear,to stab,stab,stab,VERB,ILL_STATE
tortoise,pet,pet,pet,NOUN,ILL_STATE
hamster,pet,pet,pet,NOUN,ILL_STATE
comb,hair,hair,hair,NOUN,ILL_STATE
animal,comfort,comfort,comfort,VERB,ILL_STATE
gate,to keep people in or out,keep,keep,VERB,ILL_STATE
gate,to keep people in or out,people,people,NOUN,ILL_STATE
gear,shift,shift,shift,VERB,ILL_STATE
gear,move,move,move,VERB,ILL_STATE
gear,turn,turn,turn,VERB,ILL_STATE
gear,slide,slide,slide,VERB,ILL_STATE
handle,grab,grab,grab,VERB,ILL_STATE
handle,hold,hold,hold,VERB,ILL_STATE
handle,push,push,push,VERB,ILL_STATE
handle,pull,pull,pull,VERB,ILL_STATE
handle,twist,twist,twist,VERB,ILL_STATE
scorecard,tally,tally,tally,VERB,ILL_STATE
scorecard,keep check,keep,keep,VERB,ILL_STATE
scorecard,keep check,check,check,VERB,ILL_STATE
scorecard,add up,add,add,VERB,ILL_STATE
lotion,apply,apply,apply,VERB,ILL_STATE
lotion,smear,smear,smear,VERB,ILL_STATE
lotion,smell,smell,smell,VERB,ILL_STATE
lotion,lift,lift,lift,VERB,ILL_STATE
mustard,apply on sandwiches and hamburger,apply,apply,VERB,ILL_STATE
mustard,apply on sandwiches and hamburger,sandwiches,sandwich,NOUN,ILL_STATE
mustard,apply on sandwiches and hamburger,hamburger,hamburger,NOUN,ILL_STATE
mustard,eat,eat,eat,VERB,ILL_STATE
mustard,make food ,make,make,VERB,ILL_STATE
mustard,make food ,food,food,NOUN,ILL_STATE
shirttail,scrunch up,scrunch,scrunch,VERB,ILL_STATE
shirttail,pull down,pull,pull,VERB,ILL_STATE
toffee,mix,mix,mix,VERB,ILL_STATE
forklift,lift,lift,lift,VERB,ILL_STATE
forklift,carry,carry,carry,VERB,ILL_STATE
rag,clean,clean,clean,VERB,ILL_STATE
rag,dry up,dry,dry,ADJ,ILL_STATE
rag,toss,toss,toss,NOUN,ILL_STATE
rag,squeeze,squeeze,squeeze,VERB,ILL_STATE
jeweler,sell ,sell,sell,VERB,ILL_STATE
vase,hold,hold,hold,VERB,ILL_STATE
vase,sit,sit,sit,VERB,ILL_STATE
vase,carry,carry,carry,VERB,ILL_STATE
lid,close,close,close,ADJ,ILL_STATE
lid,open,open,open,VERB,ILL_STATE
lid,crack ,crack,crack,VERB,ILL_STATE
chair,sit,sit,sit,VERB,ILL_STATE
chair,lay,lay,lay,VERB,ILL_STATE
chair,block,block,block,VERB,ILL_STATE
chair,swirl,swirl,swirl,VERB,ILL_STATE
chair,rock back and forth ,rock,rock,VERB,ILL_STATE
chair,rock back and forth ,back,back,ADV,ILL_STATE
chair,rock back and forth ,forth,forth,ADV,ILL_STATE
jet,spray,spray,spray,VERB,ILL_STATE
dressing,on salads,salads,salad,NOUN,ILL_STATE
greenery,look pretty,look,look,VERB,ILL_STATE
greenery,look pretty,pretty,pretty,ADV,ILL_STATE
greenery,decorate ,decorate,decorate,VERB,ILL_STATE
clover,wish,wish,wish,VERB,ILL_STATE
clover,hold,hold,hold,VERB,ILL_STATE
clover,collect,collect,collect,VERB,ILL_STATE
clover,pull,pull,pull,VERB,ILL_STATE
critter,crawl,crawl,crawl,VERB,ILL_STATE
kneecap,move,move,move,VERB,ILL_STATE
kneecap,kneel,kneel,kneel,VERB,ILL_STATE
tummy,squeeze,squeeze,squeeze,VERB,ILL_STATE
tummy,pull,pull,pull,VERB,ILL_STATE
tummy,push out,push,push,VERB,ILL_STATE
tummy,lay on,lay,lay,VERB,ILL_STATE
tummy,fill up ,fill,fill,VERB,ILL_STATE
elephant,ride,ride,ride,VERB,ILL_STATE
elephant,look at,look,look,VERB,ILL_STATE
elephant,play with,play,play,VERB,ILL_STATE
twig,pull,pull,pull,VERB,ILL_STATE
twig,grab,grab,grab,VERB,ILL_STATE
locket,lock,lock,lock,VERB,ILL_STATE
auto,mobile,mobile,mobile,ADJ,ILL_STATE
stereo,listen,listen,listen,VERB,ILL_STATE
stereo,play,play,play,VERB,ILL_STATE
stereo,dance,dance,dance,VERB,ILL_STATE
lamplight,turn on and off,turn,turn,VERB,ILL_STATE
lamplight,set down,set,set,VERB,ILL_STATE
tub,put things in,put,put,VERB,ILL_STATE
tub,put things in,things,thing,NOUN,ILL_STATE
tub,lay in,lay,lay,VERB,ILL_STATE
tub,store items ,store,store,NOUN,ILL_STATE
tub,store items ,items,item,NOUN,ILL_STATE
pistachio,eat,eat,eat,VERB,ILL_STATE
