Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,1,2023-07-27T18:10:16+00:00,29.126978158951,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,28742,,,-1,-1,,,,,0.677
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,2,2023-07-27T18:10:40+00:00,24.35343503952,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,23637,,,-1,-1,,,,,1
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,3,2023-07-27T18:13:27+00:00,166.77020382881,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,165957,,,-1,-1,,,,,0.213
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,4,2023-07-27T18:13:35+00:00,8.0665559768677,1,"updated stim.csv",Version1.csv,"Version 1","List 1",grain,,635,4.708333333,1700,0.685106443,636,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7757,,,2702,6261,,,,"cook, throw, eat",1
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,5,2023-07-27T18:13:49+00:00,14.006549119949,1,"updated stim.csv",Version1.csv,"Version 1","List 1",paperwork,,632,4.28,439,0.557499565,633,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13503,,,4870,12448,,,,"work, burn, store",1
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,6,2023-07-27T18:13:58+00:00,8.2777390480042,1,"updated stim.csv",Version1.csv,"Version 1","List 1",glove,,631,5.217391304,2788,0.288599309,632,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7481,,,1586,6705,,,,"wear, puppet",1
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,7,2023-07-27T18:14:03+00:00,5.6261129379272,1,"updated stim.csv",Version1.csv,"Version 1","List 1",shortening,,633,4.961538462,2303,0.081957919,634,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4897,,,3593,4184,,,,none,1
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,8,2023-07-27T18:14:15+00:00,11.523905992508,1,"updated stim.csv",Version1.csv,"Version 1","List 1",spaghetti,,634,4.608695652,2807,0.295026168,635,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10710,,,1446,10125,,,,"cook, throw, papercraft",1
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,9,2023-07-27T18:14:17+00:00,2.4300301074982,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1717,,,-1,-1,,,,,1
599c1da9a954a50001ef1cb7,gdhr2z4tqq,"Affordance Norms_Prolific",1,10,2023-07-27T18:23:44+00:00,566.95656991005,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,566172,,,-1,-1,,,,,0.151
