Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,1,2023-05-14T17:40:26+00:00,10.51118016243,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10292,,,-1,-1,,,,,0.98
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,2,2023-05-14T17:40:41+00:00,14.659443855286,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,14025,,,-1,-1,,,,,1
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,3,2023-05-14T17:40:46+00:00,5.3860239982605,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4968,,,-1,-1,,,,,1
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,4,2023-05-14T17:41:40+00:00,54.601585149765,44,"updated stim.csv",Version44.csv,"Version 44","List 44",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,54149,,,12456,52626,,,,"Medical details, paper plane, door stop",1
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,5,2023-05-14T17:42:14+00:00,33.681967973709,44,"updated stim.csv",Version44.csv,"Version 44","List 44",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,33324,,,2192,28482,,,,"Food, Tower building, eye poker, ",1
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,6,2023-05-14T17:43:26+00:00,71.695146799088,44,"updated stim.csv",Version44.csv,"Version 44","List 44",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,71203,,,7920,69993,,,,"Cooking, Feeding birds, lighting.",0.952
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,7,2023-05-14T17:43:51+00:00,24.689918041229,44,"updated stim.csv",Version44.csv,"Version 44","List 44",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24190,,,1918,22886,,,,"Cooking, weapon, doorstop, paperweight.",1
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,8,2023-05-14T17:44:22+00:00,30.947052001953,44,"updated stim.csv",Version44.csv,"Version 44","List 44",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,30156,,,1888,18902,,,,"Food, clothes",1
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,9,2023-05-14T17:44:25+00:00,3.8770551681519,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3244,,,-1,-1,,,,,1
63d13efb60b6ba4c433bad7d,s9cpyt72tl,"Affordance Norms_Prolific",1,10,2023-05-14T17:44:28+00:00,2.8642539978027,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2407,,,-1,-1,,,,,1
