Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,1,2023-02-07T01:22:12+00:00,16.879307985306,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,16658,,,-1,-1,,,,,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,2,2023-02-07T01:22:27+00:00,14.574766159058,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,14291,,,-1,-1,,,,,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,3,2023-02-07T01:22:30+00:00,3.8144149780273,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3641,,,-1,-1,,,,,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,4,2023-02-07T01:22:49+00:00,18.418924808502,62,"updated stim.csv",Version62.csv,"Version 62","List 62",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18136,,,3923,17556,,,,"filed, organized",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,5,2023-02-07T01:22:57+00:00,7.8949530124664,62,"updated stim.csv",Version62.csv,"Version 62","List 62",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7620,,,1440,6032,,,,"eaten, cooked, thrown",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,6,2023-02-07T01:23:06+00:00,9.3868172168732,62,"updated stim.csv",Version62.csv,"Version 62","List 62",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9114,,,3220,7928,,,,"i don't know what that is",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,7,2023-02-07T01:23:18+00:00,12.07731795311,62,"updated stim.csv",Version62.csv,"Version 62","List 62",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11813,,,1815,11484,,,,"served food on, thrown, played with",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,8,2023-02-07T01:23:24+00:00,5.7127819061279,62,"updated stim.csv",Version62.csv,"Version 62","List 62",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5431,,,1396,4417,,,,"eaten, grown",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,9,2023-02-07T01:23:25+00:00,1.494106054306,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1325,,,-1,-1,,,,,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,10,2023-02-07T01:23:27+00:00,1.6421220302582,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1478,,,-1,-1,,,,,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,11,2023-02-07T01:23:33+00:00,6.2261629104614,62,"updated stim.csv",Version62.csv,"Version 62","List 62",bistro,,1832,4.518518519,226,0.266151381,1833,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5960,,,2955,4919,,,,"eaten in",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,12,2023-02-07T01:23:40+00:00,7.1849551200867,62,"updated stim.csv",Version62.csv,"Version 62","List 62",dressmaker,,1837,4.875,846,0.56333446,1838,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6890,,,2395,5867,,,,"make dresses",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,13,2023-02-07T01:23:47+00:00,6.4364309310913,62,"updated stim.csv",Version62.csv,"Version 62","List 62",tinderbox,,1834,4.958333333,2702,0.83776024,1835,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5502,,,1861,4995,,,,"i don't know what that is",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,14,2023-02-07T01:23:59+00:00,12.378967046738,62,"updated stim.csv",Version62.csv,"Version 62","List 62",hookers,,1853,5.08,1309,0.038086137,1854,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11994,,,1828,9484,,,,?,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,15,2023-02-07T01:24:05+00:00,6.0799510478973,62,"updated stim.csv",Version62.csv,"Version 62","List 62",mantel,,1842,5,1595,0.899141268,1843,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5820,,,1862,5783,,,,"place things on, storagee",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,16,2023-02-07T01:24:16+00:00,10.88280582428,62,"updated stim.csv",Version62.csv,"Version 62","List 62",beaker,,1855,5.416666667,180,0.721862353,1856,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10613,,,2091,10334,,,,"heat things up, hold liquid, measure liquid",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,17,2023-02-07T01:24:27+00:00,10.457678079605,62,"updated stim.csv",Version62.csv,"Version 62","List 62",antique,,1858,4.423076923,50,0.737049157,1859,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10194,,,1509,9910,,,,"look at, collect, used for decoration",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,18,2023-02-07T01:24:41+00:00,14.621330022812,62,"updated stim.csv",Version62.csv,"Version 62","List 62",fish,,1850,5.592592593,989,0.021287722,1851,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14087,,,2238,13966,,,,"cooked, eaten, kept as pet, looked at",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,19,2023-02-07T01:24:47+00:00,5.6670479774475,62,"updated stim.csv",Version62.csv,"Version 62","List 62",tourniquet,,1839,4.956521739,2745,0.067069767,1840,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5497,,,1818,4560,,,,"stop blood",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,20,2023-02-07T01:24:50+00:00,2.5373420715332,62,"updated stim.csv",Version62.csv,"Version 62","List 62",burlap,,1843,5.333333333,367,0.714399014,1844,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2363,,,2103,2103,,,,?,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,21,2023-02-07T01:24:51+00:00,1.5825188159943,62,"updated stim.csv",Version62.csv,"Version 62","List 62",crankshaft,,1848,4.666666667,682,0.492233898,1849,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,1424,,,1160,1160,,,,?,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,22,2023-02-07T01:24:55+00:00,4.0340330600739,62,"updated stim.csv",Version62.csv,"Version 62","List 62",scotch,,1852,5.4,2281,0.068387276,1853,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3875,,,1212,2915,,,,drank,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,23,2023-02-07T01:25:05+00:00,9.7770991325378,62,"updated stim.csv",Version62.csv,"Version 62","List 62",sweatband,,1860,6.041666667,2603,0.370117836,1861,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9506,,,1545,8973,,,,"used for exercise, used for style",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,24,2023-02-07T01:25:09+00:00,4.0037088394165,62,"updated stim.csv",Version62.csv,"Version 62","List 62",booklet,,1833,5.5,275,0.179367431,1834,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3815,,,1453,3070,,,,read,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,25,2023-02-07T01:25:12+00:00,2.7059931755066,62,"updated stim.csv",Version62.csv,"Version 62","List 62",husk,,1841,4.304347826,1339,0.813667226,1842,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2537,,,2284,2284,,,,?,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,26,2023-02-07T01:26:01+00:00,49.569077968597,62,"updated stim.csv",Version62.csv,"Version 62","List 62",tuna,,1857,4.916666667,2797,0.252862233,1858,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,49287,,,44506,46943,,,,"eaten, baked",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,27,2023-02-07T01:26:07+00:00,5.6106050014496,62,"updated stim.csv",Version62.csv,"Version 62","List 62",heads,,1844,4.28,1272,0.346752524,1845,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5311,,,1898,4070,,,,"turned, hit",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,28,2023-02-07T01:26:16+00:00,9.3733448982239,62,"updated stim.csv",Version62.csv,"Version 62","List 62",rope,,1854,6.2,2192,0.92769485,1855,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9104,,,1287,8744,,,,"jumped, used to tie things up",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,29,2023-02-07T01:26:19+00:00,2.6794719696045,62,"updated stim.csv",Version62.csv,"Version 62","List 62",shopper,,1846,4.541666667,2354,0.086521622,1847,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2512,,,-1,-1,,,,,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,30,2023-02-07T01:26:27+00:00,7.9792411327362,62,"updated stim.csv",Version62.csv,"Version 62","List 62",dictionary,,1851,6.04,790,0.142711561,1852,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7715,,,1507,7492,,,,"read, look things up",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,31,2023-02-07T01:26:30+00:00,3.1445569992065,62,"updated stim.csv",Version62.csv,"Version 62","List 62",weaponry,,1856,5,2915,0.043267068,1857,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2973,,,2115,2869,,,,fight,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,32,2023-02-07T01:26:32+00:00,1.5548210144043,62,"updated stim.csv",Version62.csv,"Version 62","List 62",pedometer,,1838,5.681818182,1904,0.404973688,1839,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,1393,,,-1,-1,,,,,1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,33,2023-02-07T01:26:36+00:00,4.6185829639435,62,"updated stim.csv",Version62.csv,"Version 62","List 62",track,,1845,4.916666667,2751,0.091398052,1846,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4459,,,1235,4271,,,,"run on, walk on",1
M20309967_AMF,hxbdire6ol,"Affordance Norms_MSU_TEX",1,34,2023-02-07T01:26:39+00:00,2.8495428562164,62,"updated stim.csv",Version62.csv,"Version 62","List 62",coffee,,1836,5.538461538,592,0.10162462,1837,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2425,,,1311,2058,,,,drank,1
