Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10098177,35b9jr7uqg,"BOI Norms",1,1,2022-03-31T09:29:04+00:00,24.956638097763,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,24637,,,-1,-1,,,,,1
w10098177,35b9jr7uqg,"BOI Norms",1,2,2022-03-31T09:29:21+00:00,17.566118001938,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,17146,,,-1,-1,,,,,1
w10098177,35b9jr7uqg,"BOI Norms",1,3,2022-03-31T09:29:26+00:00,4.9833419322968,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4581,,,-1,-1,,,,,1
w10098177,35b9jr7uqg,"BOI Norms",1,4,2022-03-31T09:30:03+00:00,36.617680072784,6,"updated stim.csv",Version81.csv,"Version 81","List 81",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,36044,,,11905,30501,,,,"Eat, art, cooked, thrown",1
w10098177,35b9jr7uqg,"BOI Norms",1,5,2022-03-31T09:30:18+00:00,15.112497806549,6,"updated stim.csv",Version81.csv,"Version 81","List 81",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14544,,,4619,12202,,,,"Cooked, thrown, eaten ",1
w10098177,35b9jr7uqg,"BOI Norms",1,6,2022-03-31T09:30:26+00:00,7.5180110931396,6,"updated stim.csv",Version81.csv,"Version 81","List 81",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7090,,,4321,5963,,,,Cooking,1
w10098177,35b9jr7uqg,"BOI Norms",1,7,2022-03-31T09:30:53+00:00,26.969727993011,6,"updated stim.csv",Version81.csv,"Version 81","List 81",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26528,,,9926,24736,,,,"Filed ",1
w10098177,35b9jr7uqg,"BOI Norms",1,8,2022-03-31T09:31:04+00:00,11.079716920853,6,"updated stim.csv",Version81.csv,"Version 81","List 81",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10663,,,4234,9632,,,,"Drunk, fly",1
w10098177,35b9jr7uqg,"BOI Norms",1,9,2022-03-31T09:31:06+00:00,2.5309071540833,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2291,,,-1,-1,,,,,1
w10098177,35b9jr7uqg,"BOI Norms",1,10,2022-03-31T09:31:10+00:00,3.3537549972534,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3117,,,-1,-1,,,,,1
w10098177,35b9jr7uqg,"BOI Norms",1,11,2022-03-31T09:31:28+00:00,18.279083967209,6,"updated stim.csv",Version81.csv,"Version 81","List 81",children,,2417,5.52,522,0.395641564,2418,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17865,,,2326,15707,,,,"Raise, play, teach, love",1
w10098177,35b9jr7uqg,"BOI Norms",1,12,2022-03-31T09:31:36+00:00,7.7563800811768,6,"updated stim.csv",Version81.csv,"Version 81","List 81",footbridge,,2412,4.777777778,1034,0.3516224,2413,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7153,,,5111,6028,,,,Walk,1
w10098177,35b9jr7uqg,"BOI Norms",1,13,2022-03-31T09:31:51+00:00,15.459807872772,6,"updated stim.csv",Version81.csv,"Version 81","List 81",beachwear,,2425,6.304347826,177,0.306278297,2426,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14916,,,2812,13942,,,,"Buy, wear, swim, tan",1
w10098177,35b9jr7uqg,"BOI Norms",1,14,2022-03-31T09:31:58+00:00,6.9096410274506,6,"updated stim.csv",Version81.csv,"Version 81","List 81",cruiser,,2418,4.304347826,713,0.763245435,2419,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6483,,,4393,5498,,,,Ride,1
w10098177,35b9jr7uqg,"BOI Norms",1,15,2022-03-31T09:32:06+00:00,7.9896540641785,6,"updated stim.csv",Version81.csv,"Version 81","List 81",dividers,,2427,4.384615385,806,0.255487869,2428,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7584,,,2366,6186,,,,Sorting,1
w10098177,35b9jr7uqg,"BOI Norms",1,16,2022-03-31T09:32:31+00:00,24.73673081398,6,"updated stim.csv",Version81.csv,"Version 81","List 81",desk,,2428,6.260869565,780,0.175575772,2429,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,24302,,,2256,21642,,,,"Sleep, work, sit on, storage ",1
w10098177,35b9jr7uqg,"BOI Norms",1,17,2022-03-31T09:33:17+00:00,46.667261123657,6,"updated stim.csv",Version81.csv,"Version 81","List 81",adult,,2404,5.409090909,15,0.392224703,2405,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,46223,,,5401,44780,,,,"Pay bills, used, work",1
w10098177,35b9jr7uqg,"BOI Norms",1,18,2022-03-31T09:33:34+00:00,16.725498914719,6,"updated stim.csv",Version81.csv,"Version 81","List 81",blanket,,2420,6.56,232,0.58177062,2421,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16114,,,4385,14879,,,,"Sleep with, keep you warm",1
w10098177,35b9jr7uqg,"BOI Norms",1,19,2022-03-31T09:33:43+00:00,8.6030211448669,6,"updated stim.csv",Version81.csv,"Version 81","List 81",hallway,,2401,4.708333333,1220,0.034623451,2402,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8101,,,2572,6328,,,,"Walk down",1
w10098177,35b9jr7uqg,"BOI Norms",1,20,2022-03-31T09:34:09+00:00,26.12101483345,6,"updated stim.csv",Version81.csv,"Version 81","List 81",weed,,2421,5.28,2918,0.919076736,2422,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,25680,,,2869,24408,,,,"Hack it, pull it, spray it, cut it",1
w10098177,35b9jr7uqg,"BOI Norms",1,21,2022-03-31T09:34:28+00:00,19.08948802948,6,"updated stim.csv",Version81.csv,"Version 81","List 81",Mug,,2415,6.13900135,1713,0.461820366,2416,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18664,,,5243,17261,,,,"Take a picture of, drink from",1
w10098177,35b9jr7uqg,"BOI Norms",1,22,2022-03-31T09:34:49+00:00,21.282157182693,6,"updated stim.csv",Version81.csv,"Version 81","List 81",chiropractor,,2405,5.5,530,0.633975711,2406,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20859,,,5126,19765,,,,"Massage back, crack back",1
