Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,1,2023-01-06T21:32:06+00:00,15.432355165482,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,14693,,,-1,-1,,,,,1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,2,2023-01-06T21:32:18+00:00,11.930635929108,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10985,,,-1,-1,,,,,1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,3,2023-01-06T21:32:23+00:00,4.4544529914856,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3819,,,-1,-1,,,,,1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,4,2023-01-06T21:34:18+00:00,115.5450360775,98,"updated stim.csv",Version98.csv,"Version 98","List 98",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,114580,,,5721,113477,,,,"counted, eaten, snorted, groundup, soaked, smothered, spread, opened-up, laid bottom to top, lined, stood up, rubbed against your nipple, soaked, planted, buried, blown, fed to a dog or a cat, hidden",1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,5,2023-01-06T21:35:46+00:00,87.455507040024,98,"updated stim.csv",Version98.csv,"Version 98","List 98",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,86615,,,3426,73249,,,,"eaten, cooked, snapped, broken up into 10 pieces and counted, boiled, chewed, crunched, used as ear cleaner, nostril cleaner, belly-button cleaner, used to stand up meat, tongue rest, leaf picker, ",0.986
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,6,2023-01-06T21:36:59+00:00,73.905292987823,98,"updated stim.csv",Version98.csv,"Version 98","List 98",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,73031,,,4642,71008,,,,"licked, used as a small plate, used as a pretend steering wheel, used as a pretend boat controller, a hat, a plant pot water collector, a fresh egg storage place, a ",1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,7,2023-01-06T21:37:59+00:00,59.929632902145,98,"updated stim.csv",Version98.csv,"Version 98","List 98",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,59044,,,3211,48049,,,,"eaten, baed, cooked, used as the base of a pie or a cake, used to feed pigs, used to feed children, used to block out drafts, used by babies to teethe",1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,8,2023-01-06T21:39:42+00:00,103.06652593613,98,"updated stim.csv",Version98.csv,"Version 98","List 98",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,102103,,,6246,93130,,,,"sat on, burned, stepped on, folded into origami, used as a plate protector, used to protect dishes when changing house, rolled up and used as a pretend telescope, drawn on the reverse, cut up and used as decorations, ",1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,9,2023-01-06T21:39:45+00:00,2.3453621864319,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1788,,,-1,-1,,,,,1
61015f63f9a351d3171a0f98,rp7e1yxk2n,"Affordance Norms_Prolific",1,10,2023-01-06T21:39:47+00:00,2.1866698265076,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1667,,,-1,-1,,,,,1
