Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,1,2023-07-27T18:34:12+00:00,54.92547917366,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,54311,,,-1,-1,,,,,1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,2,2023-07-27T18:34:24+00:00,12.198297023773,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11587,,,-1,-1,,,,,1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,3,2023-07-27T18:34:29+00:00,4.7057609558105,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4103,,,-1,-1,,,,,1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,4,2023-07-27T18:34:43+00:00,13.866425037384,1,"updated stim.csv",Version1.csv,"Version 1","List 1",paperwork,,632,4.28,439,0.557499565,633,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13220,,,5498,12941,,,,"Filled in, filed, shredded",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,5,2023-07-27T18:34:56+00:00,12.608325958252,1,"updated stim.csv",Version1.csv,"Version 1","List 1",grain,,635,4.708333333,1700,0.685106443,636,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11993,,,4486,11558,,,,"grind, gather, keep",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,6,2023-07-27T18:35:06+00:00,10.404409885406,1,"updated stim.csv",Version1.csv,"Version 1","List 1",spaghetti,,634,4.608695652,2807,0.295026168,635,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9769,,,1886,9393,,,,"Boil, eat, store",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,7,2023-07-27T18:35:19+00:00,13.151246070862,1,"updated stim.csv",Version1.csv,"Version 1","List 1",glove,,631,5.217391304,2788,0.288599309,632,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12370,,,1310,11793,,,,"wear, pair, remove",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,8,2023-07-27T18:35:30+00:00,10.494939088821,1,"updated stim.csv",Version1.csv,"Version 1","List 1",shortening,,633,4.961538462,2303,0.081957919,634,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9840,,,5337,9345,,,,"cut, fold, tear",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,9,2023-07-27T18:35:32+00:00,2.4761419296265,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2057,,,-1,-1,,,,,1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,10,2023-07-27T18:35:34+00:00,1.974319934845,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1624,,,-1,-1,,,,,1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,11,2023-07-27T18:35:45+00:00,10.988919973373,1,"updated stim.csv",Version1.csv,"Version 1","List 1",straightedge,,15,4.666666667,1168,0.129741388,16,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10390,,,2899,10143,,,,"ruler, sideboard, book",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,12,2023-07-27T18:36:05+00:00,19.89978313446,1,"updated stim.csv",Version1.csv,"Version 1","List 1",upholstery,,28,5.142857143,2618,0.332046282,29,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,19094,,,1608,14868,,,,"furnature, curtains, ",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,13,2023-07-27T18:36:15+00:00,10.413908004761,1,"updated stim.csv",Version1.csv,"Version 1","List 1",juror,,17,5.481481481,1600,0.476399064,18,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9753,,,4304,9523,,,,"law, justice",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,14,2023-07-27T18:36:22+00:00,6.6414759159088,1,"updated stim.csv",Version1.csv,"Version 1","List 1",musket,,14,4.958333333,2722,0.368202979,15,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5871,,,1291,5728,,,,"gun, old, fire, bullet",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,15,2023-07-27T18:36:33+00:00,11.458163022995,1,"updated stim.csv",Version1.csv,"Version 1","List 1",crossbar,,8,5.454545455,1935,0.125396232,9,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10820,,,6106,10279,,,,"stablise, block",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,16,2023-07-27T18:36:40+00:00,6.8082790374756,1,"updated stim.csv",Version1.csv,"Version 1","List 1",tapioca,,18,4.666666667,1815,0.413937663,19,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5663,,,1396,5413,,,,"eat, drink",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,17,2023-07-27T18:36:48+00:00,7.4698498249054,1,"updated stim.csv",Version1.csv,"Version 1","List 1",munitions,,9,4.875,2448,0.423270691,10,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7076,,,3314,6785,,,,"arm, equip",1
5e5e7e81381c27000b1e9cba,uo2gt18r5b,"Affordance Norms_Prolific",1,18,2023-07-27T18:37:41+00:00,52.898694992065,1,"updated stim.csv",Version1.csv,"Version 1","List 1",capacitor,,3,5.76,1666,0.330502966,4,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,52107,,,50626,51671,,,,holder,1
