Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
10048843AC,gxzemh2ia4,"BOI Norms",1,1,2020-10-26T09:49:36-07:00,11.028646945953,2,"updated stim.csv",Version77.csv,"Version 77","List 77",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10837,,,-1,-1,,,,,1
10048843AC,gxzemh2ia4,"BOI Norms",1,2,2020-10-26T09:49:47-07:00,11.011239051819,2,"updated stim.csv",Version77.csv,"Version 77","List 77",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10772,,,-1,-1,,,,,1
10048843AC,gxzemh2ia4,"BOI Norms",1,3,2020-10-26T09:49:50-07:00,3.4367709159851,2,"updated stim.csv",Version77.csv,"Version 77","List 77",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3183,,,-1,-1,,,,,1
10048843AC,gxzemh2ia4,"BOI Norms",1,4,2020-10-26T09:50:01-07:00,10.820111989975,2,"updated stim.csv",Version77.csv,"Version 77","List 77",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10561,,,6275,9909,,,,"bread, flour, wheat ",1
10048843AC,gxzemh2ia4,"BOI Norms",1,5,2020-10-26T09:50:10-07:00,9.3085241317749,2,"updated stim.csv",Version77.csv,"Version 77","List 77",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9024,,,1983,8137,,,,"food, heating, throwing, holding ",1
10048843AC,gxzemh2ia4,"BOI Norms",1,6,2020-10-26T09:50:18-07:00,7.8529710769653,2,"updated stim.csv",Version77.csv,"Version 77","List 77",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7568,,,2637,7009,,,,"cooking, smaller ",1
10048843AC,gxzemh2ia4,"BOI Norms",1,7,2020-10-26T09:50:24-07:00,5.5951778888702,2,"updated stim.csv",Version77.csv,"Version 77","List 77",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5316,,,1498,4458,,,,"food, sauce, cheese ",1
10048843AC,gxzemh2ia4,"BOI Norms",1,8,2020-10-26T09:50:34-07:00,10.551104068756,2,"updated stim.csv",Version77.csv,"Version 77","List 77",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10278,,,1764,9641,,,,"hard, long, paper, ink, pen",1
10048843AC,gxzemh2ia4,"BOI Norms",1,9,2020-10-26T09:50:36-07:00,1.566241979599,2,"updated stim.csv",Version77.csv,"Version 77","List 77",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1290,,,-1,-1,,,,,1
10048843AC,gxzemh2ia4,"BOI Norms",1,10,2020-10-26T09:50:45-07:00,9.1725368499756,2,"updated stim.csv",Version77.csv,"Version 77","List 77",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,8909,,,-1,-1,,,,,1
