Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,1,2022-09-25T16:54:37+00:00,11.466979026794,12,"updated stim.csv",Version12.csv,"Version 12","List 12",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11360,,,-1,-1,,,,,1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,2,2022-09-25T16:54:49+00:00,11.644442796707,12,"updated stim.csv",Version12.csv,"Version 12","List 12",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11389,,,-1,-1,,,,,1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,3,2022-09-25T16:54:54+00:00,5.2193760871887,12,"updated stim.csv",Version12.csv,"Version 12","List 12",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,5035,,,-1,-1,,,,,1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,4,2022-09-25T16:55:25+00:00,31.403335094452,12,"updated stim.csv",Version12.csv,"Version 12","List 12",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,31027,,,13643,23533,,,,"baking, cooking, ",1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,5,2022-09-25T16:55:55+00:00,29.354429006577,12,"updated stim.csv",Version12.csv,"Version 12","List 12",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28989,,,3879,28249,,,,"fax, write, give directions, understand",1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,6,2022-09-25T16:56:23+00:00,28.193899869919,12,"updated stim.csv",Version12.csv,"Version 12","List 12",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27821,,,2768,27132,,,,"cook, eat, collect, play",1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,7,2022-09-25T16:57:19+00:00,55.773941993713,12,"updated stim.csv",Version12.csv,"Version 12","List 12",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,55441,,,28892,54637,,,,"coaster, serving, dishware",1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,8,2022-09-25T16:58:15+00:00,56.219565153122,12,"updated stim.csv",Version12.csv,"Version 12","List 12",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,55843,,,1499,11897,,,,"eat, make, throw, play, ",1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,9,2022-09-25T16:58:17+00:00,2.6152698993683,12,"updated stim.csv",Version12.csv,"Version 12","List 12",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2408,,,-1,-1,,,,,1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,10,2022-09-25T16:58:32+00:00,15.083560943604,12,"updated stim.csv",Version12.csv,"Version 12","List 12",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,14782,,,-1,-1,,,,,1
AP5326,2ckdckva6o,"Affordance Norms_ILSTU",1,11,2022-09-25T16:59:11+00:00,38.539004087448,12,"updated stim.csv",Version12.csv,"Version 12","List 12",fungus,,346,4.32,1064,347,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,38171,,,9587,34611,,,,"make, eat",1
