Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,1,2023-05-09T20:21:16+00:00,13.153059959412,46,"updated stim.csv",Version46.csv,"Version 46","List 46",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12464,,,-1,-1,,,,,1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,2,2023-05-09T20:21:28+00:00,11.822777986526,46,"updated stim.csv",Version46.csv,"Version 46","List 46",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11110,,,-1,-1,,,,,1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,3,2023-05-09T20:21:32+00:00,3.9959869384766,46,"updated stim.csv",Version46.csv,"Version 46","List 46",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3017,,,-1,-1,,,,,1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,4,2023-05-09T20:21:43+00:00,11.332623958588,46,"updated stim.csv",Version46.csv,"Version 46","List 46",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9992,,,4151,7817,,,,"baking, cooking",1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,5,2023-05-09T20:22:14+00:00,31.169672012329,46,"updated stim.csv",Version46.csv,"Version 46","List 46",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,30173,,,2663,25650,,,,"filing, studying, revising, reading, paying, burning,",1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,6,2023-05-09T20:23:37+00:00,82.669983148575,46,"updated stim.csv",Version46.csv,"Version 46","List 46",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,81741,,,10164,78822,,,,"holding a cup, holding a plant pot, a pets drinking bowl, to draw around, eating off, displaying on the wall, to sit a candle on",1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,7,2023-05-09T20:24:01+00:00,23.624691963196,46,"updated stim.csv",Version46.csv,"Version 46","List 46",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,22609,,,3025,15940,,,,"eating, crafts with children, ",1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,8,2023-05-09T20:24:36+00:00,35.077769041061,46,"updated stim.csv",Version46.csv,"Version 46","List 46",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,33838,,,2725,31858,,,,"eating, cooking, crafts with children, making flour, feeding animals,",1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,9,2023-05-09T20:24:38+00:00,2.5494039058685,46,"updated stim.csv",Version46.csv,"Version 46","List 46",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1834,,,-1,-1,,,,,1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,10,2023-05-09T20:24:42+00:00,3.4582190513611,46,"updated stim.csv",Version46.csv,"Version 46","List 46",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2422,,,-1,-1,,,,,1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,11,2023-05-09T20:26:05+00:00,83.679720878601,46,"updated stim.csv",Version46.csv,"Version 46","List 46",handclasp,,1376,4.681818182,1235,0.118953714,1377,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,82950,,,10713,80948,,,,"greeting, parting, committing to an agreement",1
5f02daa521345d453a228f9b,vw7ali0lq3,"Affordance Norms_Prolific",1,12,2023-05-09T20:26:44+00:00,38.389002084732,46,"updated stim.csv",Version46.csv,"Version 46","List 46",washbowl,,1374,5.692307692,2897,0.33341444,1375,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,37421,,,4943,23988,,,,"washing dishes, carrying water, ",1
