Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,1,2023-07-25T18:20:50+00:00,12.407171010971,20,"updated stim.csv",Version20.csv,"Version 20","List 20",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12093,,,-1,-1,,,,,1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,2,2023-07-25T18:21:02+00:00,11.779883861542,20,"updated stim.csv",Version20.csv,"Version 20","List 20",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11402,,,-1,-1,,,,,1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,3,2023-07-25T18:21:12+00:00,9.6699221134186,20,"updated stim.csv",Version20.csv,"Version 20","List 20",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,9309,,,-1,-1,,,,,1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,4,2023-07-25T18:21:53+00:00,41.106025934219,20,"updated stim.csv",Version20.csv,"Version 20","List 20",spaghetti,,634,4.608695652,2807,0.295026168,635,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,40726,,,4509,35228,,,,"food, dog food, plant fertilizer",1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,5,2023-07-25T18:22:26+00:00,32.732161998749,20,"updated stim.csv",Version20.csv,"Version 20","List 20",grain,,635,4.708333333,1700,0.685106443,636,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,32328,,,5174,30326,,,,"food, bird food, weight, beanbag filler",1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,6,2023-07-25T18:22:54+00:00,28.384176969528,20,"updated stim.csv",Version20.csv,"Version 20","List 20",glove,,631,5.217391304,2788,0.288599309,632,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28001,,,4054,25799,,,,"keep hands warm, burn for heat, smack a Frenchman's cheek",1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,7,2023-07-25T18:23:21+00:00,26.860176086426,20,"updated stim.csv",Version20.csv,"Version 20","List 20",paperwork,,632,4.28,439,0.557499565,633,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26475,,,5848,24968,,,,"time waster, recycling, fire starter",1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,8,2023-07-25T18:23:47+00:00,26.495633840561,20,"updated stim.csv",Version20.csv,"Version 20","List 20",shortening,,633,4.961538462,2303,0.081957919,634,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26115,,,3521,24944,,,,"bake pie crusts, make biscuits, fry good chicken",1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,9,2023-07-25T18:23:50+00:00,2.282191991806,20,"updated stim.csv",Version20.csv,"Version 20","List 20",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2026,,,-1,-1,,,,,1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,10,2023-07-25T18:23:53+00:00,3.2423801422119,20,"updated stim.csv",Version20.csv,"Version 20","List 20",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2989,,,-1,-1,,,,,1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,11,2023-07-25T18:24:13+00:00,20.029458045959,20,"updated stim.csv",Version20.csv,"Version 20","List 20",ventilator,,584,4.909090909,1257,0.234929947,585,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,19670,,,6813,18428,,,,"keep somebody alive, block a doorway",1
5c3b70640eaa0100018ea877,qcx4wh3toh,"Affordance Norms_Prolific",1,12,2023-07-25T18:24:40+00:00,26.765263795853,20,"updated stim.csv",Version20.csv,"Version 20","List 20",booze,,593,5.72,987,0.915415576,594,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,26399,,,3174,24510,,,,"drink it, burn it, flush a toilet",0.926
