Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
10138868,jwvizmiczl,"BOI Norms",1,1,2022-12-01T00:47:27+00:00,12.285429954529,24,"updated stim.csv",Version74.csv,"Version 74","List 74",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12140,,,-1,-1,,,,,1
10138868,jwvizmiczl,"BOI Norms",1,2,2022-12-01T00:47:38+00:00,11.032569169998,24,"updated stim.csv",Version74.csv,"Version 74","List 74",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10944,,,-1,-1,,,,,1
10138868,jwvizmiczl,"BOI Norms",1,3,2022-12-01T00:47:41+00:00,3.1381919384003,24,"updated stim.csv",Version74.csv,"Version 74","List 74",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3046,,,-1,-1,,,,,1
10138868,jwvizmiczl,"BOI Norms",1,4,2022-12-01T00:47:52+00:00,11.675229072571,24,"updated stim.csv",Version74.csv,"Version 74","List 74",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11581,,,2937,10575,,,,"cook, rice, salt, sand",1
10138868,jwvizmiczl,"BOI Norms",1,5,2022-12-01T00:48:06+00:00,13.956032991409,24,"updated stim.csv",Version74.csv,"Version 74","List 74",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13856,,,1746,12725,,,,"shred, fill out, complete, throw, pick up",1
10138868,jwvizmiczl,"BOI Norms",1,6,2022-12-01T00:48:19+00:00,12.527565956116,24,"updated stim.csv",Version74.csv,"Version 74","List 74",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12413,,,2754,11093,,,,"hold food, plate, decor",1
10138868,jwvizmiczl,"BOI Norms",1,7,2022-12-01T00:48:28+00:00,9.4565250873566,24,"updated stim.csv",Version74.csv,"Version 74","List 74",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9326,,,4668,7850,,,,"baking, ",1
10138868,jwvizmiczl,"BOI Norms",1,8,2022-12-01T00:48:43+00:00,15.169661998749,24,"updated stim.csv",Version74.csv,"Version 74","List 74",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15084,,,1184,14440,,,,"eat, share, cook, sell, make",1
10138868,jwvizmiczl,"BOI Norms",1,9,2022-12-01T00:48:45+00:00,1.3023669719696,24,"updated stim.csv",Version74.csv,"Version 74","List 74",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1217,,,-1,-1,,,,,1
10138868,jwvizmiczl,"BOI Norms",1,10,2022-12-01T00:48:47+00:00,1.7931969165802,24,"updated stim.csv",Version74.csv,"Version 74","List 74",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1669,,,-1,-1,,,,,1
