Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,1,2022-11-24T09:38:44+00:00,11.303167104721,34,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11014,,,-1,-1,,,,,1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,2,2022-11-24T09:38:55+00:00,11.543039083481,34,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11162,,,-1,-1,,,,,1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,3,2022-11-24T09:39:00+00:00,4.5406730175018,34,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4163,,,-1,-1,,,,,1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,4,2022-11-24T09:39:34+00:00,34.812511920929,34,"updated stim.csv",Version34.csv,"Version 34","List 34",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,34424,,,3336,33112,,,,"Food, weaving, cooking, facial products",1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,5,2022-11-24T09:40:06+00:00,31.314028024673,34,"updated stim.csv",Version34.csv,"Version 34","List 34",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,30938,,,7083,29829,,,,"Eating, throwing, reheating",1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,6,2022-11-24T09:40:53+00:00,46.885663032532,34,"updated stim.csv",Version34.csv,"Version 34","List 34",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,46491,,,5619,45643,,,,"Organization, keeping track of things, stress inducer, buying something, selling something ",1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,7,2022-11-24T09:41:07+00:00,14.022300958633,34,"updated stim.csv",Version34.csv,"Version 34","List 34",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13600,,,2529,12429,,,,"Throwing, holding, pouring, sharing ",1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,8,2022-11-24T09:41:31+00:00,24.45910692215,34,"updated stim.csv",Version34.csv,"Version 34","List 34",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24058,,,4617,22766,,,,"Baking, non food related recipes ",1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,9,2022-11-24T09:41:34+00:00,2.3385591506958,34,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2125,,,-1,-1,,,,,1
J00710311_tmv,dn47rl8knu,"Affordance Norms_South Alabama",1,10,2022-11-24T09:41:36+00:00,2.4470279216766,34,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2230,,,-1,-1,,,,,1
