Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,1,2022-11-10T23:23:03+00:00,12.33828997612,76,"updated stim.csv",Version76.csv,"Version 76","List 76",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11748,,,-1,-1,,,,,1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,2,2022-11-10T23:23:14+00:00,10.820208072662,76,"updated stim.csv",Version76.csv,"Version 76","List 76",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10639,,,-1,-1,,,,,1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,3,2022-11-10T23:23:17+00:00,3.4368960857391,76,"updated stim.csv",Version76.csv,"Version 76","List 76",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3271,,,-1,-1,,,,,1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,4,2022-11-10T23:23:57+00:00,39.519180059433,76,"updated stim.csv",Version76.csv,"Version 76","List 76",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,39346,,,5838,33446,,,,"WRITE, DOCTORS APPOINTMENT, WORK, SCHOOL, GOVERNMENT, LAWS, JAIL, ASSISTANCE, ",1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,5,2022-11-10T23:24:24+00:00,27.492716789246,76,"updated stim.csv",Version76.csv,"Version 76","List 76",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27313,,,3193,25900,,,,"HEALTH, COOKING, BREAD, EATING, WORKING",1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,6,2022-11-10T23:25:05+00:00,40.286087036133,76,"updated stim.csv",Version76.csv,"Version 76","List 76",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,40112,,,6404,35581,,,,"SENTENCE, EFFICIENCY, TYPING, WRITING, TEXTING, CALLING, MESSAGING, HAIRCUT, CLOTHING",1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,7,2022-11-10T23:25:16+00:00,10.992529153824,76,"updated stim.csv",Version76.csv,"Version 76","List 76",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10811,,,2058,2912,,,,EAT,1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,8,2022-11-10T23:25:50+00:00,34.273190975189,76,"updated stim.csv",Version76.csv,"Version 76","List 76",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,34084,,,5208,32797,,,,"EATING, DRINKING, FLYING, THROWING, SMASHING, TRAVELING ",1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,9,2022-11-10T23:26:02+00:00,11.577225923538,76,"updated stim.csv",Version76.csv,"Version 76","List 76",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",11408,,,-1,-1,,,,,1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,10,2022-11-10T23:26:04+00:00,2.2141480445862,76,"updated stim.csv",Version76.csv,"Version 76","List 76",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2050,,,-1,-1,,,,,1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,11,2022-11-10T23:26:35+00:00,30.933045864105,76,"updated stim.csv",Version76.csv,"Version 76","List 76",canine,,2256,5.375,414,0.839193135,2257,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,30762,,,4451,29382,,,,"TEETH, DOGS, EATING, FRIEND, PET, VET, DENTISTRY",1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,12,2022-11-10T23:26:42+00:00,7.4984571933746,76,"updated stim.csv",Version76.csv,"Version 76","List 76",ventilator,,2279,4.72,2848,0.88891481,2280,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7325,,,1946,5928,,,,"BREATHING, AIR",1
M20302796AD,ty1oxdjy9q,"Affordance Norms_MSU_TEX",1,13,2022-11-10T23:27:18+00:00,35.554332017899,76,"updated stim.csv",Version76.csv,"Version 76","List 76",bracelet,,2262,6.5,300,0.136544033,2263,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,35377,,,1938,33736,,,,"DECORATION, DRESS UP, PRETTY, CARE, LOVE, memories, gift",1
