Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,1,2023-01-06T19:39:46+00:00,17.117941141129,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,16351,,,-1,-1,,,,,1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,2,2023-01-06T19:40:02+00:00,15.794803857803,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,14824,,,-1,-1,,,,,1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,3,2023-01-06T19:40:09+00:00,6.9866809844971,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,6150,,,-1,-1,,,,,1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,4,2023-01-06T19:40:15+00:00,6.0141460895538,51,"updated stim.csv",Version51.csv,"Version 51","List 51",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4871,,,3562,3971,,,,Eat,1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,5,2023-01-06T19:40:34+00:00,19.031883001328,51,"updated stim.csv",Version51.csv,"Version 51","List 51",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18134,,,6247,17337,,,,"File, print, send, put up",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,6,2023-01-06T19:41:03+00:00,29.033577919006,51,"updated stim.csv",Version51.csv,"Version 51","List 51",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27951,,,16704,19119,,,,"Language, ",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,7,2023-01-06T19:41:21+00:00,17.837459087372,51,"updated stim.csv",Version51.csv,"Version 51","List 51",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,16850,,,3862,16030,,,,"Sand, eat, art, play, learn, count",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,8,2023-01-06T19:41:32+00:00,11.465754032135,51,"updated stim.csv",Version51.csv,"Version 51","List 51",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10396,,,5017,9638,,,,"Fly, eat, play",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,9,2023-01-06T19:41:35+00:00,2.8711438179016,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1877,,,-1,-1,,,,,1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,10,2023-01-06T19:41:43+00:00,8.0734560489655,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,7102,,,-1,-1,,,,,1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,11,2023-01-06T19:41:57+00:00,13.970249176025,51,"updated stim.csv",Version51.csv,"Version 51","List 51",mayo,,1517,5.956521739,1627,0.0114764,1518,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,12950,,,4078,12130,,,,"Flavour, mask, sauce",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,12,2023-01-06T19:42:09+00:00,11.643290996552,51,"updated stim.csv",Version51.csv,"Version 51","List 51",sofa,,1526,6.608695652,2443,0.269242736,1527,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10774,,,3169,9962,,,,"Sit, sleep, relax",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,13,2023-01-06T19:42:18+00:00,9.654406785965,51,"updated stim.csv",Version51.csv,"Version 51","List 51",wheelbarrow,,1528,5.5,2922,0.212295551,1529,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8732,,,3157,7599,,,,"Work, play, explore",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,14,2023-01-06T19:42:32+00:00,13.7746322155,51,"updated stim.csv",Version51.csv,"Version 51","List 51",playwright,,1502,4.28,2005,0.095057385,1503,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,12899,,,9010,11891,,,,"Play, learn",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,15,2023-01-06T19:42:44+00:00,11.612998962402,51,"updated stim.csv",Version51.csv,"Version 51","List 51",infant,,1512,6.038461538,1353,0.940811184,1513,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9934,,,2908,8975,,,,"Learn, teach, ",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,16,2023-01-06T19:42:59+00:00,15.195330858231,51,"updated stim.csv",Version51.csv,"Version 51","List 51",stepson,,1523,5.304347826,2530,0.024295195,1524,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14239,,,7384,11651,,,,"Learn, love ",1
62e9500d5a48042efb992a4a,19nb58bkbi,"Affordance Norms_Prolific",1,17,2023-01-06T19:43:10+00:00,11.253404140472,51,"updated stim.csv",Version51.csv,"Version 51","List 51",onion,,1525,5.476190476,1809,0.403393639,1526,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10251,,,4196,6013,,,,"Cook, ",1
