Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10136251,8omvm73cxe,"BOI Norms",1,1,2022-11-29T14:35:46+00:00,10.873914003372,4,"updated stim.csv",Version54.csv,"Version 54","List 54",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10532,,,-1,-1,,,,,1
w10136251,8omvm73cxe,"BOI Norms",1,2,2022-11-29T14:35:58+00:00,11.853900909424,4,"updated stim.csv",Version54.csv,"Version 54","List 54",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11629,,,-1,-1,,,,,1
w10136251,8omvm73cxe,"BOI Norms",1,3,2022-11-29T14:36:01+00:00,3.0993120670319,4,"updated stim.csv",Version54.csv,"Version 54","List 54",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2883,,,-1,-1,,,,,1
w10136251,8omvm73cxe,"BOI Norms",1,4,2022-11-29T14:36:14+00:00,13.389148950577,4,"updated stim.csv",Version54.csv,"Version 54","List 54",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13173,,,11515,12311,,,,eat,1
w10136251,8omvm73cxe,"BOI Norms",1,5,2022-11-29T14:36:18+00:00,4.313873052597,4,"updated stim.csv",Version54.csv,"Version 54","List 54",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,3958,,,2205,3082,,,,write,1
w10136251,8omvm73cxe,"BOI Norms",1,6,2022-11-29T14:36:21+00:00,2.488972902298,4,"updated stim.csv",Version54.csv,"Version 54","List 54",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,2292,,,1112,1414,,,,eat,1
w10136251,8omvm73cxe,"BOI Norms",1,7,2022-11-29T14:36:27+00:00,6.4860389232635,4,"updated stim.csv",Version54.csv,"Version 54","List 54",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6283,,,2386,4914,,,,"put food on",1
w10136251,8omvm73cxe,"BOI Norms",1,8,2022-11-29T14:36:36+00:00,9.0194602012634,4,"updated stim.csv",Version54.csv,"Version 54","List 54",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8832,,,7141,7867,,,,short,1
w10136251,8omvm73cxe,"BOI Norms",1,9,2022-11-29T14:36:38+00:00,1.3884918689728,4,"updated stim.csv",Version54.csv,"Version 54","List 54",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1177,,,-1,-1,,,,,1
w10136251,8omvm73cxe,"BOI Norms",1,10,2022-11-29T14:36:39+00:00,1.247190952301,4,"updated stim.csv",Version54.csv,"Version 54","List 54",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1047,,,-1,-1,,,,,1
w10136251,8omvm73cxe,"BOI Norms",1,11,2022-11-29T14:36:48+00:00,9.247642993927,4,"updated stim.csv",Version54.csv,"Version 54","List 54",handball,,1607,5.75,1230,1608,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9058,,,7044,7698,,,,play,1
w10136251,8omvm73cxe,"BOI Norms",1,12,2022-11-29T14:36:52+00:00,3.3780109882355,4,"updated stim.csv",Version54.csv,"Version 54","List 54",stencil,,1609,5.583333333,2520,1610,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3173,,,1955,2285,,,,art,1
w10136251,8omvm73cxe,"BOI Norms",1,13,2022-11-29T14:36:55+00:00,3.0089499950409,4,"updated stim.csv",Version54.csv,"Version 54","List 54",thermostat,,1604,5.074074074,2678,1605,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2805,,,1610,1865,,,,air,1
w10136251,8omvm73cxe,"BOI Norms",1,14,2022-11-29T14:36:57+00:00,2.8255062103271,4,"updated stim.csv",Version54.csv,"Version 54","List 54",icebox,,1596,5.181818182,1346,1597,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2635,,,1406,1874,,,,cold,1
w10136251,8omvm73cxe,"BOI Norms",1,15,2022-11-29T14:37:06+00:00,8.4013848304749,4,"updated stim.csv",Version54.csv,"Version 54","List 54",kiln,,1605,4.304347826,1417,1606,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8195,,,1946,7293,,,,"i don't know",1
w10136251,8omvm73cxe,"BOI Norms",1,16,2022-11-29T14:37:14+00:00,7.8134651184082,4,"updated stim.csv",Version54.csv,"Version 54","List 54",crayfish,,1592,5.043478261,686,1593,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7607,,,1778,6395,,,,"type of fish",1
