Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,1,2023-07-21T18:24:10+00:00,12.602720022202,17,"updated stim.csv",Version17.csv,"Version 17","List 17",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11069,,,-1,-1,,,,,1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,2,2023-07-21T18:24:24+00:00,13.871165037155,17,"updated stim.csv",Version17.csv,"Version 17","List 17",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,13166,,,-1,-1,,,,,1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,3,2023-07-21T18:24:29+00:00,4.5367610454559,17,"updated stim.csv",Version17.csv,"Version 17","List 17",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3732,,,-1,-1,,,,,1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,4,2023-07-21T18:24:48+00:00,19.669064044952,17,"updated stim.csv",Version17.csv,"Version 17","List 17",grain,,635,4.708333333,1700,0.685106443,636,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18983,,,4889,11675,,,,"cook, bake, turn into wheat",1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,5,2023-07-21T18:25:03+00:00,14.487514972687,17,"updated stim.csv",Version17.csv,"Version 17","List 17",paperwork,,632,4.28,439,0.557499565,633,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13784,,,2279,13050,,,,"file it, throw it away, complete it, hand it to your supervisor",1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,6,2023-07-21T18:25:13+00:00,10.491112947464,17,"updated stim.csv",Version17.csv,"Version 17","List 17",glove,,631,5.217391304,2788,0.288599309,632,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9857,,,1512,7561,,,,"wear it, give it away, store it",1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,7,2023-07-21T18:25:25+00:00,12.056874990463,17,"updated stim.csv",Version17.csv,"Version 17","List 17",spaghetti,,634,4.608695652,2807,0.295026168,635,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11308,,,1590,6274,,,,"eat it, make art with it",1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,8,2023-07-21T18:25:55+00:00,29.971225976944,17,"updated stim.csv",Version17.csv,"Version 17","List 17",shortening,,633,4.961538462,2303,0.081957919,634,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29166,,,8954,28864,,,,"crush, bash",1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,9,2023-07-21T18:25:58+00:00,2.4542381763458,17,"updated stim.csv",Version17.csv,"Version 17","List 17",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1524,,,-1,-1,,,,,1
5edbb0a767bf0083cc63bd5c,lp9kmwwksg,"Affordance Norms_Prolific",1,10,2023-07-21T18:26:00+00:00,2.3483808040619,17,"updated stim.csv",Version17.csv,"Version 17","List 17",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1724,,,-1,-1,,,,,1
