Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,1,2023-04-28T19:38:11+00:00,12.348629951477,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11784,,,-1,-1,,,,,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,2,2023-04-28T19:38:23+00:00,11.86310505867,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11160,,,-1,-1,,,,,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,3,2023-04-28T19:38:27+00:00,4.0195488929749,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3177,,,-1,-1,,,,,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,4,2023-04-28T19:38:38+00:00,11.22504901886,98,"updated stim.csv",Version98.csv,"Version 98","List 98",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10546,,,6775,8566,,,,school,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,5,2023-04-28T19:38:49+00:00,10.671405076981,98,"updated stim.csv",Version98.csv,"Version 98","List 98",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10054,,,4418,5255,,,,"plate ",1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,6,2023-04-28T19:39:00+00:00,11.65098285675,98,"updated stim.csv",Version98.csv,"Version 98","List 98",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10909,,,1913,7020,,,,"food, crops, corn",1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,7,2023-04-28T19:39:04+00:00,3.7718930244446,98,"updated stim.csv",Version98.csv,"Version 98","List 98",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,3050,,,1475,1859,,,,food,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,8,2023-04-28T19:39:18+00:00,13.609627008438,98,"updated stim.csv",Version98.csv,"Version 98","List 98",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12924,,,3197,11912,,,,"food, money, time, people",1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,9,2023-04-28T19:39:20+00:00,1.9120271205902,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1310,,,-1,-1,,,,,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,10,2023-04-28T19:39:23+00:00,3.4064400196075,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2805,,,-1,-1,,,,,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,11,2023-04-28T19:39:37+00:00,14.065135002136,98,"updated stim.csv",Version98.csv,"Version 98","List 98",cowhide,,2922,4.6,672,0.757206935,2923,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,13418,,,3245,11974,,,,"clothes, warmth",1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,12,2023-04-28T19:39:48+00:00,11.183851957321,98,"updated stim.csv",Version98.csv,"Version 98","List 98",aluminum,,2930,5.083333333,32,0.365405735,2931,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10506,,,1543,9110,,,,"cans, drinks, bats",1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,13,2023-04-28T19:39:59+00:00,10.209236860275,98,"updated stim.csv",Version98.csv,"Version 98","List 98",astronaut,,2919,4.357142857,91,0.893971995,2920,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9575,,,1868,8030,,,,"outerspace ",1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,14,2023-04-28T19:40:21+00:00,22.140008211136,98,"updated stim.csv",Version98.csv,"Version 98","List 98",noose,,2929,4.708333333,1778,0.255189322,2930,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21437,,,7964,19998,,,,"tying rope, catching animals",1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,15,2023-04-28T19:40:33+00:00,12.775669813156,98,"updated stim.csv",Version98.csv,"Version 98","List 98",plaque,,2914,4.52,1992,0.48570991,2915,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,12153,,,6773,11240,,,,awards,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,16,2023-04-28T19:40:44+00:00,10.864955186844,98,"updated stim.csv",Version98.csv,"Version 98","List 98",fender,,2926,4.791666667,963,0.828326282,2927,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10171,,,1978,9186,,,,vehicles,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,17,2023-04-28T19:40:51+00:00,6.4564249515533,98,"updated stim.csv",Version98.csv,"Version 98","List 98",busman,,2931,4.68,372,0.326679348,2932,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5841,,,1983,3947,,,,bus,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,18,2023-04-28T19:40:57+00:00,6.4033949375153,98,"updated stim.csv",Version98.csv,"Version 98","List 98",pinball,,2925,5.782608696,1968,0.714828883,2926,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5755,,,1967,4816,,,,playing,1
w10166949_dea,i86rlc3740,"Affordance Norms_USM",1,19,2023-04-28T19:41:06+00:00,8.3570489883423,98,"updated stim.csv",Version98.csv,"Version 98","List 98",kale,,2912,5.652173913,1399,0.821322935,2913,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7785,,,2921,6581,,,,"eating, protection",1
