Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10134091_akl,tiklindpk5,"BOI Norms",1,1,2022-11-14T15:48:33+00:00,11.611767053604,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11510,,,-1,-1,,,,,1
w10134091_akl,tiklindpk5,"BOI Norms",1,2,2022-11-14T15:48:47+00:00,13.741595029831,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12546,,,-1,-1,,,,,1
w10134091_akl,tiklindpk5,"BOI Norms",1,3,2022-11-14T15:48:51+00:00,4.2900071144104,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4175,,,-1,-1,,,,,1
w10134091_akl,tiklindpk5,"BOI Norms",1,4,2022-11-14T15:48:59+00:00,7.8927659988403,24,"updated stim.csv",Version49.csv,"Version 49","List 49",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7734,,,5254,6560,,,,baking,1
w10134091_akl,tiklindpk5,"BOI Norms",1,5,2022-11-14T15:49:12+00:00,13.168746948242,24,"updated stim.csv",Version49.csv,"Version 49","List 49",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11555,,,3786,10460,,,,"cooking eating",1
w10134091_akl,tiklindpk5,"BOI Norms",1,6,2022-11-14T15:49:33+00:00,20.922032833099,24,"updated stim.csv",Version49.csv,"Version 49","List 49",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20796,,,3948,19709,,,,filing,1
w10134091_akl,tiklindpk5,"BOI Norms",1,7,2022-11-14T15:49:42+00:00,9.2655520439148,24,"updated stim.csv",Version49.csv,"Version 49","List 49",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9151,,,3265,7962,,,,teacup,1
w10134091_akl,tiklindpk5,"BOI Norms",1,8,2022-11-14T15:49:47+00:00,4.5370609760284,24,"updated stim.csv",Version49.csv,"Version 49","List 49",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4436,,,1678,3567,,,,bread,1
w10134091_akl,tiklindpk5,"BOI Norms",1,9,2022-11-14T15:49:50+00:00,2.690927028656,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2599,,,-1,-1,,,,,1
w10134091_akl,tiklindpk5,"BOI Norms",1,10,2022-11-14T15:49:52+00:00,2.9202179908752,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2828,,,-1,-1,,,,,1
w10134091_akl,tiklindpk5,"BOI Norms",1,11,2022-11-14T15:49:58+00:00,5.1957910060883,24,"updated stim.csv",Version49.csv,"Version 49","List 49",staff,,1454,4.928571429,2496,0.3474029,1455,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5084,,,2632,3823,,,,worker,1
