Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10084014,jx8c4qbbgk,"BOI Norms",1,1,2021-01-08T18:57:58-08:00,11.712768793106,11,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11171,,,-1,-1,,,,,1
w10084014,jx8c4qbbgk,"BOI Norms",1,2,2021-01-08T18:58:26-08:00,28.084405183792,11,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,27539,,,-1,-1,,,,,1
w10084014,jx8c4qbbgk,"BOI Norms",1,3,2021-01-08T19:02:22-08:00,235.4273250103,11,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,234819,,,-1,-1,,,,,1
w10084014,jx8c4qbbgk,"BOI Norms",1,4,2021-01-08T19:03:11-08:00,49.39883184433,11,"updated stim.csv",Version86.csv,"Version 86","List 86",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,48873,,,23915,34567,,,,"catch splashes, hold hot things",1
w10084014,jx8c4qbbgk,"BOI Norms",1,5,2021-01-08T19:03:39-08:00,28.161972999573,11,"updated stim.csv",Version86.csv,"Version 86","List 86",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27743,,,4135,27341,,,,"as butter, helps things be softer, not stick to pans",1
w10084014,jx8c4qbbgk,"BOI Norms",1,6,2021-01-08T19:04:12-08:00,33.143095970154,11,"updated stim.csv",Version86.csv,"Version 86","List 86",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,32750,,,9022,31906,,,,"pasta, baked",1
w10084014,jx8c4qbbgk,"BOI Norms",1,7,2021-01-08T19:04:42-08:00,29.779203176498,11,"updated stim.csv",Version86.csv,"Version 86","List 86",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29351,,,19727,29208,,,,"file papers, know things, get a job, finish a job",1
w10084014,jx8c4qbbgk,"BOI Norms",1,8,2021-01-08T19:05:23-08:00,40.415524959564,11,"updated stim.csv",Version86.csv,"Version 86","List 86",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,40034,,,15029,39656,,,,"cook with it, feed animals, make tortillas, oils",1
w10084014,jx8c4qbbgk,"BOI Norms",1,9,2021-01-08T19:05:25-08:00,2.0888209342957,11,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1437,,,-1,-1,,,,,1
w10084014,jx8c4qbbgk,"BOI Norms",1,10,2021-01-08T19:05:27-08:00,2.1306841373444,11,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1735,,,-1,-1,,,,,1
w10084014,jx8c4qbbgk,"BOI Norms",1,11,2021-01-08T19:06:52-08:00,85.440732955933,11,"updated stim.csv",Version86.csv,"Version 86","List 86",glitter,,2578,4.434782609,1115,2579,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,85060,,,63009,84608,,,,"diy, edible glitter, crafts",1
w10084014,jx8c4qbbgk,"BOI Norms",1,12,2021-01-08T19:07:27-08:00,34.957010030746,11,"updated stim.csv",Version86.csv,"Version 86","List 86",periscope,,2557,4.653846154,1927,2558,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,34552,,,29859,34495,,,,"work, live performances",1
