Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,1,2023-09-05T00:03:25+00:00,21.485152959824,16,"updated stim.csv",Version16.csv,"Version 16","List 16",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,21384,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,2,2023-09-05T00:03:38+00:00,13.625118017197,16,"updated stim.csv",Version16.csv,"Version 16","List 16",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,13479,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,3,2023-09-05T00:03:53+00:00,15.029006958008,16,"updated stim.csv",Version16.csv,"Version 16","List 16",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,14900,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,4,2023-09-05T00:04:00+00:00,6.7128751277924,16,"updated stim.csv",Version16.csv,"Version 16","List 16",spaghetti,,634,4.608695652,2807,0.295026168,635,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6459,,,2923,5060,,,,eat,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,5,2023-09-05T00:04:08+00:00,7.7064797878265,16,"updated stim.csv",Version16.csv,"Version 16","List 16",paperwork,,632,4.28,439,0.557499565,633,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7600,,,2182,6798,,,,"homework,file",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,6,2023-09-05T00:04:12+00:00,3.7731130123138,16,"updated stim.csv",Version16.csv,"Version 16","List 16",glove,,631,5.217391304,2788,0.288599309,632,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,3655,,,2131,2881,,,,clean,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,7,2023-09-05T00:04:14+00:00,2.7066421508789,16,"updated stim.csv",Version16.csv,"Version 16","List 16",grain,,635,4.708333333,1700,0.685106443,636,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,2594,,,1202,1550,,,,eat,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,8,2023-09-05T00:04:16+00:00,1.4773600101471,16,"updated stim.csv",Version16.csv,"Version 16","List 16",shortening,,633,4.961538462,2303,0.081957919,634,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,1371,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,9,2023-09-05T00:04:17+00:00,1.3763089179993,16,"updated stim.csv",Version16.csv,"Version 16","List 16",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1187,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,10,2023-09-05T00:04:18+00:00,1.2298369407654,16,"updated stim.csv",Version16.csv,"Version 16","List 16",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1125,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,11,2023-09-05T00:04:23+00:00,4.1627180576324,16,"updated stim.csv",Version16.csv,"Version 16","List 16",dice,,475,5.32,2020,0.760021962,476,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4057,,,2198,2864,,,,play,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,12,2023-09-05T00:04:29+00:00,6.1447899341583,16,"updated stim.csv",Version16.csv,"Version 16","List 16",adapter,,466,4.321428571,65,0.613222279,467,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5900,,,2451,5495,,,,"hook to something",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,13,2023-09-05T00:04:36+00:00,7.5721461772919,16,"updated stim.csv",Version16.csv,"Version 16","List 16",adult,,467,5.814814815,1766,0.592286248,468,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7447,,,2662,6933,,,,"give birth, make love",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,14,2023-09-05T00:04:38+00:00,2.0486578941345,16,"updated stim.csv",Version16.csv,"Version 16","List 16",ladle,,458,4.875,579,0.494851678,459,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,1941,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,15,2023-09-05T00:04:40+00:00,1.4663379192352,16,"updated stim.csv",Version16.csv,"Version 16","List 16",sidecar,,463,5.52173913,1521,0.029003979,464,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,1360,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,16,2023-09-05T00:04:46+00:00,5.9278590679169,16,"updated stim.csv",Version16.csv,"Version 16","List 16",groom,,478,4.44,1848,0.023317079,479,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5579,,,1607,4944,,,,married,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,17,2023-09-05T00:04:53+00:00,6.766016960144,16,"updated stim.csv",Version16.csv,"Version 16","List 16",guardsman,,479,4.904761905,2023,0.204056132,480,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6611,,,1564,5918,,,,"watch,protect",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,18,2023-09-05T00:04:56+00:00,2.957179069519,16,"updated stim.csv",Version16.csv,"Version 16","List 16",cottage,,473,4.5,2548,0.965520337,474,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2760,,,1710,2389,,,,cover,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,19,2023-09-05T00:05:02+00:00,6.3129079341888,16,"updated stim.csv",Version16.csv,"Version 16","List 16",root,,462,5.875,1517,0.282871373,463,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6143,,,1690,5531,,,,"growund,dirt",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,20,2023-09-05T00:05:08+00:00,5.9256150722504,16,"updated stim.csv",Version16.csv,"Version 16","List 16",cadillac,,470,4.72,885,0.908131854,471,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5773,,,2008,5276,,,,"small,pretty",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,21,2023-09-05T00:05:15+00:00,7.6953899860382,16,"updated stim.csv",Version16.csv,"Version 16","List 16",astronaut,,451,4.833333333,1686,0.045579899,452,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7569,,,4791,7145,,,,"space,white",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,22,2023-09-05T00:05:19+00:00,3.9323830604553,16,"updated stim.csv",Version16.csv,"Version 16","List 16",handbrake,,480,4.826086957,2208,0.272774302,481,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3809,,,2814,3489,,,,hands,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,23,2023-09-05T00:05:24+00:00,4.6726188659668,16,"updated stim.csv",Version16.csv,"Version 16","List 16",bridesmaid,,453,4.869565217,2242,0.892913517,454,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4555,,,1754,4125,,,,"married,groom",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,24,2023-09-05T00:05:32+00:00,8.0058040618896,16,"updated stim.csv",Version16.csv,"Version 16","List 16",dryer,,476,4.6,472,0.992638044,477,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7831,,,1632,7452,,,,"clean,hot",1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,25,2023-09-05T00:05:35+00:00,2.7708320617676,16,"updated stim.csv",Version16.csv,"Version 16","List 16",picnicker,,461,5.708333333,2463,0.284019134,462,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2441,,,-1,-1,,,,,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,26,2023-09-05T00:05:42+00:00,7.5254740715027,16,"updated stim.csv",Version16.csv,"Version 16","List 16",slut,,464,5.826086957,1095,0.838010994,465,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7407,,,6440,6899,,,,lost,1
w10153807_mlp,x6bpgesdmb,"Affordance Norms_USM",1,27,2023-09-05T00:05:46+00:00,3.5579288005829,16,"updated stim.csv",Version16.csv,"Version 16","List 16",graphite,,455,5.125,2246,0.101934862,456,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3456,,,2075,2968,,,,pretty,1
