Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,1,2023-01-20T22:43:27+00:00,11.952610015869,86,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11467,,,-1,-1,,,,,1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,2,2023-01-20T22:43:41+00:00,13.471296072006,86,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12606,,,-1,-1,,,,,1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,3,2023-01-20T22:43:53+00:00,12.444735050201,86,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,11556,,,-1,-1,,,,,1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,4,2023-01-20T22:44:31+00:00,37.717846870422,86,"updated stim.csv",Version86.csv,"Version 86","List 86",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,37027,,,6019,36115,,,,"Write on, rip, fold, read",1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,5,2023-01-20T22:45:11+00:00,39.587705135345,86,"updated stim.csv",Version86.csv,"Version 86","List 86",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,36236,,,17404,35719,,,,"Speed up speaking by shortening words",1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,6,2023-01-20T22:45:37+00:00,26.150376796722,86,"updated stim.csv",Version86.csv,"Version 86","List 86",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,25523,,,3158,24580,,,,"Eat, cook, snap, make things",1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,7,2023-01-20T22:46:03+00:00,26.390450000763,86,"updated stim.csv",Version86.csv,"Version 86","List 86",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,25672,,,3969,24125,,,,"Put a cup on, use as a plate, wash",1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,8,2023-01-20T22:46:24+00:00,20.958614110947,86,"updated stim.csv",Version86.csv,"Version 86","List 86",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20110,,,3373,18926,,,,"Eat, grow, combine, make",1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,9,2023-01-20T22:46:27+00:00,2.4966840744019,86,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2004,,,-1,-1,,,,,1
62b34eef7b8919ea4666daee,r1zc9m90b1,"Affordance Norms_Prolific",1,10,2023-01-20T22:46:30+00:00,3.7686738967896,86,"updated stim.csv",Version86.csv,"Version 86","List 86",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3124,,,-1,-1,,,,,1
