"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"000719536rln",11,"Version 32","fan","BOI","use","use"
"000719536rln",11,"Version 32","fan","BOI","turn on","turn on"
"000719536rln",11,"Version 32","fan","BOI","turn off","turn off"
"000719536rln",11,"Version 32","fan","BOI","buy","buy"
"000719536rln",11,"Version 32","fan","BOI","sale","sale"
"000719536rln",11,"Version 32","fan","BOI","borrow","borrow"
"000719536rln",12,"Version 32","ash","BOI","dump","dump"
"000719536rln",12,"Version 32","ash","BOI","blow","blow"
"000719536rln",12,"Version 32","ash","BOI","store","store"
"000719536rln",13,"Version 32","pocketknife","BOI","use","use"
"000719536rln",13,"Version 32","pocketknife","BOI","fold","fold"
"000719536rln",13,"Version 32","pocketknife","BOI","sale","sale"
"000719536rln",13,"Version 32","pocketknife","BOI","give","give"
"000719536rln",13,"Version 32","pocketknife","BOI","sharpen","sharpen"
"000719536rln",13,"Version 32","pocketknife","BOI","gift","gift"
"000719536rln",13,"Version 32","pocketknife","BOI","buy","buy"
"000719536rln",14,"Version 32","tin","BOI","buy","buy"
"000719536rln",14,"Version 32","tin","BOI","store","store"
"000719536rln",14,"Version 32","tin","BOI","sale","sale"
"000719536rln",14,"Version 32","tin","BOI","use","use"
"000719536rln",14,"Version 32","tin","BOI","storage","storage"
"000719536rln",15,"Version 32","songbook","BOI","buy","buy"
"000719536rln",15,"Version 32","songbook","BOI","sale","sale"
"000719536rln",15,"Version 32","songbook","BOI","use","use"
"000719536rln",15,"Version 32","songbook","BOI","read","read"
"000719536rln",15,"Version 32","songbook","BOI","play","play"
"000719536rln",15,"Version 32","songbook","BOI","borrow","borrow"
"000719536rln",16,"Version 32","skillet","BOI","cook","cook"
"000719536rln",16,"Version 32","skillet","BOI","grill","grill"
"000719536rln",16,"Version 32","skillet","BOI","bake","bake"
"000719536rln",16,"Version 32","skillet","BOI","fry","fry"
"000719536rln",16,"Version 32","skillet","BOI","buy","buy"
"000719536rln",16,"Version 32","skillet","BOI","sale ","sale "
"000719536rln",17,"Version 32","glassblower","BOI","create","create"
"000719536rln",17,"Version 32","glassblower","BOI","sale","sale"
"000719536rln",17,"Version 32","glassblower","BOI","buy","buy"
"000719536rln",18,"Version 32","cloverleaf","BOI","wish","wish"
"000719536rln",18,"Version 32","cloverleaf","BOI","find","find"
"000719536rln",18,"Version 32","cloverleaf","BOI","feed animals","feed animals"
"000719536rln",19,"Version 32","hairnet","BOI","use","use"
"000719536rln",19,"Version 32","hairnet","BOI","control hair","control hair"
"000719536rln",20,"Version 32","tinplate","BOI","to make cans for food","to make cans for food"
"000719536rln",20,"Version 32","tinplate","BOI","drink","drink"
"000719536rln",20,"Version 32","tinplate","BOI","machines","machines"
