Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,1,2022-11-28T22:07:01+00:00,10.988867998123,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10897,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,2,2022-11-28T22:07:13+00:00,12.35002207756,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12183,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,3,2022-11-28T22:07:18+00:00,4.8533279895782,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4688,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,4,2022-11-28T22:07:33+00:00,14.573023796082,50,"updated stim.csv",Version50.csv,"Version 50","List 50",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14411,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,5,2022-11-28T22:07:48+00:00,15.330217123032,50,"updated stim.csv",Version50.csv,"Version 50","List 50",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14940,,,2436,10972,,,,"write, cut, burn",1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,6,2022-11-28T22:08:00+00:00,11.715636014938,50,"updated stim.csv",Version50.csv,"Version 50","List 50",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11557,,,8629,10053,,,,work,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,7,2022-11-28T22:08:04+00:00,4.0320918560028,50,"updated stim.csv",Version50.csv,"Version 50","List 50",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,3877,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,8,2022-11-28T22:08:08+00:00,4.2397480010986,50,"updated stim.csv",Version50.csv,"Version 50","List 50",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4082,,,1874,2570,,,,eat,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,9,2022-11-28T22:08:09+00:00,1.4702091217041,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1318,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,10,2022-11-28T22:08:11+00:00,1.8878970146179,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1726,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,11,2022-11-28T22:08:24+00:00,13.076123952866,50,"updated stim.csv",Version50.csv,"Version 50","List 50",councilwoman,,1488,4.583333333,664,0.502846209,1489,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,12916,,,5955,10284,,,,"rule, lead",1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,12,2022-11-28T22:08:56+00:00,31.245053052902,50,"updated stim.csv",Version50.csv,"Version 50","List 50",grandson,,1486,5.785714286,1153,0.920052368,1487,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,31080,,,8849,24288,,,,"love, guide ",1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,13,2022-11-28T22:08:58+00:00,2.4555189609528,50,"updated stim.csv",Version50.csv,"Version 50","List 50",corset,,1493,5.44,653,0.182805435,1494,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2297,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,14,2022-11-28T22:08:59+00:00,1.3100008964539,50,"updated stim.csv",Version50.csv,"Version 50","List 50",geranium,,1471,4.695652174,1099,0.007035307,1472,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,1148,,,-1,-1,,,,,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,15,2022-11-28T22:09:09+00:00,10.14226102829,50,"updated stim.csv",Version50.csv,"Version 50","List 50",houseboy,,1500,4.583333333,1328,0.370650802,1501,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9984,,,2297,4176,,,,"work,",1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,16,2022-11-28T22:09:24+00:00,14.996369123459,50,"updated stim.csv",Version50.csv,"Version 50","List 50",needle,,1495,5.739130435,1745,0.011099069,1496,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14834,,,7618,13530,,,,"medicine, kill",1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,17,2022-11-28T22:09:45+00:00,20.928184986115,50,"updated stim.csv",Version50.csv,"Version 50","List 50",metal,,1491,5.130434783,1650,0.340369684,1492,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20705,,,11273,19241,,,,drive,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,18,2022-11-28T22:09:51+00:00,5.3108270168304,50,"updated stim.csv",Version50.csv,"Version 50","List 50",necktie,,1482,6.043478261,1742,0.48846066,1483,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5156,,,3236,3860,,,,wear,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,19,2022-11-28T22:09:55+00:00,3.8056910037994,50,"updated stim.csv",Version50.csv,"Version 50","List 50",potato,,1483,5.6,2047,0.406568985,1484,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3651,,,1683,2131,,,,eat,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,20,2022-11-28T22:09:58+00:00,3.5677909851074,50,"updated stim.csv",Version50.csv,"Version 50","List 50",saddle,,1499,4.954545455,2212,0.102420564,1500,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3412,,,1612,2276,,,,wear,1
M20228415,kpnfdpfjod,"Affordance Norms_MSU_TEX",1,21,2022-11-28T22:10:01+00:00,3.3223469257355,50,"updated stim.csv",Version50.csv,"Version 50","List 50",pineapple,,1477,6.304347826,1971,0.761657813,1478,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3150,,,1486,1950,,,,eat,1
