Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10088419,4w9ln028fv,"BOI Norms",1,1,2022-10-13T16:27:56+00:00,11.565752029419,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11424,,,-1,-1,,,,,1
w10088419,4w9ln028fv,"BOI Norms",1,2,2022-10-13T16:28:07+00:00,11.11616897583,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10935,,,-1,-1,,,,,1
w10088419,4w9ln028fv,"BOI Norms",1,3,2022-10-13T16:28:13+00:00,5.3269329071045,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,5129,,,-1,-1,,,,,1
w10088419,4w9ln028fv,"BOI Norms",1,4,2022-10-13T16:29:30+00:00,76.909648180008,24,"updated stim.csv",Version49.csv,"Version 49","List 49",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,76744,,,55893,71922,,,,"Holding,sauce,cup",0.973
w10088419,4w9ln028fv,"BOI Norms",1,5,2022-10-13T16:29:43+00:00,13.349880933762,24,"updated stim.csv",Version49.csv,"Version 49","List 49",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12779,,,2769,3809,,,,Food,1
w10088419,4w9ln028fv,"BOI Norms",1,6,2022-10-13T16:29:58+00:00,15.094106912613,24,"updated stim.csv",Version49.csv,"Version 49","List 49",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14911,,,7197,13586,,,,"smaller, little,shrinking",1
w10088419,4w9ln028fv,"BOI Norms",1,7,2022-10-13T16:30:07+00:00,9.097617149353,24,"updated stim.csv",Version49.csv,"Version 49","List 49",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8903,,,2304,4641,,,,"rice, food",1
w10088419,4w9ln028fv,"BOI Norms",1,8,2022-10-13T16:30:20+00:00,13.185122966766,24,"updated stim.csv",Version49.csv,"Version 49","List 49",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13011,,,4710,12114,,,,"teachers, class,work,job",1
w10088419,4w9ln028fv,"BOI Norms",1,9,2022-10-13T16:30:22+00:00,1.7381110191345,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1562,,,-1,-1,,,,,1
w10088419,4w9ln028fv,"BOI Norms",1,10,2022-10-13T16:30:24+00:00,1.6671748161316,24,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1524,,,-1,-1,,,,,1
