Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10067401,eve7s8z264,"BOI Norms",1,1,2020-11-20T18:24:51-08:00,11.788037061691,1,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11563,,,-1,-1,,,,,1
w10067401,eve7s8z264,"BOI Norms",1,2,2020-11-20T18:25:03-08:00,11.233644962311,1,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10912,,,-1,-1,,,,,1
w10067401,eve7s8z264,"BOI Norms",1,3,2020-11-20T18:25:06-08:00,3.2333569526672,1,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2746,,,-1,-1,,,,,1
w10067401,eve7s8z264,"BOI Norms",1,4,2020-11-20T18:26:03-08:00,56.879410028458,1,"updated stim.csv",Version51.csv,"Version 51","List 51",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,56565,,,13644,18823,,,,"time, length, ",1
w10067401,eve7s8z264,"BOI Norms",1,5,2020-11-20T18:26:16-08:00,13.776463031769,1,"updated stim.csv",Version51.csv,"Version 51","List 51",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13455,,,10579,12513,,,,"cooked with",1
w10067401,eve7s8z264,"BOI Norms",1,6,2020-11-20T18:26:43-08:00,26.753040075302,1,"updated stim.csv",Version51.csv,"Version 51","List 51",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26437,,,1907,22652,,,,"eaten, cooked, looked at, smelt, consumed, tasted",1
w10067401,eve7s8z264,"BOI Norms",1,7,2020-11-20T18:27:34-08:00,51.219587802887,1,"updated stim.csv",Version51.csv,"Version 51","List 51",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,50891,,,44581,49366,,,,"used, cooked with, eaten",1
w10067401,eve7s8z264,"BOI Norms",1,8,2020-11-20T18:27:57-08:00,22.312065124512,1,"updated stim.csv",Version51.csv,"Version 51","List 51",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,21994,,,3856,20693,,,,"completed, printed, typed, filled out, handed out",1
w10067401,eve7s8z264,"BOI Norms",1,9,2020-11-20T18:27:58-08:00,1.6242978572845,1,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1272,,,-1,-1,,,,,1
w10067401,eve7s8z264,"BOI Norms",1,10,2020-11-20T18:28:01-08:00,2.2239260673523,1,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1914,,,-1,-1,,,,,1
w10067401,eve7s8z264,"BOI Norms",1,11,2020-11-20T18:29:38-08:00,97.853433132172,1,"updated stim.csv",Version51.csv,"Version 51","List 51",featherbed,,1516,5.434782609,957,1517,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,97523,,,79260,96806,,,,"layed on, slept with, covered up with",1
w10067401,eve7s8z264,"BOI Norms",1,12,2020-11-20T18:30:00-08:00,21.941103935242,1,"updated stim.csv",Version51.csv,"Version 51","List 51",policeman,,1511,5.428571429,2022,1512,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21450,,,5969,19934,,,,"arrest, work, drive, pull over, question",1
w10067401,eve7s8z264,"BOI Norms",1,13,2020-11-20T18:30:31-08:00,30.692427873611,1,"updated stim.csv",Version51.csv,"Version 51","List 51",proprietor,,1520,4.884615385,2076,1521,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,30375,,,15425,29650,,,,"sell, buy, hold, possess",1
w10067401,eve7s8z264,"BOI Norms",1,14,2020-11-20T18:30:42-08:00,11.21194601059,1,"updated stim.csv",Version51.csv,"Version 51","List 51",banjo,,1513,6.291666667,141,1514,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10886,,,1698,9891,,,,"played, strung, hung",1
w10067401,eve7s8z264,"BOI Norms",1,15,2020-11-20T18:31:59-08:00,76.267894983292,1,"updated stim.csv",Version51.csv,"Version 51","List 51",poet,,1518,4.565217391,2017,1519,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,75958,,,2447,75256,,,,"accompanied, hugged, celebrated",1
w10067401,eve7s8z264,"BOI Norms",1,16,2020-11-20T18:32:24-08:00,25.444317102432,1,"updated stim.csv",Version51.csv,"Version 51","List 51",infant,,1512,6.038461538,1353,1513,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,25132,,,1529,24460,,,,"held, Fed, played with, swaddled, rocked",1
w10067401,eve7s8z264,"BOI Norms",1,17,2020-11-20T18:32:35-08:00,11.471528053284,1,"updated stim.csv",Version51.csv,"Version 51","List 51",onion,,1525,5.476190476,1809,1526,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11153,,,1480,10316,,,,"sliced, cooked, eaten, cut up",1
w10067401,eve7s8z264,"BOI Norms",1,18,2020-11-20T18:32:47-08:00,11.304501056671,1,"updated stim.csv",Version51.csv,"Version 51","List 51",babe,,1508,4.555555556,110,1509,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10996,,,6237,10387,,,,"held, hugged, cuddled",1
w10067401,eve7s8z264,"BOI Norms",1,19,2020-11-20T18:33:19-08:00,31.844620943069,1,"updated stim.csv",Version51.csv,"Version 51","List 51",key,,1527,6.28,1411,1528,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,31499,,,16417,28644,,,,"unlocking, inserted, withdrew",1
w10067401,eve7s8z264,"BOI Norms",1,20,2020-11-20T18:34:18-08:00,59.223326921463,1,"updated stim.csv",Version51.csv,"Version 51","List 51",muffin,,1522,5.875,1711,1523,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,58907,,,4835,10346,,,,"eaten, cooked",1
w10067401,eve7s8z264,"BOI Norms",1,21,2020-11-20T18:34:27-08:00,9.5951011180878,1,"updated stim.csv",Version51.csv,"Version 51","List 51",blackboard,,1506,5.392857143,228,1507,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9284,,,2165,5866,,,,"written on, moved",1
w10067401,eve7s8z264,"BOI Norms",1,22,2020-11-20T18:34:46-08:00,18.07018494606,1,"updated stim.csv",Version51.csv,"Version 51","List 51",sapphire,,1529,5.125,2241,1530,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17757,,,2711,16822,,,,"touched, admired, crushed, broken, held, seen",1
w10067401,eve7s8z264,"BOI Norms",1,23,2020-11-20T18:34:59-08:00,13.729793071747,1,"updated stim.csv",Version51.csv,"Version 51","List 51",cider,,1509,4.958333333,541,1510,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,13419,,,1422,12796,,,,"tasted, cooked, heated, mixed, stirred",1
w10067401,eve7s8z264,"BOI Norms",1,24,2020-11-20T18:35:23-08:00,23.630162000656,1,"updated stim.csv",Version51.csv,"Version 51","List 51",sofa,,1526,6.608695652,2443,1527,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,23320,,,1166,5836,,,,"sat on, looked at ",1
w10067401,eve7s8z264,"BOI Norms",1,25,2020-11-20T18:36:40-08:00,77.314260959625,1,"updated stim.csv",Version51.csv,"Version 51","List 51",shaving,,1510,5.535714286,2324,1511,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,77001,,,71644,76238,,,,"body hair, eyebrows",1
w10067401,eve7s8z264,"BOI Norms",1,26,2020-11-20T18:37:59-08:00,78.614794015884,1,"updated stim.csv",Version51.csv,"Version 51","List 51",stepson,,1523,5.304347826,2530,1524,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,78302,,,4505,75532,,,,"hugged, appreciated, worked",1
w10067401,eve7s8z264,"BOI Norms",1,27,2020-11-20T18:38:20-08:00,21.218847990036,1,"updated stim.csv",Version51.csv,"Version 51","List 51",glass,,1530,6.12,1110,1531,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20900,,,1858,17920,,,,"shattered, stained, melted, formed",1
w10067401,eve7s8z264,"BOI Norms",1,28,2020-11-20T18:38:55-08:00,34.595712900162,1,"updated stim.csv",Version51.csv,"Version 51","List 51",playwright,,1502,4.28,2005,1503,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,34284,,,26644,33647,,,,"written, handed out, printed",1
w10067401,eve7s8z264,"BOI Norms",1,29,2020-11-20T18:39:31-08:00,35.989831924438,1,"updated stim.csv",Version51.csv,"Version 51","List 51",girdle,,1507,5.52173913,1107,1508,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,35681,,,26778,30180,,,,"worn, washed",1
w10067401,eve7s8z264,"BOI Norms",1,30,2020-11-20T18:39:45-08:00,13.994327068329,1,"updated stim.csv",Version51.csv,"Version 51","List 51",wheelbarrow,,1528,5.5,2922,1529,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,13680,,,2624,13034,,,,"rolled, carried, used, hold things",1
w10067401,eve7s8z264,"BOI Norms",1,31,2020-11-20T18:40:36-08:00,51.157875061035,1,"updated stim.csv",Version51.csv,"Version 51","List 51",scapula,,1524,4.684210526,2265,1525,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,50836,,,6062,49473,,,,"connects humerus, rotated, hurt, broken",1
w10067401,eve7s8z264,"BOI Norms",1,32,2020-11-20T18:40:51-08:00,15.224956989288,1,"updated stim.csv",Version51.csv,"Version 51","List 51",yarn,,1505,6.115384615,2991,1506,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14778,,,2591,13751,,,,"knitted, thrown, braided, played with",1
w10067401,eve7s8z264,"BOI Norms",1,33,2020-11-20T18:41:15-08:00,24.138365983963,1,"updated stim.csv",Version51.csv,"Version 51","List 51",deliverer,,1521,4.52173913,769,1522,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,23550,,,1818,22930,,,,"deliver, hold items, thanked, driver",1
w10067401,eve7s8z264,"BOI Norms",1,34,2020-11-20T18:41:25-08:00,10.369976043701,1,"updated stim.csv",Version51.csv,"Version 51","List 51",candle,,1501,5.166666667,410,1502,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10013,,,4600,9052,,,,"lit, blown out, smelt",1
w10067401,eve7s8z264,"BOI Norms",1,35,2020-11-20T18:41:39-08:00,13.886286973953,1,"updated stim.csv",Version51.csv,"Version 51","List 51",chili,,1519,5.291666667,523,1520,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,13572,,,1230,12722,,,,"cooked, eaten, kept cold, warmed up",1
w10067401,eve7s8z264,"BOI Norms",1,36,2020-11-20T18:42:00-08:00,20.909321069717,1,"updated stim.csv",Version51.csv,"Version 51","List 51",staple,,1515,5.32,2507,1516,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20569,,,2199,19849,,,,"stapled, held, punched, thrown away, hold together",1
w10067401,eve7s8z264,"BOI Norms",1,37,2020-11-20T18:42:09-08:00,8.8853130340576,1,"updated stim.csv",Version51.csv,"Version 51","List 51",urinal,,1514,5.666666667,2828,1515,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8569,,,3526,7086,,,,"used, ",1
