Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,1,2023-01-06T19:45:54+00:00,12.66068983078,64,"updated stim.csv",Version64.csv,"Version 64","List 64",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11796,,,-1,-1,,,,,1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,2,2023-01-06T19:46:06+00:00,11.878046989441,64,"updated stim.csv",Version64.csv,"Version 64","List 64",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11433,,,-1,-1,,,,,1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,3,2023-01-06T19:46:11+00:00,5.0684850215912,64,"updated stim.csv",Version64.csv,"Version 64","List 64",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4584,,,-1,-1,,,,,1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,4,2023-01-06T19:46:35+00:00,24.456187009811,64,"updated stim.csv",Version64.csv,"Version 64","List 64",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,23668,,,-1,-1,,,,"Baking,making something smaller ",1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,5,2023-01-06T19:47:03+00:00,28.252053022385,64,"updated stim.csv",Version64.csv,"Version 64","List 64",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27495,,,-1,-1,,,,"Grow,bake,turn into flower,pick",1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,6,2023-01-06T19:47:33+00:00,29.685904979706,64,"updated stim.csv",Version64.csv,"Version 64","List 64",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28916,,,-1,-1,,,,"Hold,clean,wipe,balance,put cup on it",1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,7,2023-01-06T19:48:04+00:00,30.576977014542,64,"updated stim.csv",Version64.csv,"Version 64","List 64",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29838,,,-1,-1,,,,"Complete,shred,prepare,make,cut,present,avoid",1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,8,2023-01-06T19:48:31+00:00,27.084959983826,64,"updated stim.csv",Version64.csv,"Version 64","List 64",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26240,,,-1,-1,,,,"Boil,cook,snap,throw,feel",1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,9,2023-01-06T19:48:34+00:00,2.7796270847321,64,"updated stim.csv",Version64.csv,"Version 64","List 64",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2275,,,-1,-1,,,,,1
5aad46cf811b2000016f6f3b,oc3bopgehw,"Affordance Norms_Prolific",1,10,2023-01-06T19:48:36+00:00,2.6990940570831,64,"updated stim.csv",Version64.csv,"Version 64","List 64",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2224,,,-1,-1,,,,,1
