Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,1,2022-09-29T16:45:33+00:00,12.236402988434,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11857,,,-1,-1,,,,,1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,2,2022-09-29T16:45:49+00:00,16.201868057251,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,15950,,,-1,-1,,,,,1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,3,2022-09-29T16:45:54+00:00,4.6385390758514,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4404,,,-1,-1,,,,,1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,4,2022-09-29T16:47:27+00:00,92.665261983871,4,"updated stim.csv",Version4.csv,"Version 4","List 4",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,92327,,,7826,88489,,,,"Throwing, Eating on, Carrying, Cut, Use as a reflective tool",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,5,2022-09-29T16:49:05+00:00,98.201364994049,4,"updated stim.csv",Version4.csv,"Version 4","List 4",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,97855,,,5325,94535,,,,"Study, Organize information, Use as a step, Make paper airplanes",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,6,2022-09-29T16:50:43+00:00,97.935590982437,4,"updated stim.csv",Version4.csv,"Version 4","List 4",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,97598,,,54255,89112,,,,"Food, Counting, ",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,7,2022-09-29T16:51:46+00:00,63.699698925018,4,"updated stim.csv",Version4.csv,"Version 4","List 4",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,63348,,,5278,51063,,,,"Food, blinding agent, soak up liquid, ",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,8,2022-09-29T16:52:44+00:00,57.919196128845,4,"updated stim.csv",Version4.csv,"Version 4","List 4",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,57685,,,3310,12685,,,,"food, art",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,9,2022-09-29T16:52:49+00:00,4.3202650547028,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",4104,,,-1,-1,,,,,1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,10,2022-09-29T16:52:52+00:00,3.6695988178253,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3449,,,-1,-1,,,,,1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,11,2022-09-29T16:53:57+00:00,64.328588962555,4,"updated stim.csv",Version4.csv,"Version 4","List 4",fleece,,117,4.5,1006,0.638440057,118,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,63997,,,3737,59544,,,,"Clothing, Fire starter, picking up liquid",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,12,2022-09-29T16:55:29+00:00,92.062385082245,4,"updated stim.csv",Version4.csv,"Version 4","List 4",scalpel,,96,5.545454545,2263,0.063596043,97,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,91719,,,3363,88459,,,,"Weapon, Surgery tool, Art tool, redirect sun rays, write on hard surfaces, cooking tool",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,13,2022-09-29T16:56:28+00:00,58.823118925095,4,"updated stim.csv",Version4.csv,"Version 4","List 4",windowsill,,97,5.391304348,2944,0.762834183,98,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,58585,,,5968,42549,,,,"Keep window stable, anchoring point for climbing equipment",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,14,2022-09-29T16:57:52+00:00,84.65541100502,4,"updated stim.csv",Version4.csv,"Version 4","List 4",nephew,,118,5.16,1750,0.027468228,119,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,84303,,,8255,74011,,,,"household work, counseling, teaching, moving, babysitting, communicating to others",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,15,2022-09-29T16:59:37+00:00,104.7130920887,4,"updated stim.csv",Version4.csv,"Version 4","List 4",yam,,94,5.259259259,2989,0.89961033,95,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,102388,,,2180,81944,,,,"Food, Blunt force throwing object",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,16,2022-09-29T17:01:22+00:00,105.4666891098,4,"updated stim.csv",Version4.csv,"Version 4","List 4",cable,,115,4.913043478,390,0.962937957,116,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,104610,,,3811,97622,,,,"Weapon, signal converter, Rope for hoisting or arresting,",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,17,2022-09-29T17:02:06+00:00,44.115550994873,4,"updated stim.csv",Version4.csv,"Version 4","List 4",valet,,92,4.625,2834,0.128717005,93,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,43893,,,6446,33786,,,,"Parking a car, getting general info of the area, ",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,18,2022-09-29T17:04:25+00:00,138.26753783226,4,"updated stim.csv",Version4.csv,"Version 4","List 4",preschooler,,116,4.409090909,2059,0.435620803,117,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3393,,,-1,-1,,,,,1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,19,2022-09-29T17:06:09+00:00,104.39579296112,4,"updated stim.csv",Version4.csv,"Version 4","List 4",step,,113,5.2,2522,0.855940638,114,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,104051,,,16193,90879,,,,"Get mud off of a boot, Elevator, leverage for breaking a stick",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,20,2022-09-29T17:06:32+00:00,22.644654035568,4,"updated stim.csv",Version4.csv,"Version 4","List 4",lounger,,98,4.692307692,1551,0.8649799,99,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,22404,,,13057,20628,,,,"I am unsure what a lounger is.",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,21,2022-09-29T17:07:06+00:00,33.772390127182,4,"updated stim.csv",Version4.csv,"Version 4","List 4",kissing,,107,5.458333333,1423,0.486295703,108,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,33539,,,3080,11385,,,,"Showing affinity",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,22,2022-09-29T17:08:09+00:00,63.621340990067,4,"updated stim.csv",Version4.csv,"Version 4","List 4",blazer,,106,5.652173913,233,0.291050238,107,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,63279,,,6192,56612,,,,"Clothing, Fire kindling, storage of small items, statement maker, rope, ",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,23,2022-09-29T17:09:15+00:00,66.171762943268,4,"updated stim.csv",Version4.csv,"Version 4","List 4",sock,,108,5.833333333,2439,0.34499283,109,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,65727,,,2800,60443,,,,"Clothing, small item holder, fire kindling, mask, cleaning scrub, liquid cleaning",1
M20134082_JLM,ozgvcc3wzh,"Affordance Norms_MSU_TEX",1,24,2022-09-29T17:10:38+00:00,82.78767991066,4,"updated stim.csv",Version4.csv,"Version 4","List 4",chalice,,93,5.208333333,490,0.93770869,94,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,82448,,,4697,79292,,,,"Small item holder, Drink receptacle, fire holder, cookie cutter, weapon, step",1
