Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,1,2023-02-23T16:51:46+00:00,13.391757965088,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,13171,,,-1,-1,,,,,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,2,2023-02-23T16:52:18+00:00,32.313977003098,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,32024,,,-1,-1,,,,,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,3,2023-02-23T16:52:21+00:00,2.8513610363007,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2681,,,-1,-1,,,,,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,4,2023-02-23T16:52:31+00:00,9.4992690086365,62,"updated stim.csv",Version62.csv,"Version 62","List 62",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9239,,,4230,6729,,,,Eat,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,5,2023-02-23T16:52:44+00:00,13.718759059906,62,"updated stim.csv",Version62.csv,"Version 62","List 62",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13449,,,2029,12982,,,,"Make bread, eat, bake",1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,6,2023-02-23T16:52:52+00:00,7.2724859714508,62,"updated stim.csv",Version62.csv,"Version 62","List 62",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7003,,,2393,6490,,,,"Throw, fly",1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,7,2023-02-23T16:52:57+00:00,5.8877429962158,62,"updated stim.csv",Version62.csv,"Version 62","List 62",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5611,,,1699,4196,,,,Baking,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,8,2023-02-23T16:53:20+00:00,22.187793016434,62,"updated stim.csv",Version62.csv,"Version 62","List 62",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,21901,,,12661,19721,,,,"Fill out, write",1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,9,2023-02-23T16:53:21+00:00,1.335520029068,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1167,,,-1,-1,,,,,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,10,2023-02-23T16:53:23+00:00,1.9354519844055,62,"updated stim.csv",Version62.csv,"Version 62","List 62",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1784,,,-1,-1,,,,,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,11,2023-02-23T16:53:40+00:00,17.267940044403,62,"updated stim.csv",Version62.csv,"Version 62","List 62",weaponry,,1856,5,2915,1857,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16910,,,7866,16245,,,,"Kill, stab,throw",1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,12,2023-02-23T16:53:48+00:00,8.3444139957428,62,"updated stim.csv",Version62.csv,"Version 62","List 62",husk,,1841,4.304347826,1339,1842,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8049,,,3315,7575,,,,"Peel,eat",1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,13,2023-02-23T16:54:14+00:00,25.213894844055,62,"updated stim.csv",Version62.csv,"Version 62","List 62",burlap,,1843,5.333333333,367,1844,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,24925,,,20291,24452,,,,"Cover,sew",1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,14,2023-02-23T16:54:19+00:00,4.8903381824493,62,"updated stim.csv",Version62.csv,"Version 62","List 62",shingle,,1831,4.625,2341,1832,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4606,,,2380,3435,,,,Layer,1
J00706629_mab,8y45qn5e4k,"Affordance Norms_South Alabama",1,15,2023-02-23T16:54:22+00:00,3.0746359825134,62,"updated stim.csv",Version62.csv,"Version 62","List 62",cleavers,,1840,5.48,554,1841,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2908,,,2079,2508,,,,Cut,1
