Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,1,2023-05-14T23:58:04+00:00,13.241175174713,36,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12815,,,-1,-1,,,,,1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,2,2023-05-14T23:58:18+00:00,13.893565893173,36,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,13291,,,-1,-1,,,,,1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,3,2023-05-14T23:58:22+00:00,3.5913751125336,36,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3114,,,-1,-1,,,,,1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,4,2023-05-14T23:58:51+00:00,28.934553861618,36,"updated stim.csv",Version36.csv,"Version 36","List 36",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28140,,,2788,27702,,,,"food, stirrer, art",1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,5,2023-05-14T23:59:20+00:00,29.778975009918,36,"updated stim.csv",Version36.csv,"Version 36","List 36",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29172,,,9333,28596,,,,"homework, business, as a step, a weight, ",1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,6,2023-05-14T23:59:35+00:00,15.192965984344,36,"updated stim.csv",Version36.csv,"Version 36","List 36",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14446,,,2695,13955,,,,"baking, butter, cooking, lubricant",1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,7,2023-05-15T00:00:33+00:00,57.337540149689,36,"updated stim.csv",Version36.csv,"Version 36","List 36",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,56792,,,9830,52560,,,,"cooking, baking, as a weight, inside an object to make a noise shaker, ",1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,8,2023-05-15T00:01:20+00:00,46.780642032623,36,"updated stim.csv",Version36.csv,"Version 36","List 36",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,46028,,,4960,40877,,,,"coaster, plate, decoration, jewellery dish, trinket dish, key holder/dish",1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,9,2023-05-15T00:01:21+00:00,1.7252118587494,36,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1236,,,-1,-1,,,,,1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,10,2023-05-15T00:01:23+00:00,1.6931610107422,36,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1221,,,-1,-1,,,,,1
5e3f63305ed1321be26ea5fe,ckx63lwr0r,"Affordance Norms_Prolific",1,11,2023-05-15T00:01:49+00:00,25.610860109329,36,"updated stim.csv",Version36.csv,"Version 36","List 36",mentor,,1053,4.347826087,1645,0.570505968,1054,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,25122,,,4442,24257,,,,"teacher, tutor, role model, friend, business partner, colleage",1
