Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10141284_kjb,idudhdhozu,"BOI Norms",1,1,2022-12-02T17:28:53+00:00,15.468027114868,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,14025,,,-1,-1,,,,,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,2,2022-12-02T17:29:07+00:00,14.214903831482,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,13498,,,-1,-1,,,,,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,3,2022-12-02T17:29:15+00:00,7.0774700641632,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,5949,,,-1,-1,,,,,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,4,2022-12-02T17:29:47+00:00,32.553899049759,21,"updated stim.csv",Version71.csv,"Version 71","List 71",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,31555,,,6274,28676,,,,"throw,eat off of,break",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,5,2022-12-02T17:29:57+00:00,10.354624032974,21,"updated stim.csv",Version71.csv,"Version 71","List 71",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9702,,,5651,7761,,,,bake,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,6,2022-12-02T17:30:21+00:00,23.377624988556,21,"updated stim.csv",Version71.csv,"Version 71","List 71",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,23142,,,2178,21608,,,,"file,read,shred",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,7,2022-12-02T17:30:39+00:00,18.131541013718,21,"updated stim.csv",Version71.csv,"Version 71","List 71",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17410,,,4861,16542,,,,"food,sort,sell,buy",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,8,2022-12-02T17:31:02+00:00,22.723227977753,21,"updated stim.csv",Version71.csv,"Version 71","List 71",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,22277,,,1614,12394,,,,"eat,cook,throw away",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,9,2022-12-02T17:31:04+00:00,2.8156638145447,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1907,,,-1,-1,,,,,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,10,2022-12-02T17:31:07+00:00,2.6917781829834,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2360,,,-1,-1,,,,,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,11,2022-12-02T17:31:34+00:00,26.929523944855,21,"updated stim.csv",Version71.csv,"Version 71","List 71",chef,,2111,4.64,509,2112,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,25595,,,2927,24295,,,,"pay,kiss,hire",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,12,2022-12-02T17:31:51+00:00,17.360702991486,21,"updated stim.csv",Version71.csv,"Version 71","List 71",spine,,2108,4.8,2475,2109,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17122,,,1990,6047,,,,"break,crack",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,13,2022-12-02T17:32:12+00:00,20.218065977097,21,"updated stim.csv",Version71.csv,"Version 71","List 71",domino,,2126,5.96,818,2127,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,19835,,,1689,12966,,,,"play,stack,sort",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,14,2022-12-02T17:32:29+00:00,17.337436914444,21,"updated stim.csv",Version71.csv,"Version 71","List 71",spool,,2112,4.52173913,2481,2113,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15832,,,3477,14378,,,,"make-up,clean",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,15,2022-12-02T17:32:48+00:00,18.881578207016,21,"updated stim.csv",Version71.csv,"Version 71","List 71",buttonhook,,2130,4.45,383,2131,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18615,,,2321,14542,,,,"latch,sew",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,16,2022-12-02T17:33:12+00:00,24.253988981247,21,"updated stim.csv",Version71.csv,"Version 71","List 71",grapefruit,,2124,5.96,1157,2125,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,24007,,,1313,15290,,,,"eat,cut,grow,plant",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,17,2022-12-02T17:33:33+00:00,21.25914978981,21,"updated stim.csv",Version71.csv,"Version 71","List 71",headmistress,,2103,4.555555556,1268,2104,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20832,,,6347,8551,,,,discipline,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,18,2022-12-02T17:34:00+00:00,26.898263216019,21,"updated stim.csv",Version71.csv,"Version 71","List 71",gym,,2113,4.958333333,1203,2114,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,26674,,,4137,23783,,,,"exercise,practice,gain",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,19,2022-12-02T17:34:23+00:00,23.001119852066,21,"updated stim.csv",Version71.csv,"Version 71","List 71",terrace,,2105,4.454545455,2667,2106,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,22725,,,1872,15064,,,,"sit,plant,entertain",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,20,2022-12-02T17:34:45+00:00,22.075268030167,21,"updated stim.csv",Version71.csv,"Version 71","List 71",cantaloupe,,2127,5.666666667,418,2128,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20531,,,1279,18182,,,,"eat,cut,grow,sell",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,21,2022-12-02T17:35:01+00:00,15.346354961395,21,"updated stim.csv",Version71.csv,"Version 71","List 71",turf,,2116,4.36,2800,2117,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15031,,,2954,14357,,,,"lawn,field,sell,make",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,22,2022-12-02T17:35:42+00:00,41.564707040787,21,"updated stim.csv",Version71.csv,"Version 71","List 71",forest,,2121,4.6,1046,2122,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,40703,,,2341,33175,,,,"cut,plant,pollenate",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,23,2022-12-02T17:36:26+00:00,43.618757009506,21,"updated stim.csv",Version71.csv,"Version 71","List 71",orgy,,2120,4.782608696,1822,2121,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,43259,,,24180,36806,,,,"sex,relationships",1
w10141284_kjb,idudhdhozu,"BOI Norms",1,24,2022-12-02T17:37:01+00:00,35.039093017578,21,"updated stim.csv",Version71.csv,"Version 71","List 71",beggar,,2125,4.28,195,2126,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,34710,,,25665,33831,,,,ignore,1
w10141284_kjb,idudhdhozu,"BOI Norms",1,25,2022-12-02T17:37:08+00:00,7.2242388725281,21,"updated stim.csv",Version71.csv,"Version 71","List 71",cloak,,2106,5.791666667,565,2107,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6809,,,1780,6015,,,,"wear,sew",1
