Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,1,2023-05-09T21:23:54+00:00,12.591036081314,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12281,,,-1,-1,,,,,1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,2,2023-05-09T21:24:08+00:00,13.509378910065,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12975,,,-1,-1,,,,,1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,3,2023-05-09T21:24:11+00:00,3.1250550746918,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2668,,,-1,-1,,,,,1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,4,2023-05-09T21:24:59+00:00,47.805147886276,7,"updated stim.csv",Version7.csv,"Version 7","List 7",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,47242,,,36581,44748,,,,"cooking, baking, greasing",1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,5,2023-05-09T21:25:20+00:00,21.072160005569,7,"updated stim.csv",Version7.csv,"Version 7","List 7",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20637,,,8106,17403,,,,"put a cup on, use as a small plate",1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,6,2023-05-09T21:25:40+00:00,19.954447031021,7,"updated stim.csv",Version7.csv,"Version 7","List 7",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,19457,,,3991,16931,,,,"eating, collage",1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,7,2023-05-09T21:25:57+00:00,17.759239912033,7,"updated stim.csv",Version7.csv,"Version 7","List 7",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17261,,,2775,15903,,,,"filing, reading, organising",1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,8,2023-05-09T21:26:17+00:00,19.803948163986,7,"updated stim.csv",Version7.csv,"Version 7","List 7",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,19414,,,1874,17915,,,,"eating, grinding, baking, feeding",1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,9,2023-05-09T21:26:20+00:00,2.6171438694,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2180,,,-1,-1,,,,,1
609c5961e1d11ae2bd9ebd6c,7a8zxcrq9t,"Affordance Norms_Prolific",1,10,2023-05-09T21:26:22+00:00,2.0998950004578,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1539,,,-1,-1,,,,,1
