Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,1,2022-11-27T04:51:26+00:00,11.751801013947,30,"updated stim.csv",Version30.csv,"Version 30","List 30",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11547,,,-1,-1,,,,,1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,2,2022-11-27T04:51:38+00:00,12.225380182266,30,"updated stim.csv",Version30.csv,"Version 30","List 30",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11852,,,-1,-1,,,,,1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,3,2022-11-27T04:51:42+00:00,3.7106118202209,30,"updated stim.csv",Version30.csv,"Version 30","List 30",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3505,,,-1,-1,,,,,1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,4,2022-11-27T04:51:54+00:00,11.674030065536,30,"updated stim.csv",Version30.csv,"Version 30","List 30",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11430,,,2769,9899,,,,"eat, craft",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,5,2022-11-27T04:52:09+00:00,15.240907907486,30,"updated stim.csv",Version30.csv,"Version 30","List 30",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15027,,,4606,13562,,,,"hair, nails, length",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,6,2022-11-27T04:52:16+00:00,6.9360301494598,30,"updated stim.csv",Version30.csv,"Version 30","List 30",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6685,,,5108,5503,,,,eat,1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,7,2022-11-27T04:52:31+00:00,15.397810935974,30,"updated stim.csv",Version30.csv,"Version 30","List 30",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14996,,,2256,13380,,,,"draw, write, print, cut, read, submit",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,8,2022-11-27T04:52:50+00:00,18.769577980042,30,"updated stim.csv",Version30.csv,"Version 30","List 30",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18037,,,10121,16825,,,,"to put sauce on, eat",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,9,2022-11-27T04:52:54+00:00,4.1949701309204,30,"updated stim.csv",Version30.csv,"Version 30","List 30",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3976,,,-1,-1,,,,,0.9
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,10,2022-11-27T04:52:57+00:00,2.4777798652649,30,"updated stim.csv",Version30.csv,"Version 30","List 30",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2253,,,-1,-1,,,,,1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,11,2022-11-27T04:53:08+00:00,11.605338096619,30,"updated stim.csv",Version30.csv,"Version 30","List 30",buffalo,,893,4.692307692,345,0.582569981,894,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11389,,,2950,10264,,,,"kill, watch, eat",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,12,2022-11-27T04:53:38+00:00,29.232535839081,30,"updated stim.csv",Version30.csv,"Version 30","List 30",letter,,889,5.259259259,1495,0.658010365,890,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,28999,,,3915,28328,,,,"write to a friend, add to word, take out of word",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,13,2022-11-27T04:53:49+00:00,11.161610126495,30,"updated stim.csv",Version30.csv,"Version 30","List 30",factory,,879,4.44,941,0.280926781,880,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10962,,,2197,9574,,,,"to make things, to eat things",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,14,2022-11-27T04:54:09+00:00,20.586128950119,30,"updated stim.csv",Version30.csv,"Version 30","List 30",chart,,883,4.428571429,497,0.942108793,884,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20360,,,1971,19434,,,,"to collect data, to write down, keep up with things",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,15,2022-11-27T04:54:27+00:00,17.798841953278,30,"updated stim.csv",Version30.csv,"Version 30","List 30",copier,,892,5.136363636,636,0.426192694,893,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17581,,,2338,16299,,,,"to make more copies, to make more",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,16,2022-11-27T04:54:45+00:00,18.211650133133,30,"updated stim.csv",Version30.csv,"Version 30","List 30",schoolboy,,885,4.92,2270,0.08999478,886,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18004,,,3238,13587,,,,"to learn, to teach, to discipline",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,17,2022-11-27T04:55:10+00:00,24.238955020905,30,"updated stim.csv",Version30.csv,"Version 30","List 30",checkbook,,871,5.666666667,499,0.425587681,872,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,24019,,,1453,22524,,,,"to write checks, to keep track of money",1
M20298996_Bpt,fw1fdaj9lz,"Affordance Norms_MSU_TEX",1,18,2022-11-27T04:55:35+00:00,25.618184804916,30,"updated stim.csv",Version30.csv,"Version 30","List 30",shore,,894,4.333333333,2355,0.660049672,895,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,25402,,,5176,24166,,,,"to lay out on, to rest on, family time",1
