Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10078218_MH,wbo99ykzej,"BOI Norms",1,1,2021-11-30T21:55:52+00:00,12.030524969101,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11854,,,-1,-1,,,,,1
W10078218_MH,wbo99ykzej,"BOI Norms",1,2,2021-11-30T21:56:07+00:00,15.033971071243,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,13984,,,-1,-1,,,,,1
W10078218_MH,wbo99ykzej,"BOI Norms",1,3,2021-11-30T21:56:35+00:00,27.365689992905,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,27150,,,-1,-1,,,,,1
W10078218_MH,wbo99ykzej,"BOI Norms",1,4,2021-11-30T21:57:06+00:00,31.009953022003,6,"updated stim.csv",Version81.csv,"Version 81","List 81",Swan,,Practice,,3004,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,30808,,,11174,29873,,,,"look at it,feed,pet,play,love,wear",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,5,2021-11-30T21:57:29+00:00,23.071480989456,6,"updated stim.csv",Version81.csv,"Version 81","List 81",Donut,,Practice,,3003,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,22874,,,2494,20790,,,,"eat,order,smell,cook,look,throw",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,6,2021-11-30T21:57:44+00:00,14.838165998459,6,"updated stim.csv",Version81.csv,"Version 81","List 81",Taco,,Practice,,3005,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14641,,,1911,13945,,,,"eat,cook,order,build,deliver",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,7,2021-11-30T21:57:58+00:00,14.375071048737,6,"updated stim.csv",Version81.csv,"Version 81","List 81",Cheeseburger,,Practice,,3001,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14176,,,2904,7629,,,,"eat,build",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,8,2021-11-30T21:58:24+00:00,25.847898006439,6,"updated stim.csv",Version81.csv,"Version 81","List 81","Picture Frame",,Practice,,3002,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,25652,,,1675,25410,,,,"hang,stain,brake,step on it, change the glass",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,9,2021-11-30T21:58:27+00:00,3.578332901001,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3315,,,-1,-1,,,,,1
W10078218_MH,wbo99ykzej,"BOI Norms",1,10,2021-11-30T21:58:31+00:00,3.7152750492096,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3550,,,-1,-1,,,,,1
W10078218_MH,wbo99ykzej,"BOI Norms",1,11,2021-11-30T21:59:07+00:00,36.034647941589,6,"updated stim.csv",Version81.csv,"Version 81","List 81",spout,,ON,5,2485,2418,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,35885,,,3480,32688,,,,"turn it on,turn it off, run over it, brake it, hit it",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,12,2021-11-30T22:00:14+00:00,66.596940994263,6,"updated stim.csv",Version81.csv,"Version 81","List 81",windsock,,ON,4.391304348,2946,2419,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,66391,,,32964,62797,,,,"tell the way the wind is blowing, buy one, make one,",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,13,2021-11-30T22:00:56+00:00,42.526221990585,6,"updated stim.csv",Version81.csv,"Version 81","List 81",catfish,,ON,5,459,2410,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,42306,,,2017,41381,,,,"cook it, catch it, lie, let it go, hold it",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,14,2021-11-30T22:01:27+00:00,30.654824972153,6,"updated stim.csv",Version81.csv,"Version 81","List 81",appendage,,ON,5,59,2411,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,28938,,,11188,28539,,,,"lift,contract, rotate",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,15,2021-11-30T22:02:18+00:00,51.449728965759,6,"updated stim.csv",Version81.csv,"Version 81","List 81",newsletter,,ON,5.826086957,1758,2424,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15212,,,2221,14363,,,,"read it, listen to it, ",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,16,2021-11-30T22:02:36+00:00,17.301427125931,6,"updated stim.csv",Version81.csv,"Version 81","List 81",journalist,,ON,4.5,1391,2417,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16852,,,5372,16499,,,,"listen to them, ignore them ",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,17,2021-11-30T22:02:56+00:00,19.86065196991,6,"updated stim.csv",Version81.csv,"Version 81","List 81",muscle,,ON,5.12,1721,2421,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,19708,,,1767,18575,,,,"contaract, eat, work it",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,18,2021-11-30T22:03:10+00:00,14.62760591507,6,"updated stim.csv",Version81.csv,"Version 81","List 81",cloverleaf,,ON,4.565217391,575,2408,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14476,,,2626,14283,,,,"wish,eat,buy,sell,cut",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,19,2021-11-30T22:03:31+00:00,20.695448160172,6,"updated stim.csv",Version81.csv,"Version 81","List 81",forearm,,ON,5.782608696,1043,2427,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20491,,,4237,19731,,,,"lift,contract, tear",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,20,2021-11-30T22:03:53+00:00,22.261865854263,6,"updated stim.csv",Version81.csv,"Version 81","List 81",defendant,,ON,4.291666667,767,2413,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,22060,,,3436,20038,,,,"deny ",1
W10078218_MH,wbo99ykzej,"BOI Norms",1,21,2021-11-30T22:04:19+00:00,25.660461187363,6,"updated stim.csv",Version81.csv,"Version 81","List 81",fence,,ON,5.62962963,962,2430,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,25452,,,2060,24831,,,,"hold things in, keep things out, protect ",1
