Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,1,2023-03-20T17:48:09+00:00,10.997643947601,10,"updated stim.csv",Version10.csv,"Version 10","List 10",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10876,,,-1,-1,,,,,1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,2,2023-03-20T17:48:20+00:00,11.35714006424,10,"updated stim.csv",Version10.csv,"Version 10","List 10",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11148,,,-1,-1,,,,,1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,3,2023-03-20T17:48:24+00:00,3.3468859195709,10,"updated stim.csv",Version10.csv,"Version 10","List 10",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3177,,,-1,-1,,,,,1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,4,2023-03-20T17:48:35+00:00,11.202378988266,10,"updated stim.csv",Version10.csv,"Version 10","List 10",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10964,,,3261,8725,,,,"make bread, harvest ",1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,5,2023-03-20T17:49:11+00:00,36.606540203094,10,"updated stim.csv",Version10.csv,"Version 10","List 10",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,35868,,,4253,35159,,,,"make frosting, make cookies, make different baked goods",1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,6,2023-03-20T17:49:25+00:00,13.975881814957,10,"updated stim.csv",Version10.csv,"Version 10","List 10",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13686,,,1834,11274,,,,"eat, cook, make, ",1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,7,2023-03-20T17:49:50+00:00,24.367797136307,10,"updated stim.csv",Version10.csv,"Version 10","List 10",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24163,,,5829,23052,,,,"clean, eat out of, drop, pick up, put up,",1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,8,2023-03-20T17:50:25+00:00,35.618577957153,10,"updated stim.csv",Version10.csv,"Version 10","List 10",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,35412,,,1447,34213,,,,"sign, write, type, read, hold, stack,",1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,9,2023-03-20T17:50:28+00:00,2.3146069049835,10,"updated stim.csv",Version10.csv,"Version 10","List 10",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2140,,,-1,-1,,,,,1
w10118390Eh,g98b9bcu17,"Affordance Norms_USM",1,10,2023-03-20T17:50:33+00:00,5.0256111621857,10,"updated stim.csv",Version10.csv,"Version 10","List 10",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,4833,,,-1,-1,,,,,1
