Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10095068,6cai2db2iz,"BOI Norms",1,1,2022-11-21T23:17:00+00:00,11.895451068878,22,"updated stim.csv",Version47.csv,"Version 47","List 47",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11538,,,-1,-1,,,,,1
w10095068,6cai2db2iz,"BOI Norms",1,2,2022-11-21T23:17:15+00:00,14.993849039078,22,"updated stim.csv",Version47.csv,"Version 47","List 47",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,14043,,,-1,-1,,,,,1
w10095068,6cai2db2iz,"BOI Norms",1,3,2022-11-21T23:17:19+00:00,3.9412789344788,22,"updated stim.csv",Version47.csv,"Version 47","List 47",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3675,,,-1,-1,,,,,1
w10095068,6cai2db2iz,"BOI Norms",1,4,2022-11-21T23:17:37+00:00,17.525900125504,22,"updated stim.csv",Version47.csv,"Version 47","List 47",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17046,,,3259,15958,,,,"Eat, cook, boil, serve, throw",1
w10095068,6cai2db2iz,"BOI Norms",1,5,2022-11-21T23:18:02+00:00,25.162988901138,22,"updated stim.csv",Version47.csv,"Version 47","List 47",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24687,,,3887,22192,,,,"Eat on, spin, break, serve on, fly",1
w10095068,6cai2db2iz,"BOI Norms",1,6,2022-11-21T23:18:24+00:00,21.720942974091,22,"updated stim.csv",Version47.csv,"Version 47","List 47",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,21331,,,3669,20581,,,,"Eat, grow, cook, bake, plant, harvest, sell",1
w10095068,6cai2db2iz,"BOI Norms",1,7,2022-11-21T23:18:54+00:00,30.10874414444,22,"updated stim.csv",Version47.csv,"Version 47","List 47",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29769,,,2490,24113,,,,"Cook, grease a pan, bake, melt",1
w10095068,6cai2db2iz,"BOI Norms",1,8,2022-11-21T23:19:24+00:00,29.768003940582,22,"updated stim.csv",Version47.csv,"Version 47","List 47",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29329,,,3770,28582,,,,"Serve, fill out, turn in, write on, mail, submit, file",1
w10095068,6cai2db2iz,"BOI Norms",1,9,2022-11-21T23:19:28+00:00,4.0638980865479,22,"updated stim.csv",Version47.csv,"Version 47","List 47",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3758,,,-1,-1,,,,,1
w10095068,6cai2db2iz,"BOI Norms",1,10,2022-11-21T23:19:31+00:00,3.3608567714691,22,"updated stim.csv",Version47.csv,"Version 47","List 47",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3073,,,-1,-1,,,,,1
