Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,1,2022-11-28T21:27:47+00:00,23.82045507431,49,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,23535,,,-1,-1,,,,,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,2,2022-11-28T21:28:00+00:00,13.265957832336,49,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12911,,,-1,-1,,,,,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,3,2022-11-28T21:28:05+00:00,4.4027509689331,49,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4147,,,-1,-1,,,,,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,4,2022-11-28T21:28:12+00:00,6.7868361473083,49,"updated stim.csv",Version49.csv,"Version 49","List 49",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6430,,,3140,6087,,,,eat,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,5,2022-11-28T21:28:20+00:00,8.4362189769745,49,"updated stim.csv",Version49.csv,"Version 49","List 49",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8075,,,7265,7954,,,,paper,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,6,2022-11-28T21:28:27+00:00,6.8743660449982,49,"updated stim.csv",Version49.csv,"Version 49","List 49",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6605,,,2925,6326,,,,"shread,use",1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,7,2022-11-28T21:28:30+00:00,2.9258999824524,49,"updated stim.csv",Version49.csv,"Version 49","List 49",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,2673,,,-1,-1,,,,,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,8,2022-11-28T21:28:33+00:00,3.2897338867188,49,"updated stim.csv",Version49.csv,"Version 49","List 49",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,2932,,,1941,2671,,,,cook,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,9,2022-11-28T21:28:34+00:00,1.1348509788513,49,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",891,,,-1,-1,,,,,1
20313402,m4i6p2fd76,"Affordance Norms_MSU_TEX",1,10,2022-11-28T21:33:29+00:00,294.77715396881,49,"updated stim.csv",Version49.csv,"Version 49","List 49",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,293682,,,-1,-1,,,,,1
