Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,1,2023-01-06T21:32:38+00:00,13.804280042648,94,"updated stim.csv",Version94.csv,"Version 94","List 94",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12668,,,-1,-1,,,,,1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,2,2023-01-06T21:33:02+00:00,24.567791938782,94,"updated stim.csv",Version94.csv,"Version 94","List 94",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,22973,,,-1,-1,,,,,1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,3,2023-01-06T21:33:10+00:00,8.0979709625244,94,"updated stim.csv",Version94.csv,"Version 94","List 94",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,7073,,,-1,-1,,,,,1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,4,2023-01-06T21:33:51+00:00,41.045823097229,94,"updated stim.csv",Version94.csv,"Version 94","List 94",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,39562,,,3367,36823,,,,"Read, Written, Burned, shredded, submitted, signed. posted",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,5,2023-01-06T21:34:36+00:00,44.880275964737,94,"updated stim.csv",Version94.csv,"Version 94","List 94",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,43274,,,4959,39059,,,,"Drink tea, Hold cup, hold cake, hold keys",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,6,2023-01-06T21:35:22+00:00,45.344501972198,94,"updated stim.csv",Version94.csv,"Version 94","List 94",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,43701,,,3686,41695,,,,"Ground, planted, fed to chickeds, fed to horses, make flour, make glue",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,7,2023-01-06T21:35:41+00:00,19.126688957214,94,"updated stim.csv",Version94.csv,"Version 94","List 94",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17862,,,4579,15456,,,,"Baking, make cakes,",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,8,2023-01-06T21:36:10+00:00,28.919085025787,94,"updated stim.csv",Version94.csv,"Version 94","List 94",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27392,,,4375,22000,,,,"Eat, cook, store, crafts,",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,9,2023-01-06T21:36:14+00:00,4.4249370098114,94,"updated stim.csv",Version94.csv,"Version 94","List 94",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3425,,,-1,-1,,,,,1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,10,2023-01-06T21:36:19+00:00,5.2834551334381,94,"updated stim.csv",Version94.csv,"Version 94","List 94",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,4097,,,-1,-1,,,,,1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,11,2023-01-06T21:36:42+00:00,22.637408971786,94,"updated stim.csv",Version94.csv,"Version 94","List 94",snorkel,,2807,4.814814815,2428,0.530703777,2808,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21155,,,2421,18779,,,,"Breathing, diving, holds air, swimming",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,12,2023-01-06T21:37:25+00:00,42.747433900833,94,"updated stim.csv",Version94.csv,"Version 94","List 94",girl,,2809,5.52,1108,0.249735431,2810,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,41412,,,4523,39974,,,,"Dancing, loving, playmate, paintings, photograph, make clothes for",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,13,2023-01-06T21:38:02+00:00,37.372189044952,94,"updated stim.csv",Version94.csv,"Version 94","List 94",retriever,,2803,4.96,2160,0.323930836,2804,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,35919,,,6071,33420,,,,"Pet, stroke, play, train, feed, brush, walk, snuggle, hug, ",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,14,2023-01-06T21:38:28+00:00,25.681069850922,94,"updated stim.csv",Version94.csv,"Version 94","List 94",pork,,2796,4.916666667,2037,0.339315341,2797,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,24275,,,2876,21478,,,,"Eat, fry, boil, freeze, store, carve",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,15,2023-01-06T21:38:53+00:00,25.292722225189,94,"updated stim.csv",Version94.csv,"Version 94","List 94",nutcrackers,,2794,5.347826087,1791,0.072605459,2795,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,23957,,,6958,22893,,,,"Open nuts, hammer nails.",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,16,2023-01-06T21:39:53+00:00,60.192312002182,94,"updated stim.csv",Version94.csv,"Version 94","List 94",aircraft,,2801,4.925925926,19,0.385530787,2802,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,58683,,,2170,56765,,,,"Fly, travel, stunts, airshow, weapon, bomber, fighter, passenger, transport, cargo.",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,17,2023-01-06T21:40:27+00:00,33.551634788513,94,"updated stim.csv",Version94.csv,"Version 94","List 94",booze,,2800,5.84,285,0.455584343,2801,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,31881,,,2437,25119,,,,"Drink, drunk, brew, store, cleaning",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,18,2023-01-06T21:40:58+00:00,30.978651046753,94,"updated stim.csv",Version94.csv,"Version 94","List 94",dispenser,,2799,4.708333333,805,0.262195631,2800,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,29548,,,3345,27876,,,,"soap, ketchup, toilet roll, face cream, hand cream",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,19,2023-01-06T21:41:20+00:00,21.666272163391,94,"updated stim.csv",Version94.csv,"Version 94","List 94",fishbone,,2816,5.173913043,990,0.879116537,2817,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20312,,,7815,17214,,,,"waste, soup",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,20,2023-01-06T21:41:48+00:00,28.280387878418,94,"updated stim.csv",Version94.csv,"Version 94","List 94",fag,,2798,4.8,942,0.41812496,2799,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,26959,,,1971,22196,,,,"smoke, crush out, reuse, make",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,21,2023-01-06T21:42:30+00:00,41.966630935669,94,"updated stim.csv",Version94.csv,"Version 94","List 94",sack,,2817,5.083333333,2210,0.51753878,2818,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,40523,,,2274,30922,,,,"storage, suspend, fire. transport goods. ",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,22,2023-01-06T21:43:02+00:00,31.862783193588,94,"updated stim.csv",Version94.csv,"Version 94","List 94",maggot,,2791,4.44,1570,0.788570737,2792,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,30429,,,4798,27493,,,,"clean wounds, compost, fishing, feed birds",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,23,2023-01-06T21:43:43+00:00,40.913910865784,94,"updated stim.csv",Version94.csv,"Version 94","List 94",garland,,2819,5.166666667,1079,0.487831192,2820,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,39485,,,3092,37606,,,,"Decorate, wear, celebrate. festivals, people and animals",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,24,2023-01-06T21:44:13+00:00,29.961303949356,94,"updated stim.csv",Version94.csv,"Version 94","List 94",bassinet,,2808,5.375,165,0.942939522,2809,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,28441,,,2843,27086,,,,"Baby, bed, sleep, storage.",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,25,2023-01-06T21:44:54+00:00,41.801985025406,94,"updated stim.csv",Version94.csv,"Version 94","List 94",cafe,,2814,4.772727273,396,0.016959145,2815,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,39877,,,2589,36121,,,,"food, tea, coffee, cake, meeting place, conversation, rest",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,26,2023-01-06T21:45:38+00:00,43.176264047623,94,"updated stim.csv",Version94.csv,"Version 94","List 94",kernel,,2797,4.5,1407,0.356725928,2798,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,41764,,,2878,39423,,,,"nut, grind, baking, smoothies, breakfast, Bars, Crafts",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,27,2023-01-06T21:46:36+00:00,58.402612924576,94,"updated stim.csv",Version94.csv,"Version 94","List 94",bridge,,2810,5.52173913,322,0.069552783,2811,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,56962,,,7573,54220,,,,"Joining, span a divide, transport, cars, lorries, trains, boats",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,28,2023-01-06T21:47:21+00:00,44.79496216774,94,"updated stim.csv",Version94.csv,"Version 94","List 94",hanky,,2815,4.481481481,1247,0.363795056,2816,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,43395,,,5414,41005,,,,"wipe nose, wipe sweat, hold food, hold money, serviette, bib",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,29,2023-01-06T21:47:52+00:00,30.947365999222,94,"updated stim.csv",Version94.csv,"Version 94","List 94",cheerleader,,2818,5.285714286,505,0.580282419,2819,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,29453,,,5269,27447,,,,"encouragement, support, celebration, motivation, fun,",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,30,2023-01-06T21:48:21+00:00,28.984668970108,94,"updated stim.csv",Version94.csv,"Version 94","List 94",omelet,,2806,5.6,1807,0.790169092,2807,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,27386,,,5684,20239,,,,"food, use leftovers, ",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,31,2023-01-06T21:49:01+00:00,40.315518856049,94,"updated stim.csv",Version94.csv,"Version 94","List 94",kazoo,,2792,5.6,1401,0.310136054,2793,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,38917,,,3024,37000,,,,"music, support, noise, entertainment",1
617406fbfced12169896d158,ogmqhvssg2,"Affordance Norms_Prolific",1,32,2023-01-06T21:49:57+00:00,55.941534996033,94,"updated stim.csv",Version94.csv,"Version 94","List 94",toothpaste,,2805,5.76,2733,0.042102383,2806,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,54508,,,2607,52550,,,,"clean teeth, household cleaning paste, shine metal, freshen mouth.",1
