Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10096876_KLM,uo4wvq26il,"BOI Norms",1,1,2021-01-04T15:29:56-08:00,11.251283168793,20,"updated stim.csv",Version95.csv,"Version 95","List 95",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11151,,,-1,-1,,,,,1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,2,2021-01-04T15:30:08-08:00,11.227110862732,20,"updated stim.csv",Version95.csv,"Version 95","List 95",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11104,,,-1,-1,,,,,1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,3,2021-01-04T15:30:12-08:00,4.1410930156708,20,"updated stim.csv",Version95.csv,"Version 95","List 95",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4016,,,-1,-1,,,,,1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,4,2021-01-04T15:32:18-08:00,126.71339201927,20,"updated stim.csv",Version95.csv,"Version 95","List 95",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,126467,,,1480,123437,,,,"eaten, made into bread, sown, harvested, bleached for flour, fed to farm animals, sold to farmers",1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,5,2021-01-04T15:34:06-08:00,107.42339801788,20,"updated stim.csv",Version95.csv,"Version 95","List 95",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,107273,,,4045,102023,,,,"eaten, boiled, served, bought at a resturant, given as a housewarming gift, donated to the food pantry, served at a potluck, made into a recipe, put in the pantry, meal prep",1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,6,2021-01-04T15:35:27-08:00,80.861777067184,20,"updated stim.csv",Version95.csv,"Version 95","List 95",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,80714,,,2410,70213,,,,"completed, filed, printed, faxed, filled out, mailed, shredded, attached to a clipboard, ",1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,7,2021-01-04T15:37:07-08:00,100.43292284012,20,"updated stim.csv",Version95.csv,"Version 95","List 95",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,100253,,,2484,98291,,,,"tea party, eating a small portion of food, used for coffee at a nice restaurant, put in a china cabinet, given as a gift, collected",1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,8,2021-01-04T15:38:34-08:00,87.017670154572,20,"updated stim.csv",Version95.csv,"Version 95","List 95",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,86858,,,1739,75107,,,,"baking, greasing a pan, put in the pantry",1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,9,2021-01-04T15:38:36-08:00,2.0445489883423,20,"updated stim.csv",Version95.csv,"Version 95","List 95",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1909,,,-1,-1,,,,,1
w10096876_KLM,uo4wvq26il,"BOI Norms",1,10,2021-01-04T15:38:38-08:00,2.0354588031769,20,"updated stim.csv",Version95.csv,"Version 95","List 95",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1916,,,-1,-1,,,,,1
