Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,1,2023-01-28T01:23:56+00:00,14.725383996964,23,"updated stim.csv",Version23.csv,"Version 23","List 23",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,14497,,,-1,-1,,,,,1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,2,2023-01-28T01:24:07+00:00,11.338648080826,23,"updated stim.csv",Version23.csv,"Version 23","List 23",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10990,,,-1,-1,,,,,1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,3,2023-01-28T01:24:13+00:00,5.717521905899,23,"updated stim.csv",Version23.csv,"Version 23","List 23",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,5319,,,-1,-1,,,,,1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,4,2023-01-28T01:25:03+00:00,50.176700115204,23,"updated stim.csv",Version23.csv,"Version 23","List 23",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,49448,,,15695,37718,,,,"eating, drinking, transporting liquids, bludgeoning, throwing",1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,5,2023-01-28T01:26:30+00:00,86.443183898926,23,"updated stim.csv",Version23.csv,"Version 23","List 23",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,85673,,,12176,82055,,,,"baking, spreading on toast, frying, greasing a pan, lubricating an object",1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,6,2023-01-28T01:27:28+00:00,58.038301944733,23,"updated stim.csv",Version23.csv,"Version 23","List 23",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,57322,,,5665,49074,,,,"making models, cooking, eating, stabbing",1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,7,2023-01-28T01:28:58+00:00,90.00600194931,23,"updated stim.csv",Version23.csv,"Version 23","List 23",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,89274,,,13332,88388,,,,"cutting, taxes, files, boredom, organisation",1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,8,2023-01-28T01:30:36+00:00,98.052245140076,23,"updated stim.csv",Version23.csv,"Version 23","List 23",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,97356,,,4532,71749,,,,"making flour,making civilization,making stews, making vegetable oil, making fuel",1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,9,2023-01-28T01:30:37+00:00,1.5547659397125,23,"updated stim.csv",Version23.csv,"Version 23","List 23",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1187,,,-1,-1,,,,,1
63117718025bf2d9641bbb33,lp57e5jvra,"Affordance Norms_Prolific",1,10,2023-01-28T01:30:40+00:00,2.527843952179,23,"updated stim.csv",Version23.csv,"Version 23","List 23",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2148,,,-1,-1,,,,,1
