Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,1,2022-10-02T04:07:05+00:00,17.894362926483,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,17768,,,-1,-1,,,,,1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,2,2022-10-02T04:07:18+00:00,12.494831085205,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12351,,,-1,-1,,,,,1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,3,2022-10-02T04:07:23+00:00,4.7096858024597,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4575,,,-1,-1,,,,,1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,4,2022-10-02T04:08:28+00:00,65.581269025803,9,"updated stim.csv",Version9.csv,"Version 9","List 9",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,65370,,,8980,62178,,,,"baking, sentences, words, cooking, cutting something ",1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,5,2022-10-02T04:10:00+00:00,91.521278142929,9,"updated stim.csv",Version9.csv,"Version 9","List 9",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,91296,,,3787,74292,,,,"work, school, doctors/medical practices, surveys",1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,6,2022-10-02T04:10:34+00:00,34.203613042831,9,"updated stim.csv",Version9.csv,"Version 9","List 9",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,34051,,,8040,25673,,,,"to hold food, hold a cup, ",1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,7,2022-10-02T04:10:46+00:00,11.666397809982,9,"updated stim.csv",Version9.csv,"Version 9","List 9",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11497,,,2036,10798,,,,"to eat",1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,8,2022-10-02T04:11:21+00:00,35.311206102371,9,"updated stim.csv",Version9.csv,"Version 9","List 9",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,35176,,,5122,32149,,,,"to feed animals, to be turned into food for human consumption",1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,9,2022-10-02T04:11:27+00:00,5.6884019374847,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",5545,,,-1,-1,,,,,1
M20304789_hrh,ke4591vx29,"Affordance Norms_MSU_TEX",1,10,2022-10-02T04:11:29+00:00,2.8569059371948,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2723,,,-1,-1,,,,,1
