Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,1,2023-01-05T18:42:36+00:00,11.085349082947,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10889,,,-1,-1,,,,,1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,2,2023-01-05T18:42:49+00:00,13.568825960159,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,13284,,,-1,-1,,,,,1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,3,2023-01-05T18:42:51+00:00,1.8227310180664,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,1543,,,-1,-1,,,,,1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,4,2023-01-05T18:43:02+00:00,11.283957958221,4,"updated stim.csv",Version4.csv,"Version 4","List 4",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10994,,,2034,10682,,,,"eat,thrown,sucked,spit,twirl",1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,5,2023-01-05T18:43:13+00:00,10.691022872925,4,"updated stim.csv",Version4.csv,"Version 4","List 4",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10392,,,7712,9631,,,,"span,cut",1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,6,2023-01-05T18:43:24+00:00,11.205473184586,4,"updated stim.csv",Version4.csv,"Version 4","List 4",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10912,,,2528,8175,,,,"hold,sniff,pick up",1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,7,2023-01-05T18:43:32+00:00,8.0904259681702,4,"updated stim.csv",Version4.csv,"Version 4","List 4",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7787,,,1810,7386,,,,"file,sort,hold,do",1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,8,2023-01-05T18:43:41+00:00,8.4945340156555,4,"updated stim.csv",Version4.csv,"Version 4","List 4",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8204,,,1741,7875,,,,"hold,put down,break",1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,9,2023-01-05T18:43:42+00:00,1.0465250015259,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",764,,,-1,-1,,,,,1
602ad161c8c74217ea4ae04a,q2j4i9wdt3,"Affordance Norms_Prolific",1,10,2023-01-05T18:43:43+00:00,1.2132048606873,4,"updated stim.csv",Version4.csv,"Version 4","List 4",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,933,,,-1,-1,,,,,1
