Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10005644_ZP,17271fxk56,"BOI Norms",1,1,2021-11-23T16:37:32+00:00,12.554989814758,25,"updated stim.csv",Version75.csv,"Version 75","List 75",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11150,,,-1,-1,,,,,1
W10005644_ZP,17271fxk56,"BOI Norms",1,2,2021-11-23T16:37:44+00:00,11.960335016251,25,"updated stim.csv",Version75.csv,"Version 75","List 75",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11464,,,-1,-1,,,,,1
W10005644_ZP,17271fxk56,"BOI Norms",1,3,2021-11-23T16:37:47+00:00,3.6392290592194,25,"updated stim.csv",Version75.csv,"Version 75","List 75",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3356,,,-1,-1,,,,,1
W10005644_ZP,17271fxk56,"BOI Norms",1,4,2021-11-23T16:38:01+00:00,13.385924100876,25,"updated stim.csv",Version75.csv,"Version 75","List 75","Picture Frame",,Practice,,3002,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12974,,,2867,11036,,,,"Picture, decor ",1
W10005644_ZP,17271fxk56,"BOI Norms",1,5,2021-11-23T16:38:13+00:00,12.777889966965,25,"updated stim.csv",Version75.csv,"Version 75","List 75",Taco,,Practice,,3005,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12090,,,3152,10993,,,,"Eat,feed",1
W10005644_ZP,17271fxk56,"BOI Norms",1,6,2021-11-23T16:38:24+00:00,10.553942918777,25,"updated stim.csv",Version75.csv,"Version 75","List 75",Cheeseburger,,Practice,,3001,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10113,,,3026,9328,,,,"Eat,feed",1
W10005644_ZP,17271fxk56,"BOI Norms",1,7,2021-11-23T16:38:42+00:00,18.46356511116,25,"updated stim.csv",Version75.csv,"Version 75","List 75",Swan,,Practice,,3004,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18030,,,3861,15621,,,,"Pet,decor",1
W10005644_ZP,17271fxk56,"BOI Norms",1,8,2021-11-23T16:38:51+00:00,8.3237309455872,25,"updated stim.csv",Version75.csv,"Version 75","List 75",Donut,,Practice,,3003,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7879,,,2271,7094,,,,"Eat,feed",1
W10005644_ZP,17271fxk56,"BOI Norms",1,9,2021-11-23T16:38:54+00:00,2.8702909946442,25,"updated stim.csv",Version75.csv,"Version 75","List 75",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2635,,,-1,-1,,,,,1
W10005644_ZP,17271fxk56,"BOI Norms",1,10,2021-11-23T16:38:56+00:00,2.0446100234985,25,"updated stim.csv",Version75.csv,"Version 75","List 75",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1838,,,-1,-1,,,,,1
