Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10080283AEC,fp42t3wwvl,"BOI Norms",1,1,2021-11-25T21:40:36+00:00,13.169579029083,5,"updated stim.csv",Version80.csv,"Version 80","List 80",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12140,,,-1,-1,,,,,1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,2,2021-11-25T21:40:50+00:00,14.623203992844,5,"updated stim.csv",Version80.csv,"Version 80","List 80",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,13737,,,-1,-1,,,,,1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,3,2021-11-25T21:40:55+00:00,4.7710230350494,5,"updated stim.csv",Version80.csv,"Version 80","List 80",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3971,,,-1,-1,,,,,1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,4,2021-11-25T21:41:06+00:00,10.97940993309,5,"updated stim.csv",Version80.csv,"Version 80","List 80",Cheeseburger,,Practice,,3001,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10291,,,2361,6670,,,,"Eating, food",1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,5,2021-11-25T21:41:16+00:00,9.9413721561432,5,"updated stim.csv",Version80.csv,"Version 80","List 80",Donut,,Practice,,3003,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9011,,,1696,7450,,,,"food, dessert, eating",1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,6,2021-11-25T21:41:37+00:00,21.032446861267,5,"updated stim.csv",Version80.csv,"Version 80","List 80","Picture Frame",,Practice,,3002,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20378,,,3722,15631,,,,"holding pictures, memories, smiles",0.98
w10080283AEC,fp42t3wwvl,"BOI Norms",1,7,2021-11-25T21:41:59+00:00,22.179142951965,5,"updated stim.csv",Version80.csv,"Version 80","List 80",Swan,,Practice,,3004,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,21293,,,12234,20157,,,,"a bird, elegent ",1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,8,2021-11-25T21:42:12+00:00,13.142166137695,5,"updated stim.csv",Version80.csv,"Version 80","List 80",Taco,,Practice,,3005,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12140,,,1595,10643,,,,"eating, food, celebration",1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,9,2021-11-25T21:42:14+00:00,2.1609828472137,5,"updated stim.csv",Version80.csv,"Version 80","List 80",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1650,,,-1,-1,,,,,1
w10080283AEC,fp42t3wwvl,"BOI Norms",1,10,2021-11-25T21:42:16+00:00,1.948075056076,5,"updated stim.csv",Version80.csv,"Version 80","List 80",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1007,,,-1,-1,,,,,1
