Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,1,2023-05-12T16:11:05+00:00,23.408088922501,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,22855,,,-1,-1,,,,,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,2,2023-05-12T16:11:25+00:00,19.529898166656,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,18786,,,-1,-1,,,,,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,3,2023-05-12T16:11:30+00:00,4.9553580284119,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4531,,,-1,-1,,,,,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,4,2023-05-12T16:11:41+00:00,10.90368103981,44,"updated stim.csv",Version44.csv,"Version 44","List 44",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10143,,,2406,9116,,,,"eat, mill, harvest",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,5,2023-05-12T16:11:52+00:00,11.541722774506,44,"updated stim.csv",Version44.csv,"Version 44","List 44",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10784,,,4792,10357,,,,"put cup on, throw",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,6,2023-05-12T16:12:10+00:00,17.966602087021,44,"updated stim.csv",Version44.csv,"Version 44","List 44",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17202,,,2245,15115,,,,"rub, mix, melt",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,7,2023-05-12T16:12:19+00:00,8.7954330444336,44,"updated stim.csv",Version44.csv,"Version 44","List 44",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8035,,,1580,6259,,,,"eat, cook, twirl",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,8,2023-05-12T16:12:28+00:00,9.0053269863129,44,"updated stim.csv",Version44.csv,"Version 44","List 44",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8272,,,1520,7979,,,,"file, read, collate",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,9,2023-05-12T16:12:29+00:00,1.4604721069336,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",988,,,-1,-1,,,,,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,10,2023-05-12T16:12:31+00:00,1.7688419818878,44,"updated stim.csv",Version44.csv,"Version 44","List 44",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1329,,,-1,-1,,,,,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,11,2023-05-12T16:12:40+00:00,8.3613498210907,44,"updated stim.csv",Version44.csv,"Version 44","List 44",newsman,,1310,4.285714286,1759,0.857043945,1311,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7619,,,2434,7057,,,,"watch, listen to",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,12,2023-05-12T16:12:50+00:00,10.343446969986,44,"updated stim.csv",Version44.csv,"Version 44","List 44",glassware,,1303,5.964285714,1113,0.538524364,1304,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9595,,,1609,9317,,,,"drink from, clean, polish",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,13,2023-05-12T16:13:00+00:00,9.8339881896973,44,"updated stim.csv",Version44.csv,"Version 44","List 44",shortbread,,1314,5.416666667,2356,0.792275281,1315,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9067,,,3194,8907,,,,"eat, make, cut, gift",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,14,2023-05-12T16:13:06+00:00,6.2647879123688,44,"updated stim.csv",Version44.csv,"Version 44","List 44",cellophane,,1315,4.703703704,475,0.725467962,1316,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5471,,,1942,2401,,,,wrap,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,15,2023-05-12T16:13:12+00:00,5.8437039852142,44,"updated stim.csv",Version44.csv,"Version 44","List 44",cradle,,1306,5.652173913,678,0.526019594,1307,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5048,,,1492,3652,,,,"rock, put baby in",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,16,2023-05-12T16:13:24+00:00,12.122749090195,44,"updated stim.csv",Version44.csv,"Version 44","List 44",caviar,,1307,4.818181818,468,0.271405967,1308,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11373,,,8576,8882,,,,eat,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,17,2023-05-12T16:13:32+00:00,8.0463688373566,44,"updated stim.csv",Version44.csv,"Version 44","List 44",pillar,,1299,5.041666667,1961,0.56170011,1300,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7276,,,4037,6981,,,,"hold up building",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,18,2023-05-12T16:13:41+00:00,9.3386611938477,44,"updated stim.csv",Version44.csv,"Version 44","List 44",cow,,1320,5.434782609,671,0.696277817,1321,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8587,,,2895,8202,,,,"eat, milk, pet, feed",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,19,2023-05-12T16:13:52+00:00,11.159404993057,44,"updated stim.csv",Version44.csv,"Version 44","List 44",residence,,1304,4.333333333,2157,0.416081032,1305,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10394,,,1823,10166,,,,"live in, sell, buy, renovate",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,20,2023-05-12T16:14:10+00:00,17.785386800766,44,"updated stim.csv",Version44.csv,"Version 44","List 44",handbag,,1293,6,1229,0.494065236,1294,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17046,,,10507,15192,,,,"wear, keep things in",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,21,2023-05-12T16:14:18+00:00,8.1732540130615,44,"updated stim.csv",Version44.csv,"Version 44","List 44",beer,,1309,5.791666667,192,0.863265294,1310,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7435,,,2365,6580,,,,"drink, pour, make",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,22,2023-05-12T16:14:22+00:00,4.0124621391296,44,"updated stim.csv",Version44.csv,"Version 44","List 44",yearbook,,1294,5.56,2992,0.3747712,1295,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3543,,,1655,3010,,,,"read, sign",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,23,2023-05-12T16:14:35+00:00,12.389179944992,44,"updated stim.csv",Version44.csv,"Version 44","List 44",compass,,1308,5.538461538,612,0.979445035,1309,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11621,,,2580,10761,,,,"use to tell direction, make circles",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,24,2023-05-12T16:14:44+00:00,9.078017950058,44,"updated stim.csv",Version44.csv,"Version 44","List 44",sauna,,1295,5.363636364,2251,0.802464898,1296,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8320,,,3996,4750,,,,sweat,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,25,2023-05-12T16:14:52+00:00,8.1257541179657,44,"updated stim.csv",Version44.csv,"Version 44","List 44",porch,,1313,4.44,2036,0.064521605,1314,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7373,,,1484,7029,,,,"sit on, hide from rain",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,26,2023-05-12T16:14:58+00:00,5.669193983078,44,"updated stim.csv",Version44.csv,"Version 44","List 44",footstool,,1311,6.304347826,1039,0.950781043,1312,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4876,,,2140,4073,,,,"rest foot on",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,27,2023-05-12T16:15:01+00:00,2.8537058830261,44,"updated stim.csv",Version44.csv,"Version 44","List 44",lyre,,1317,4.45,1561,0.008434586,1318,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2407,,,1687,2118,,,,play,1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,28,2023-05-12T16:15:13+00:00,12.345417976379,44,"updated stim.csv",Version44.csv,"Version 44","List 44",racehorse,,1292,5.208333333,2118,0.754913971,1293,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11575,,,2891,11196,,,,"pet, feed, race",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,29,2023-05-12T16:15:23+00:00,9.7285242080688,44,"updated stim.csv",Version44.csv,"Version 44","List 44",cabin,,1316,4.56,388,0.925507739,1317,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8946,,,2506,6794,,,,"live in",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,30,2023-05-12T16:15:32+00:00,9.6160569190979,44,"updated stim.csv",Version44.csv,"Version 44","List 44",pepper,,1298,5.875,1921,0.51260415,1299,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8847,,,1884,8262,,,,"eat, sneeze, season",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,31,2023-05-12T16:15:42+00:00,9.5950908660889,44,"updated stim.csv",Version44.csv,"Version 44","List 44",extinguisher,,1296,5.043478261,928,0.866025303,1297,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8846,,,4934,8033,,,,"put out fire",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,32,2023-05-12T16:15:54+00:00,11.954340219498,44,"updated stim.csv",Version44.csv,"Version 44","List 44",vodka,,1312,5.56,2872,0.424897598,1313,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11176,,,1179,10821,,,,"drink, get drunk from, mix into cocktai",1
5c0004a72340e10001bfc3a0,604r1rzhdd,"Affordance Norms_Prolific",1,33,2023-05-12T16:16:02+00:00,7.7987427711487,44,"updated stim.csv",Version44.csv,"Version 44","List 44",watermelon,,1291,5.869565217,2911,0.101416445,1292,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7029,,,1620,6520,,,,"eat, drink, cut",1
