Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10034719_atb,qpsriy2pea,"BOI Norms",1,1,2021-09-21T13:00:01-07:00,12.347062826157,23,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11275,,,-1,-1,,,,,1
w10034719_atb,qpsriy2pea,"BOI Norms",1,2,2021-09-21T13:00:12-07:00,11.021826028824,23,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10770,,,-1,-1,,,,,1
w10034719_atb,qpsriy2pea,"BOI Norms",1,3,2021-09-21T13:00:15-07:00,3.7348721027374,23,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3528,,,-1,-1,,,,,1
w10034719_atb,qpsriy2pea,"BOI Norms",1,4,2021-09-21T13:00:33-07:00,17.898058891296,23,"updated stim.csv",Version98.csv,"Version 98","List 98",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17642,,,10941,16935,,,,"planting, sand",1
w10034719_atb,qpsriy2pea,"BOI Norms",1,5,2021-09-21T13:00:52-07:00,18.668080091476,23,"updated stim.csv",Version98.csv,"Version 98","List 98",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18449,,,5954,15822,,,,"hair, pencil, speech",1
w10034719_atb,qpsriy2pea,"BOI Norms",1,6,2021-09-21T13:01:31-07:00,38.88546705246,23,"updated stim.csv",Version98.csv,"Version 98","List 98",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,38664,,,1945,34310,,,,"homework, job, doctor, college, insurance",1
w10034719_atb,qpsriy2pea,"BOI Norms",1,7,2021-09-21T13:01:53-07:00,22.628827810287,23,"updated stim.csv",Version98.csv,"Version 98","List 98",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,22415,,,14116,21946,,,,"dish, food",1
w10034719_atb,qpsriy2pea,"BOI Norms",1,8,2021-09-21T13:02:05-07:00,11.240718126297,23,"updated stim.csv",Version98.csv,"Version 98","List 98",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11016,,,5045,6521,,,,eating,1
w10034719_atb,qpsriy2pea,"BOI Norms",1,9,2021-09-21T13:02:06-07:00,1.5291349887848,23,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1327,,,-1,-1,,,,,1
w10034719_atb,qpsriy2pea,"BOI Norms",1,10,2021-09-21T13:02:08-07:00,2.3277180194855,23,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2122,,,-1,-1,,,,,1
