"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"5693df018d93fe000dfa5733",11,"Version 65","ski","BOI","skiing","skiing"
"5693df018d93fe000dfa5733",11,"Version 65","ski","BOI","exercise","exercise"
"5693df018d93fe000dfa5733",12,"Version 65","optician","BOI","getting new glasses","getting new glasses"
"5693df018d93fe000dfa5733",12,"Version 65","optician","BOI","checking eyesight","checking eyesight"
"5693df018d93fe000dfa5733",13,"Version 65","fist","BOI","punching","punching"
"5693df018d93fe000dfa5733",13,"Version 65","fist","BOI","throwing","throwing"
"5693df018d93fe000dfa5733",13,"Version 65","fist","BOI","snapped in half","snapped in half"
"5693df018d93fe000dfa5733",14,"Version 65","carpenter","BOI","carpenting","an"
"5693df018d93fe000dfa5733",14,"Version 65","carpenter","BOI","installation","installation"
"5693df018d93fe000dfa5733",14,"Version 65","carpenter","BOI","removing","removing"
"5693df018d93fe000dfa5733",14,"Version 65","carpenter","BOI","dismantling","dismantling"
"5693df018d93fe000dfa5733",15,"Version 65","ocean","BOI","jump in it","jump in it"
"5693df018d93fe000dfa5733",15,"Version 65","ocean","BOI","drink it","drink it"
"5693df018d93fe000dfa5733",15,"Version 65","ocean","BOI","drown in it","drown in it"
"5693df018d93fe000dfa5733",15,"Version 65","ocean","BOI","swim in it","swim in it"
"5693df018d93fe000dfa5733",15,"Version 65","ocean","BOI","dive in it","dive in it"
"5693df018d93fe000dfa5733",15,"Version 65","ocean","BOI","have a boat sail on it","have a boat sail on it"
"5693df018d93fe000dfa5733",16,"Version 65","machete","BOI","kill someone with it","kill someone with it"
"5693df018d93fe000dfa5733",16,"Version 65","machete","BOI","snap it in half","snap it in half"
"5693df018d93fe000dfa5733",16,"Version 65","machete","BOI","throw it","throw it"
"5693df018d93fe000dfa5733",16,"Version 65","machete","BOI","stomp on it","stomp on it"
"5693df018d93fe000dfa5733",16,"Version 65","machete","BOI","cut items","cut items"
"5693df018d93fe000dfa5733",16,"Version 65","machete","BOI","hide it away","hide it away"
"5693df018d93fe000dfa5733",17,"Version 65","wood","BOI","chop it","chop it"
