Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,1,2023-02-04T21:51:58+00:00,10.496669054031,78,"updated stim.csv",Version78.csv,"Version 78","List 78",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10321,,,-1,-1,,,,,1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,2,2023-02-04T21:52:17+00:00,18.41845202446,78,"updated stim.csv",Version78.csv,"Version 78","List 78",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,18120,,,-1,-1,,,,,1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,3,2023-02-04T21:52:22+00:00,5.4636619091034,78,"updated stim.csv",Version78.csv,"Version 78","List 78",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,5171,,,-1,-1,,,,,1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,4,2023-02-04T21:52:59+00:00,37.096800088882,78,"updated stim.csv",Version78.csv,"Version 78","List 78",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,36558,,,5418,26742,,,,"cooked,eaten,boiled,sucked,snapped,bent,",1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,5,2023-02-04T21:53:48+00:00,48.567495822906,78,"updated stim.csv",Version78.csv,"Version 78","List 78",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,47994,,,4091,42878,,,,"ground, thrown, sieved, ",1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,6,2023-02-04T21:54:11+00:00,22.95348906517,78,"updated stim.csv",Version78.csv,"Version 78","List 78",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,22399,,,2574,16170,,,,"held, thrown, dropped, placed, ",1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,7,2023-02-04T21:54:46+00:00,34.883510112762,78,"updated stim.csv",Version78.csv,"Version 78","List 78",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,34324,,,1807,20976,,,,"stacked, spread, dropped, thrown, folded, rolled, ",1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,8,2023-02-04T21:55:51+00:00,65.886546850204,78,"updated stim.csv",Version78.csv,"Version 78","List 78",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,65338,,,44254,63220,,,,"spread, rolled, dropped, thrown, ",1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,9,2023-02-04T21:55:53+00:00,2.0050990581512,78,"updated stim.csv",Version78.csv,"Version 78","List 78",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1706,,,-1,-1,,,,,1
5e56781c475236000bc43e20,yc1isgmttx,"Affordance Norms_Prolific",1,10,2023-02-04T21:55:56+00:00,2.608491897583,78,"updated stim.csv",Version78.csv,"Version 78","List 78",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2305,,,-1,-1,,,,,1
