Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,1,2023-09-06T01:05:02+00:00,11.065215110779,19,"updated stim.csv",Version19.csv,"Version 19","List 19",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11008,,,-1,-1,,,,,1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,2,2023-09-06T01:05:18+00:00,15.220273971558,19,"updated stim.csv",Version19.csv,"Version 19","List 19",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,15029,,,-1,-1,,,,,1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,3,2023-09-06T01:05:19+00:00,1.2855598926544,19,"updated stim.csv",Version19.csv,"Version 19","List 19",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,1214,,,-1,-1,,,,,1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,4,2023-09-06T01:05:28+00:00,9.3183979988098,19,"updated stim.csv",Version19.csv,"Version 19","List 19",spaghetti,,634,4.608695652,2807,0.295026168,635,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9238,,,2364,8620,,,,"food, eating",1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,5,2023-09-06T01:05:40+00:00,11.357350111008,19,"updated stim.csv",Version19.csv,"Version 19","List 19",paperwork,,632,4.28,439,0.557499565,633,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11282,,,1209,9818,,,,"writing, filing, school, ",1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,6,2023-09-06T01:05:47+00:00,7.1150569915771,19,"updated stim.csv",Version19.csv,"Version 19","List 19",grain,,635,4.708333333,1700,0.685106443,636,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7041,,,1033,6322,,,,"rice, wheat, eating, cooking",1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,7,2023-09-06T01:05:51+00:00,4.6104950904846,19,"updated stim.csv",Version19.csv,"Version 19","List 19",shortening,,633,4.961538462,2303,0.081957919,634,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4540,,,3174,3865,,,,baking,1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,8,2023-09-06T01:05:59+00:00,7.7262539863586,19,"updated stim.csv",Version19.csv,"Version 19","List 19",glove,,631,5.217391304,2788,0.288599309,632,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7643,,,1855,6739,,,,"catching, protecting, ",1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,9,2023-09-06T01:06:00+00:00,1.261127948761,19,"updated stim.csv",Version19.csv,"Version 19","List 19",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1190,,,-1,-1,,,,,1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,10,2023-09-06T01:06:02+00:00,1.3274490833282,19,"updated stim.csv",Version19.csv,"Version 19","List 19",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1249,,,-1,-1,,,,,1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,11,2023-09-06T01:06:18+00:00,16.465139865875,19,"updated stim.csv",Version19.csv,"Version 19","List 19",garbage,,544,6.260869565,661,0.619410451,545,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14135,,,1471,12278,,,,"throw away",1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,12,2023-09-06T01:06:53+00:00,34.91725897789,19,"updated stim.csv",Version19.csv,"Version 19","List 19",pony,,564,5.36,2125,0.368001778,565,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,34784,,,5060,15330,,,,"riding, ",1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,13,2023-09-06T01:07:04+00:00,11.045326948166,19,"updated stim.csv",Version19.csv,"Version 19","List 19",lavatory,,551,5.260869565,1129,0.144202147,552,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10960,,,3302,10775,,,,"peeing, going through bathroom",1
w10132740_fmm,2j41c6bv28,"Affordance Norms_USM",1,14,2023-09-06T01:07:24+00:00,19.912991046906,19,"updated stim.csv",Version19.csv,"Version 19","List 19",poop,,565,5.954545455,2715,0.055815318,566,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,19827,,,-1,-1,,,,,1
