Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,1,2023-05-09T18:08:44+00:00,15.464106082916,14,"updated stim.csv",Version14.csv,"Version 14","List 14",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,14660,,,-1,-1,,,,,1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,2,2023-05-09T18:09:10+00:00,26.539485931396,14,"updated stim.csv",Version14.csv,"Version 14","List 14",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,25675,,,-1,-1,,,,,1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,3,2023-05-09T18:09:16+00:00,5.7265911102295,14,"updated stim.csv",Version14.csv,"Version 14","List 14",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4907,,,-1,-1,,,,,1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,4,2023-05-09T18:09:43+00:00,27.23263001442,14,"updated stim.csv",Version14.csv,"Version 14","List 14",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26348,,,24105,25120,,,,throw,1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,5,2023-05-09T18:10:32+00:00,48.427034854889,14,"updated stim.csv",Version14.csv,"Version 14","List 14",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,47595,,,12821,44429,,,,"read, write, review, firelighter,shred,insulation",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,6,2023-05-09T18:10:57+00:00,25.21139216423,14,"updated stim.csv",Version14.csv,"Version 14","List 14",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24359,,,2278,20512,,,,"eat,shape, decoration",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,7,2023-05-09T18:11:13+00:00,16.365193843842,14,"updated stim.csv",Version14.csv,"Version 14","List 14",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15536,,,8148,12594,,,,"bake, eat",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,8,2023-05-09T18:11:58+00:00,44.679342031479,14,"updated stim.csv",Version14.csv,"Version 14","List 14",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,43834,,,6004,29484,,,,"mill, grind, eat,",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,9,2023-05-09T18:12:00+00:00,2.6133151054382,14,"updated stim.csv",Version14.csv,"Version 14","List 14",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2078,,,-1,-1,,,,,1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,10,2023-05-09T18:12:03+00:00,2.5904629230499,14,"updated stim.csv",Version14.csv,"Version 14","List 14",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2073,,,-1,-1,,,,,1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,11,2023-05-09T18:12:51+00:00,48.345600128174,14,"updated stim.csv",Version14.csv,"Version 14","List 14",suede,,391,5,2579,0.789364521,392,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,47514,,,8666,43409,,,,"clothing, upholstery, wear, sit on, shoes",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,12,2023-05-09T18:14:04+00:00,73.103895902634,14,"updated stim.csv",Version14.csv,"Version 14","List 14",vagina,,399,6.041666667,2832,0.891669639,400,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,72046,,,8202,70465,,,,"reproduce, menstruate, sell, quiff, decorate, pleasure",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,13,2023-05-09T18:14:27+00:00,22.354746103287,14,"updated stim.csv",Version14.csv,"Version 14","List 14",earring,,405,6.428571429,881,0.521190906,406,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21461,,,2465,18554,,,,"wear, decorate",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,14,2023-05-09T18:14:51+00:00,23.901233911514,14,"updated stim.csv",Version14.csv,"Version 14","List 14",tuba,,401,5.130434783,2790,0.842475897,402,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,23052,,,3568,12437,,,,"play, doorstop, polish",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,15,2023-05-09T18:15:25+00:00,33.990695953369,14,"updated stim.csv",Version14.csv,"Version 14","List 14",booth,,403,4.92,282,0.969318496,404,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,33112,,,3120,19233,,,,"eat in, sit in, phone in, ",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,16,2023-05-09T18:16:20+00:00,55.303727149963,14,"updated stim.csv",Version14.csv,"Version 14","List 14",fisherman,,418,4.851851852,991,0.998556078,419,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,54423,,,11968,52920,,,,"sail boat, catch fish, work, harvest, talk to, sing with, fish with",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,17,2023-05-09T18:16:57+00:00,37.330446004868,14,"updated stim.csv",Version14.csv,"Version 14","List 14",granddaughter,,392,5,1146,0.297785625,393,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,36492,,,10217,26373,,,,"go shopping, walk dog, play games, sing with",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,18,2023-05-09T18:17:36+00:00,38.424325942993,14,"updated stim.csv",Version14.csv,"Version 14","List 14",paperhanger,,410,4.625,1864,0.502533879,411,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,37517,,,22056,34774,,,,"wall paper application",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,19,2023-05-09T18:17:59+00:00,23.311595916748,14,"updated stim.csv",Version14.csv,"Version 14","List 14",doorstep,,396,5.333333333,828,0.890046073,397,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,22443,,,3528,21052,,,,"climb, stand on, exercise on, trip over",1
63fc9ac5b3caf86d29e7b736,fblcecpn6b,"Affordance Norms_Prolific",1,20,2023-05-09T18:18:46+00:00,46.847780942917,14,"updated stim.csv",Version14.csv,"Version 14","List 14",doctor,,417,5.68,809,0.103957311,418,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,46016,,,7198,44148,,,,"visit, talk with, share feelings, share illnesses, confide in",1
