Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,1,2022-12-02T06:48:14+00:00,60.546559810638,35,"updated stim.csv",Version35.csv,"Version 35","List 35",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,19934,,,-1,-1,,,,,0.33
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,2,2022-12-02T06:48:25+00:00,11.338989019394,35,"updated stim.csv",Version35.csv,"Version 35","List 35",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11193,,,-1,-1,,,,,0.357
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,3,2022-12-02T06:48:27+00:00,2.2424609661102,35,"updated stim.csv",Version35.csv,"Version 35","List 35",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2110,,,-1,-1,,,,,1
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,4,2022-12-02T06:49:04+00:00,36.831425189972,35,"updated stim.csv",Version35.csv,"Version 35","List 35",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,36572,,,5678,35542,,,,"occupy, pass time, write, inform, learn, record",1
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,5,2022-12-02T06:50:04+00:00,59.598664999008,35,"updated stim.csv",Version35.csv,"Version 35","List 35",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,59327,,,11184,45040,,,,"shortening pipes, cutting objects, shortening work, ",0.818
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,6,2022-12-02T06:50:37+00:00,32.719186782837,35,"updated stim.csv",Version35.csv,"Version 35","List 35",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,32446,,,5454,25660,,,,"transport food and other things, a plate to eat food on",1
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,7,2022-12-02T06:50:58+00:00,21.052396059036,35,"updated stim.csv",Version35.csv,"Version 35","List 35",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20789,,,1870,19732,,,,"eat, store, throw away",1
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,8,2022-12-02T06:51:07+00:00,9.8265271186829,35,"updated stim.csv",Version35.csv,"Version 35","List 35",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9677,,,1800,8555,,,,"cultivate, plant, sell, eat",1
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,9,2022-12-02T06:51:10+00:00,2.1301460266113,35,"updated stim.csv",Version35.csv,"Version 35","List 35",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1926,,,-1,-1,,,,,1
J00697658_KL,gkypdxrkjb,"Affordance Norms_South Alabama",1,10,2022-12-02T06:51:12+00:00,2.0391099452972,35,"updated stim.csv",Version35.csv,"Version 35","List 35",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1865,,,-1,-1,,,,,1
