Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
10020796EGM,w04z1npd27,"BOI Norms",1,1,2021-12-01T19:00:42+00:00,10.857102870941,24,"updated stim.csv",Version24.csv,"Version 24","List 24",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10645,,,-1,-1,,,,,1
10020796EGM,w04z1npd27,"BOI Norms",1,2,2021-12-01T19:00:53+00:00,11.024448156357,24,"updated stim.csv",Version24.csv,"Version 24","List 24",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10950,,,-1,-1,,,,,1
10020796EGM,w04z1npd27,"BOI Norms",1,3,2021-12-01T19:00:57+00:00,3.7901878356934,24,"updated stim.csv",Version24.csv,"Version 24","List 24",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3727,,,-1,-1,,,,,1
10020796EGM,w04z1npd27,"BOI Norms",1,4,2021-12-01T19:01:09+00:00,11.542695999146,24,"updated stim.csv",Version24.csv,"Version 24","List 24",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11465,,,4879,10009,,,,"PLATE, BOWL, TEACUP HOLDER",1
10020796EGM,w04z1npd27,"BOI Norms",1,5,2021-12-01T19:01:21+00:00,12.919927120209,24,"updated stim.csv",Version24.csv,"Version 24","List 24",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12842,,,4548,11734,,,,"homework, tests, lists, permission slips",1
10020796EGM,w04z1npd27,"BOI Norms",1,6,2021-12-01T19:01:31+00:00,9.9370539188385,24,"updated stim.csv",Version24.csv,"Version 24","List 24",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9866,,,1278,8836,,,,"noodles, food, dinner,lunch",1
10020796EGM,w04z1npd27,"BOI Norms",1,7,2021-12-01T19:01:43+00:00,11.384089946747,24,"updated stim.csv",Version24.csv,"Version 24","List 24",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11305,,,1719,10291,,,,"food, cattle feed, ingredient",1
10020796EGM,w04z1npd27,"BOI Norms",1,8,2021-12-01T19:01:46+00:00,3.2003161907196,24,"updated stim.csv",Version24.csv,"Version 24","List 24",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,3130,,,-1,-1,,,,,1
10020796EGM,w04z1npd27,"BOI Norms",1,9,2021-12-01T19:01:51+00:00,5.190819978714,24,"updated stim.csv",Version24.csv,"Version 24","List 24",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",5127,,,-1,-1,,,,,1
10020796EGM,w04z1npd27,"BOI Norms",1,10,2021-12-01T19:01:53+00:00,1.559191942215,24,"updated stim.csv",Version24.csv,"Version 24","List 24",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1497,,,-1,-1,,,,,1
10020796EGM,w04z1npd27,"BOI Norms",1,11,2021-12-01T19:02:00+00:00,6.825756072998,24,"updated stim.csv",Version24.csv,"Version 24","List 24",sugar,,713,6.173913043,2580,714,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6748,,,1720,5308,,,,"coffee, sweetener",1
10020796EGM,w04z1npd27,"BOI Norms",1,12,2021-12-01T19:02:09+00:00,9.5399959087372,24,"updated stim.csv",Version24.csv,"Version 24","List 24",wildlife,,700,4.44,2939,701,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9473,,,2175,8505,,,,"hunting, food, preservation",1
10020796EGM,w04z1npd27,"BOI Norms",1,13,2021-12-01T19:02:19+00:00,9.5061509609222,24,"updated stim.csv",Version24.csv,"Version 24","List 24",woodpecker,,714,4.833333333,2961,715,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9443,,,1677,7880,,,,"wood, keeps bugs away",1
10020796EGM,w04z1npd27,"BOI Norms",1,14,2021-12-01T19:02:27+00:00,7.9921021461487,24,"updated stim.csv",Version24.csv,"Version 24","List 24",lampshade,,701,5.296296296,1458,702,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7923,,,2435,5429,,,,"covers light bulb",1
10020796EGM,w04z1npd27,"BOI Norms",1,15,2021-12-01T19:02:36+00:00,9.0549159049988,24,"updated stim.csv",Version24.csv,"Version 24","List 24",cricket,,699,4.653846154,695,700,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8987,,,2757,7902,,,,"lizard food, nuisance",1
10020796EGM,w04z1npd27,"BOI Norms",1,16,2021-12-01T19:02:41+00:00,4.8814060688019,24,"updated stim.csv",Version24.csv,"Version 24","List 24",hibiscus,,712,4.952380952,1285,713,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4818,,,1428,3256,,,,"flower, scent",1
10020796EGM,w04z1npd27,"BOI Norms",1,17,2021-12-01T19:02:50+00:00,9.3313648700714,24,"updated stim.csv",Version24.csv,"Version 24","List 24",floor,,696,5.666666667,1008,697,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9266,,,3706,8104,,,,"walk on, run on, jump on",1
10020796EGM,w04z1npd27,"BOI Norms",1,18,2021-12-01T19:02:57+00:00,7.0598161220551,24,"updated stim.csv",Version24.csv,"Version 24","List 24",breast,,708,5.4,312,709,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6994,,,1472,6082,,,,"breastfeed, sex",1
10020796EGM,w04z1npd27,"BOI Norms",1,19,2021-12-01T19:03:05+00:00,8.138888835907,24,"updated stim.csv",Version24.csv,"Version 24","List 24",countrywoman,,711,4.44,666,712,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8078,,,3808,6671,,,,"wife, mother, child",1
10020796EGM,w04z1npd27,"BOI Norms",1,20,2021-12-01T19:03:12+00:00,6.6171691417694,24,"updated stim.csv",Version24.csv,"Version 24","List 24",bong,,715,5.6,268,716,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6550,,,2248,5406,,,,"smoking weed, tobacco",1
10020796EGM,w04z1npd27,"BOI Norms",1,21,2021-12-01T19:03:17+00:00,5.4880759716034,24,"updated stim.csv",Version24.csv,"Version 24","List 24",blueberry,,710,6,249,711,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5425,,,2013,4469,,,,"snack, ingredient",1
10020796EGM,w04z1npd27,"BOI Norms",1,22,2021-12-01T19:03:31+00:00,13.934927940369,24,"updated stim.csv",Version24.csv,"Version 24","List 24",gymnasium,,698,4.464285714,1204,699,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,13851,,,2167,12900,,,,"gymnastics, basketball, volleyball",1
