Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w993005_lms,jspx1o1jnl,"BOI Norms",1,1,2022-02-08T14:56:12+00:00,10.99911904335,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10910,,,-1,-1,,,,,1
w993005_lms,jspx1o1jnl,"BOI Norms",1,2,2022-02-08T14:56:25+00:00,12.549528121948,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12406,,,-1,-1,,,,,1
w993005_lms,jspx1o1jnl,"BOI Norms",1,3,2022-02-08T14:56:49+00:00,24.514247894287,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,24358,,,-1,-1,,,,,1
w993005_lms,jspx1o1jnl,"BOI Norms",1,4,2022-02-08T14:58:32+00:00,103.33587813377,21,"updated stim.csv",Version71.csv,"Version 71","List 71",Swan,,Practice,,3004,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,103090,,,7549,99761,,,,"pet, food, play name, song noun, fighting partner, running away practice",1
w993005_lms,jspx1o1jnl,"BOI Norms",1,5,2022-02-08T14:59:29+00:00,56.535310983658,21,"updated stim.csv",Version71.csv,"Version 71","List 71",Taco,,Practice,,3005,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,56268,,,3866,46990,,,,"food, model(for drawing), thrown",1
w993005_lms,jspx1o1jnl,"BOI Norms",1,6,2022-02-08T14:59:53+00:00,23.684649944305,21,"updated stim.csv",Version71.csv,"Version 71","List 71",Cheeseburger,,Practice,,3001,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,23516,,,2404,15840,,,,"food, drawing model, thrown, incentive",1
w993005_lms,jspx1o1jnl,"BOI Norms",1,7,2022-02-08T15:00:21+00:00,27.885194063187,21,"updated stim.csv",Version71.csv,"Version 71","List 71",Donut,,Practice,,3003,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27718,,,4224,22479,,,,"food, drawing model, wheel, incentive, thrown",1
w993005_lms,jspx1o1jnl,"BOI Norms",1,8,2022-02-08T15:02:17+00:00,116.33359503746,21,"updated stim.csv",Version71.csv,"Version 71","List 71","Picture Frame",,Practice,,3002,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,116080,,,49259,115720,,,,"hanging, outline, measuring, guide",1
w993005_lms,jspx1o1jnl,"BOI Norms",1,9,2022-02-08T15:02:19+00:00,2.0916268825531,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1956,,,-1,-1,,,,,1
w993005_lms,jspx1o1jnl,"BOI Norms",1,10,2022-02-08T15:02:33+00:00,13.692925930023,21,"updated stim.csv",Version71.csv,"Version 71","List 71",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,13553,,,-1,-1,,,,,1
