Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10066171,tz7ahdu0c3,"BOI Norms",1,1,2020-10-16T20:26:32-07:00,11.345133781433,18,"updated stim.csv",Version68.csv,"Version 68","List 68",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11070,,,-1,-1,,,,,1
w10066171,tz7ahdu0c3,"BOI Norms",1,2,2020-10-16T20:26:45-07:00,13.073902130127,18,"updated stim.csv",Version68.csv,"Version 68","List 68",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11462,,,-1,-1,,,,,1
w10066171,tz7ahdu0c3,"BOI Norms",1,3,2020-10-16T20:26:47-07:00,1.2421510219574,18,"updated stim.csv",Version68.csv,"Version 68","List 68",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,1024,,,-1,-1,,,,,1
w10066171,tz7ahdu0c3,"BOI Norms",1,4,2020-10-16T20:26:57-07:00,10.57524394989,18,"updated stim.csv",Version68.csv,"Version 68","List 68",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10330,,,10043,10043,,,,3,1
w10066171,tz7ahdu0c3,"BOI Norms",1,5,2020-10-16T20:26:59-07:00,2.1977350711823,18,"updated stim.csv",Version68.csv,"Version 68","List 68",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,1963,,,-1,-1,,,,,1
w10066171,tz7ahdu0c3,"BOI Norms",1,6,2020-10-16T20:27:08-07:00,8.1334178447723,18,"updated stim.csv",Version68.csv,"Version 68","List 68",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7875,,,7735,7735,,,,3,1
w10066171,tz7ahdu0c3,"BOI Norms",1,7,2020-10-16T20:27:13-07:00,5.6878910064697,18,"updated stim.csv",Version68.csv,"Version 68","List 68",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5457,,,5276,5276,,,,2,1
w10066171,tz7ahdu0c3,"BOI Norms",1,8,2020-10-16T20:27:18-07:00,4.7706551551819,18,"updated stim.csv",Version68.csv,"Version 68","List 68",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4511,,,4253,4254,,,,5,1
w10066171,tz7ahdu0c3,"BOI Norms",1,9,2020-10-16T20:27:19-07:00,1.2426009178162,18,"updated stim.csv",Version68.csv,"Version 68","List 68",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1006,,,-1,-1,,,,,1
w10066171,tz7ahdu0c3,"BOI Norms",1,10,2020-10-16T20:27:20-07:00,0.97816395759583,18,"updated stim.csv",Version68.csv,"Version 68","List 68",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,816,,,-1,-1,,,,,1
