Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,1,2023-04-13T15:22:25+00:00,12.100456953049,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11632,,,-1,-1,,,,,1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,2,2023-04-13T15:22:42+00:00,16.911806106567,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,16663,,,-1,-1,,,,,1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,3,2023-04-13T15:22:48+00:00,6.0104858875275,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,5800,,,-1,-1,,,,,1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,4,2023-04-13T15:23:17+00:00,28.450417041779,51,"updated stim.csv",Version51.csv,"Version 51","List 51",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28210,,,9812,25755,,,,"organization, identification, learning",1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,5,2023-04-13T15:23:37+00:00,20.527489185333,51,"updated stim.csv",Version51.csv,"Version 51","List 51",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20284,,,1477,16444,,,,"eating, building things",1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,6,2023-04-13T15:23:54+00:00,17.023355007172,51,"updated stim.csv",Version51.csv,"Version 51","List 51",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,16647,,,4794,13764,,,,"baking, cooking",1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,7,2023-04-13T15:24:31+00:00,36.364432811737,51,"updated stim.csv",Version51.csv,"Version 51","List 51",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,35579,,,15661,31965,,,,"plate, holder",1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,8,2023-04-13T15:24:45+00:00,14.575958967209,51,"updated stim.csv",Version51.csv,"Version 51","List 51",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14230,,,3731,12238,,,,"food, baking, cooking",1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,9,2023-04-13T15:24:48+00:00,2.4947600364685,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2231,,,-1,-1,,,,,1
W10132950_cam,rt1q221lls,"Affordance Norms_USM",1,10,2023-04-13T15:24:50+00:00,1.9277720451355,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1686,,,-1,-1,,,,,1
