Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,1,2023-05-09T20:17:46+00:00,12.2818608284,37,"updated stim.csv",Version37.csv,"Version 37","List 37",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11972,,,-1,-1,,,,,1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,2,2023-05-09T20:17:58+00:00,12.351350069046,37,"updated stim.csv",Version37.csv,"Version 37","List 37",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11839,,,-1,-1,,,,,1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,3,2023-05-09T20:18:05+00:00,6.375235080719,37,"updated stim.csv",Version37.csv,"Version 37","List 37",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,5836,,,-1,-1,,,,,1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,4,2023-05-09T20:18:50+00:00,45.73010802269,37,"updated stim.csv",Version37.csv,"Version 37","List 37",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,45185,,,3712,39562,,,,"CONTRACT, ESSAY, BILLS, DRAWINGS, NOTES, POSTERS, FLYERS, ",1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,5,2023-05-09T20:19:13+00:00,22.152297019958,37,"updated stim.csv",Version37.csv,"Version 37","List 37",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,21565,,,12726,15798,,,,QUICKLY,1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,6,2023-05-09T20:19:33+00:00,20.812263011932,37,"updated stim.csv",Version37.csv,"Version 37","List 37",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20270,,,2596,9470,,,,"EAT, PLAY, ART",1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,7,2023-05-09T20:20:08+00:00,34.987319946289,37,"updated stim.csv",Version37.csv,"Version 37","List 37",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,34440,,,1637,30542,,,,"COOK, INSTRUMENT, WEAPON, STORAGE, COOLER, WARMER, TEA CUP HOLDER, ",1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,8,2023-05-09T20:20:28+00:00,19.201341867447,37,"updated stim.csv",Version37.csv,"Version 37","List 37",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18629,,,2638,12253,,,,"ART, FOOD",1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,9,2023-05-09T20:20:30+00:00,2.242427110672,37,"updated stim.csv",Version37.csv,"Version 37","List 37",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1726,,,-1,-1,,,,,1
5ac2ecb9e1546900019be720,g83xudocug,"Affordance Norms_Prolific",1,10,2023-05-09T20:20:33+00:00,3.6381540298462,37,"updated stim.csv",Version37.csv,"Version 37","List 37",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3155,,,-1,-1,,,,,1
