Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,1,2023-01-20T23:01:12+00:00,11.258023023605,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10912,,,-1,-1,,,,,0.981
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,2,2023-01-20T23:01:23+00:00,10.910238981247,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10482,,,-1,-1,,,,,0.83
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,3,2023-01-20T23:01:25+00:00,1.882835149765,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,1611,,,-1,-1,,,,,1
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,4,2023-01-20T23:01:55+00:00,30.098155975342,98,"updated stim.csv",Version98.csv,"Version 98","List 98",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29686,,,1515,28718,,,,"written, organized, shredded, torn, handed to, put away, , ",1
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,5,2023-01-20T23:02:21+00:00,26.285336971283,98,"updated stim.csv",Version98.csv,"Version 98","List 98",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,25616,,,6819,24877,,,,"stacked with others, paired with tea cups, cleaned, wiped",1
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,6,2023-01-20T23:02:35+00:00,14.042142868042,98,"updated stim.csv",Version98.csv,"Version 98","List 98",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13727,,,2606,11549,,,,"put away, measured, sifted",1
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,7,2023-01-20T23:02:46+00:00,11.207190990448,98,"updated stim.csv",Version98.csv,"Version 98","List 98",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10760,,,1968,9621,,,,"eaten, cooked, thrown away, dropped",1
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,8,2023-01-20T23:03:31+00:00,44.918097019196,98,"updated stim.csv",Version98.csv,"Version 98","List 98",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,44231,,,2149,42925,,,,"grinded, harvested, sold, milled",1
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,9,2023-01-20T23:04:11+00:00,40.085247993469,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",39625,,,-1,-1,,,,,0.308
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,10,2023-01-20T23:06:05+00:00,113.12972521782,98,"updated stim.csv",Version98.csv,"Version 98","List 98",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,112552,,,-1,-1,,,,,0.319
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,11,2023-01-20T23:06:46+00:00,41.046989917755,98,"updated stim.csv",Version98.csv,"Version 98","List 98",hiker,,2927,5.260869565,1287,0.92806903,2928,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,40587,,,2996,37212,,,,"purchase hiking gear, visit hiking trails",0.973
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,12,2023-01-20T23:07:55+00:00,69.502096891403,98,"updated stim.csv",Version98.csv,"Version 98","List 98",gynecologist,,2911,4.833333333,1206,0.619827361,2912,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,68975,,,18816,67700,,,,"perform examinations, diagnose patients, write up referrals and prescriptions",0.932
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,13,2023-01-20T23:08:22+00:00,26.712671995163,98,"updated stim.csv",Version98.csv,"Version 98","List 98",kale,,2912,5.652173913,1399,0.821322935,2913,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,26243,,,7190,23385,,,,"blended, harvested, transported, sold, sautéed ",1
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,14,2023-01-20T23:08:46+00:00,23.672196149826,98,"updated stim.csv",Version98.csv,"Version 98","List 98",pinball,,2925,5.782608696,1968,0.714828883,2926,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,23204,,,14108,18790,,,,"play, transport",0.907
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,15,2023-01-20T23:10:04+00:00,78.785239934921,98,"updated stim.csv",Version98.csv,"Version 98","List 98",astronaut,,2919,4.357142857,91,0.893971995,2920,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,78054,,,45093,77017,,,,"fly into space, exercise, perform routine checks, discover new species, conduct research, produce papers",0.833
5daa828510839e0016aa193b_1,l51yebhjw8,"Affordance Norms_Prolific",1,16,2023-01-20T23:10:24+00:00,19.472547054291,98,"updated stim.csv",Version98.csv,"Version 98","List 98",noose,,2929,4.708333333,1778,0.255189322,2930,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,19110,,,3616,17114,,,,"tied, used to unalive someone, cut, ripped, ",1
